,English,English_human
1871,knowledge graph,knowledge graph
1872,knowledge graph completion,knowledge graph completion
1873,knowledge representation,knowledge representation
1874,knowledge transfer,knowledge transfer
1875,l 1 -norm,L 1 -norm
1876,l 1 distance,L 1 distance
1877,l 2 -norm,L 2 -norm
1878,l 2 distance,L 2 distance
1879,l 2 loss,L 2 loss
1880,l 2 regularization,L 2 regularization
1881,l ∞ norm,L ∞ norm
1882,l1 difference,L1 difference
1883,l1 loss,L1 loss
1884,l1 penalty,L1 penalty
1885,l1 regularization,L1 regularization
1886,l1 term,L1 term
1887,l2 error,L2 error
1888,l2 regularisation,L2 regularisation
1889,l2 regularizer,L2 regularizer
1890,l2 weight decay,L2 weight decay
1891,l2-normalization,L2-normalization
1892,label,label
1893,label distribution,label distribution
1894,label embedding,label embedding
1895,label noise,label noise
1896,label sequence,label sequence
1897,label smoothing,label smoothing
1898,label space,label space
1899,label token,label token
1900,label vector,label vector
1901,lagrange multiplier,Lagrange multiplier
1902,lagrangian duality,Lagrangian duality
1903,lagrangian multiplier,Lagrangian multiplier
1904,lagrangian relaxation,Lagrangian relaxation
1905,lambda calculus,lambda calculus
1906,lambertian reflectance,Lambertian reflectance
1907,landmark,landmark
1908,landmark point,landmark point
1909,language drift,language drift
1910,language encoder,language encoder
1911,language generation,language generation
1912,language generation model,language generation model
1913,language identification,language identification
1914,language model,language model
1915,language model pre-training,language model pre-training
1916,language modeling toolkit,Language Modeling Toolkit
1917,language pair,language pair
1918,language representation,language representation
1919,language transfer,language transfer
1920,language understanding,language understanding
1921,laplace approximation,Laplace approximation
1922,laplace distribution,Laplace distribution
1923,laplace noise,Laplace noise
1924,laplacian distribution,Laplacian distribution
1925,laplacian matrix,Laplacian matrix
1926,laplacian smoothing,Laplacian smoothing
1927,large language model,large language model
1928,large-margin learning,large-margin learning
1929,latent code,latent code
1930,latent dimension,latent dimension
1931,latent dirichlet allocation,latent Dirichlet allocation
1932,latent distribution,latent distribution
1933,latent dynamic model,latent dynamic model
1934,latent embedding,latent embedding
1935,latent factor,latent factor
1936,latent feature,latent feature
1937,latent function,latent function
1938,latent group,latent group
1939,latent parameter,latent parameter
1940,latent representation,latent representation
1941,latent reward function,latent reward function
1942,latent semantic,latent semantic
1943,latent semantic analysis,latent semantic analysis
1944,latent space,latent space
1945,latent state,latent state
1946,latent topic,latent topic
1947,latent variable,latent variable
1948,latent variable model,latent variable model
1949,latent vector,latent vector
1950,layer,layer
1951,layer activation,layer activation
1952,layer normalization,layer normalization
1953,layer-wise learning rate decay,layer-wise learning rate decay
1954,lazy grounding,lazy grounding
1955,leaf node,leaf node
1956,learnability,learnability
1957,learnable parameter,learnable parameter
1958,learnable vector,learnable vector
1959,learner,learner
1960,learning rate,learning rate
1961,learning rate decay,learning rate decay
1962,learning rate decay schedule,learning rate decay schedule
1963,learning rate schedule,learning rate schedule
1964,learning rate scheduler,learning rate scheduler
1965,learning rate warmup,learning rate warmup
1966,least square,least square
1967,least square criterion,least square criterion
1968,least square minimization,least square minimization
1969,least square problem,least square problem
1970,least square regression,least square regression
1971,least square solution,least square solution
1972,leave-one-out,leave-one-out
1973,left-to-right model,left-to-right model
1974,lemmatization,lemmatization
1975,length normalization,length normalization
1976,length penalty,length penalty
1977,lexeme,lexeme
1978,lexical acquisition,lexical acquisition
1979,lexical acquisition algorithm,lexical acquisition algorithm
1980,lexical ambiguity,lexical ambiguity
1981,lexical entry,lexical entry
1982,lexical exposure,lexical exposure
1983,lexical feature,lexical feature
1984,lexical functional grammar,Lexical Functional Grammar
1985,lexical head,lexical head
1986,lexical item,lexical item
1987,lexical knowledge,lexical knowledge
1988,lexical model,lexical model
1989,lexical overlap,lexical overlap
1990,lexicalization,lexicalization
1991,lexicalized grammar,lexicalized grammar
1992,lexicalized parsing model,lexicalized parsing model
1993,lexicon,lexicon
1994,lexicon induction,lexicon induction
1995,lie algebra,Lie algebra
1996,lifelong learning,lifelong learning
1997,light field,light field
1998,light field interpolation,light field interpolation
1999,likelihood function,likelihood function
2000,likelihood ratio test,likelihood ratio test
2001,likelihood score,likelihood score
2002,likert scale,Likert scale
2003,line search,line search
2004,linear activation function,linear activation function
2005,linear algebra,linear algebra
2006,linear classification,linear classification
2007,linear classification layer,linear classification layer
2008,linear classifier,linear classifier
2009,linear combination,linear combination
2010,linear complexity,linear complexity
2011,linear constraint,linear constraint
2012,linear decay,linear decay
2013,linear decoder,linear decoder
2014,linear discriminant analysis,linear discriminant analysis
2015,linear equation,linear equation
2016,linear evaluation,linear evaluation
2017,linear function,linear function
2018,linear function approximation,linear function approximation
2019,linear inequality,linear inequality
2020,linear interpolation,linear interpolation
2021,linear kernel,linear kernel
2022,linear layer,linear layer
2023,linear learning rate decay,linear learning rate decay
2024,linear learning rate schedule,linear learning rate schedule
2025,linear map,linear map
2026,linear model,linear model
2027,linear predictor,linear predictor
2028,linear probe,linear probe
2029,linear program,linear program
2030,linear programming relaxation,linear programming relaxation
2031,linear projection,linear projection
2032,linear regression,linear regression
2033,linear regression model,linear regression model
2034,linear regressor,linear regressor
2035,linear scaling,linear scaling
2036,linear scheduler,linear scheduler
2037,linear separability,linear separability
2038,linear system,linear system
2039,linear threshold,Linear Threshold
2040,linear threshold model,Linear Threshold Model
2041,linear transform,linear transform
2042,linear transformation,linear transformation
2043,linear transformation matrix,linear transformation matrix
2044,linear warm-up,linear warm-up
2045,linear-chain,linear-chain
2046,linear-quadratic regulator,linear-quadratic regulator
2047,linearization,linearization
2048,link function,link function
2049,link prediction,link prediction
2050,local basis function,local basis function
2051,local coherence,local coherence
2052,local consistency,Local Consistency
2053,local context,local context
2054,local coordinate frame,local coordinate frame
2055,local feature,local feature
2056,local geometry,local geometry
2057,local image feature,local image feature
2058,local maxima,local maxima
2059,local maximum,local maximum
2060,local minima,local minima
2061,local minimizer,local minimizer
2062,local minimum,local minimum
2063,local model,local model
2064,local optima,local optima
2065,local optimum,local optimum
2066,local parameter,local parameter
2067,local search,local search
2068,local search method,local search method
2069,local variable,local variable
2070,local window,local window
2071,locality-sensitive hashing,locality-sensitive hashing
2072,localization,localization
2073,location parameter,location parameter
2074,log,log
2075,log likelihood,log likelihood
2076,log loss,log loss
2077,log marginal likelihood,log marginal likelihood
2078,log p,log p
2079,log partition function,log partition function
2080,log perplexity,log perplexity
2081,log probability,log probability
2082,log-likelihood function,log-likelihood function
2083,log-likelihood loss,log-likelihood loss
2084,log-likelihood ratio,log-likelihood ratio
2085,log-linear model,log-linear model
2086,log-linear translation model,log-linear translation model
2087,log-log plot,log-log plot
2088,log-normal distribution,log-normal distribution
2089,log-odd score,log-odd score
2090,log-prob,log-prob
2091,log-sum-exp,log-sum-exp
2092,logical connective,logical connective
2093,logical form,logical form
2094,logistic function,logistic function
2095,logistic loss,logistic loss
2096,logistic regression,logistic regression
2097,logistic regression classifier,logistic regression classifier
2098,logistic regression model,logistic regression model
2099,logit,logit
2100,logit model,logit model
2101,long-range dependency,long-range dependency
2102,lookup table,lookup table
2103,loop closure,loop closure
2104,loopy belief propagation,loopy belief propagation
2105,loss,loss
2106,loss distribution,loss distribution
2107,loss function,loss function
2108,loss landscape,loss landscape
2109,loss minimization,loss minimization
2110,loss term,loss term
2111,lossy compression,lossy compression
2112,lottery ticket hypothesis,lottery ticket hypothesis
2113,low rank,low rank
2114,low rank approximation,low rank approximation
2115,low-data regime,low-data regime
2116,low-dimensional embedding,low-dimensional embedding
2117,low-dimensional representation,low-dimensional representation
2118,low-pass filter,low-pass filter
2119,low-rank factorization,low-rank factorization
2120,low-rank matrix approximation,low-rank matrix approximation
2121,m-estimation,M-estimation
2122,m-step,M-step
2123,machine comprehension,Machine Comprehension
2124,machine learning,machine learning
2125,machine learning algorithm,machine learning algorithm
2126,machine learning classifier,machine learning classifier
2127,machine learning model,machine learning model
2128,machine learning repository,Machine Learning Repository
2129,machine learning system,machine learning system
2130,machine reading,machine reading
2131,machine reading comprehension,Machine Reading Comprehension
2132,machine translation,machine translation
2133,machine translation model,machine translation model
2134,machine translation system,machine translation system
2135,machine vision,machine vision
2136,machine-in-the-loop,machine-in-the-loop
2137,macro-action,macro-action
2138,macro-average,macro-average
2139,majority voting,majority voting
2140,manifold,manifold
2141,manifold hypothesis,manifold hypothesis
2142,manifold projection,manifold projection
2143,manifold structure,manifold structure
2144,margin parameter,margin parameter
2145,marginal density,marginal density
2146,marginal distribution,marginal distribution
2147,marginal inference,marginal inference
2148,marginal likelihood,marginal likelihood
2149,marginal log-likelihood,marginal log-likelihood
2150,marginal polytope,marginal polytope
2151,marginal probability,marginal probability
2152,marginalization,marginalization
2153,mask,mask
2154,mask token,mask token
2155,mask vector,mask vector
2156,masked input,masked input
2157,masked language model,masked language model
2158,masked token,masked token
2159,masking function,masking function
2160,matching loss,matching loss
2161,matrix,matrix
2162,matrix approximation,matrix approximation
2163,matrix decomposition,matrix decomposition
2164,matrix factorization,Matrix factorization
2165,matrix form,matrix form
2166,matrix inversion,matrix inversion
2167,matrix multiplication,matrix multiplication
2168,matrix norm,matrix norm
2169,matrix sketching,matrix sketching
2170,matrix vector product,matrix vector product
2171,matrix-vector multiplication,matrix-vector multiplication
2172,matroid,matroid
2173,matroid constraint,matroid constraint
2174,max norm,max norm
2175,max pooling,max pooling
2176,max-margin,max-margin
2177,max-margin learning,max-margin learning
2178,max-pool,max-pool
2179,max-pooling layer,max-pooling layer
2180,max-product semiring,max-product semiring
2181,maximal clique,maximal clique
2182,maximal frequent itemset,maximal frequent itemset
2183,maximal frequent pattern,maximal frequent pattern
2184,maximization problem,maximization problem
2185,maximum a posteriori,maximum a posteriori
2186,maximum a posteriori estimation,maximum a posteriori estimation
2187,maximum clique,maximum clique
2188,maximum entropy,maximum entropy
2189,maximum entropy model,maximum entropy model
2190,maximum entropy principle,maximum entropy principle
2191,maximum flow,maximum flow
2192,maximum likelihood,maximum likelihood
2193,maximum likelihood estimate,maximum likelihood estimate
2194,maximum likelihood estimation,maximum likelihood estimation
2195,maximum likelihood estimator,maximum likelihood estimator
2196,maximum likelihood learning,maximum likelihood learning
2197,maximum mean discrepancy,maximum mean discrepancy
2198,mean average precision,mean average precision
2199,mean field,mean field
2200,mean function,mean function
2201,mean pooling,mean pooling
2202,mean reciprocal rank,mean reciprocal rank
2203,mean shape,mean shape
2204,mean square error,mean square error
2205,mean vector,mean vector
2206,mean-field approximation,mean-field approximation
2207,measurable space,measurable space
2208,measurement matrix,measurement matrix
2209,measurement noise,measurement noise
2210,medical imaging,medical imaging
2211,medoid,medoid
2212,membership inference attack,membership inference attack
2213,membership query,membership query
2214,memory bank,memory bank
2215,memory capacity,memory capacity
2216,memory cell,memory cell
2217,memory complexity,memory complexity
2218,mention detection,mention detection
2219,meronymy,meronymy
2220,message passing,message passing
2221,message passing algorithm,message passing algorithm
2222,meta,meta
2223,meta-algorithm,meta-algorithm
2224,meta-classifier,meta-classifier
2225,meta-dataset,meta-dataset
2226,meta-evaluation,meta-evaluation
2227,meta-learn,meta-learn
2228,meta-learner,meta-learner
2229,meta-learning,meta-learning
2230,meta-loss,meta-loss
2231,meta-parameter,meta-parameter
2232,meta-testing,meta-testing
2233,meta-training,meta-training
2234,metadata,metadata
2235,metric learning,metric learning
2236,metric learning algorithm,metric learning algorithm
2237,metric score,metric score
2238,metric space,metric space
2239,metropolis-hasting,Metropolis-Hasting
2240,micro-average,micro-average
2241,microarray datum,microarray datum
2242,mini-batch,mini-batch
2243,mini-batch size,mini-batch size
2244,mini-batch training,mini-batch training
2245,minima,minima
2246,minimax,minimax
2247,minimax game,minimax game
2248,minimax optimization problem,minimax optimization problem
2249,minimax problem,minimax problem
2250,minimization problem,minimization problem
2251,minimizer,minimizer
2252,minimum baye risk decoding,minimum baye risk decoding
2253,minimum cut,minimum cut
2254,minimum description length,minimum description length
2255,minimum support,minimum support
2256,mirror descent,mirror descent
2257,misclassification error,misclassification error
2258,misclassification loss,misclassification loss
2259,misinformation detection,misinformation detection
2260,mixed integer programming,mixed integer programming
2261,mixed precision,mixed precision
2262,mixed precision training,mixed precision training
2263,mixed strategy,mixed strategy
2264,mixed-integer program,mixed-integer program
2265,mixing matrix,mixing matrix
2266,mixing time,mixing time
2267,mixture component,mixture component
2268,mixture distribution,mixture distribution
2269,mixture model,mixture model
2270,mixture weight,mixture weight
2271,mixup,Mixup
2272,mocap,mocap
2273,modality,modality
2274,mode,mode
2275,mode collapse,mode collapse
2276,model accuracy,model accuracy
2277,model architecture,model architecture
2278,model averaging,model averaging
2279,model bias,model bias
2280,model capacity,model capacity
2281,model card,model card
2282,model checking,model checking
2283,model class,model class
2284,model comparison,model comparison
2285,model complexity,model complexity
2286,model compression,model compression
2287,model convergence,model convergence
2288,model development,model development
2289,model distillation,model distillation
2290,model distribution,model distribution
2291,model estimation,model estimation
2292,model evaluation,model evaluation
2293,model family,model family
2294,model fine-tuning,model fine-tuning
2295,model generalization,model generalization
2296,model hyperparameter,model hyperparameter
2297,model inference,model inference
2298,model initialization,model initialization
2299,model interpretability,model interpretability
2300,model interpretation,model interpretation
2301,model layer,model layer
2302,model m,model M
2303,model output,model output
2304,model parallelism,model parallelism
2305,model parameter,model parameter
2306,model performance,model performance
2307,model precision,model precision
2308,model prediction,model prediction
2309,model predictive control,model predictive control
2310,model representation,model representation
2311,model robustness,model robustness
2312,model score,model score
2313,model selection,model selection
2314,model size,model size
2315,model specification,model specification
2316,model structure,model structure
2317,model training,model training
2318,model update,model update
2319,model variant,model variant
2320,model weight,model weight
2321,model's parameter,model's parameter
2322,model-free approach,model-free approach
2323,modular,modular
2324,modular architecture,modular architecture
2325,module,module
2326,moment matching,moment matching
2327,momentum,momentum
2328,momentum coefficient,momentum coefficient
2329,momentum encoder,momentum encoder
2330,momentum term,momentum term
2331,monocular,monocular
2332,monocular reconstruction,monocular reconstruction
2333,monolingual baseline,monolingual baseline
2334,monolingual corpora,monolingual corpora
2335,monolingual corpus,monolingual corpus
2336,monolingual dataset,monolingual dataset
2337,monolingual datum,monolingual datum
2338,monolingual embedding,monolingual embedding
2339,monolingual model,monolingual model
2340,monolingual training,monolingual training
2341,monotone,monotone
2342,monotonic,monotonic
2343,monotonicity,Monotonicity
2344,morphological analysis,morphological analysis
2345,morphological analyzer,morphological analyzer
2346,morphological feature,morphological feature
2347,morphological information,morphological information
2348,morphological operation,morphological operation
2349,morphological segmentation,morphological segmentation
2350,motion analysis,motion analysis
2351,motion estimation,motion estimation
2352,motion matrix,motion matrix
2353,motion planning,motion planning
2354,motion segmentation,motion segmentation
2355,multi-agent,multi-agent
2356,multi-agent interaction,multi-agent interaction
2357,multi-agent learning,multi-agent learning
2358,multi-agent reinforcement learning,multi-agent reinforcement learning
2359,multi-agent system,multi-agent system
2360,multi-armed bandit,multi-armed bandit
2361,multi-armed bandit problem,multi-armed bandit problem
2362,multi-class,multi-class
2363,multi-class classification,multi-class classification
2364,multi-class logistic regression,multi-class logistic regression
2365,multi-class problem,multi-class problem
2366,multi-classification,multi-classification
2367,multi-document summarization,multi-document summarization
2368,multi-domain,multi-domain
2369,multi-head,multi-head
2370,multi-head attention,multi-head attention
2371,multi-head attention layer,multi-head attention layer
2372,multi-head self-attention,multi-head self-attention
2373,multi-head self-attention mechanism,multi-head self-attention mechanism
2374,multi-head self-attention module,multi-head self-attention module
2375,multi-headed self-attention,multi-headed self-attention
2376,multi-label,multi-label
2377,multi-label classification,multi-label classification
2378,multi-label classification loss,multi-label classification loss
2379,multi-label classifier,multi-label classifier
2380,multi-label datum,multi-label datum
2381,multi-label learning,multi-label learning
2382,multi-label text classification,multi-label text classification
2383,multi-layer neural network,multi-layer neural network
2384,multi-layer perceptron,multi-layer perceptron
2385,multi-modal,multi-modal
2386,multi-modal input,multi-modal input
2387,multi-modal learning,multi-modal learning
2388,multi-modal model,multi-modal model
2389,multi-object detection,multi-object detection
2390,multi-objective optimization,multi-objective optimization
2391,multi-scale,multi-scale
2392,multi-scale architecture,multi-scale architecture
2393,multi-scale training,multi-scale training
2394,multi-task,multi-task
2395,multi-task fine-tuning,multi-task fine-tuning
2396,multi-task learning,Multi-Task Learning
2397,multi-task model,multi-task model
2398,multi-task regression,multi-task regression
2399,multi-task setting,multi-task setting
2400,multi-view,multi-view
2401,multi-view datum,multi-view datum
2402,multi-view geometry,multi-view geometry
2403,multi-view learning,multi-view learning
2404,multi-view stereo,multi-view stereo
2405,multi-view system,multi-view system
2406,multiclass classifier,multiclass classifier
2407,multiclass hinge loss,multiclass hinge loss
2408,multiclass model,multiclass model
2409,multiclass object detection,multiclass object detection
2410,multidimensional quality metric,Multidimensional Quality metric
2411,multidimensional scaling,Multidimensional Scaling
2412,multilingual embedding,multilingual embedding
2413,multilingual language model,multilingual language model
2414,multilingual model,multilingual model
2415,multilingual representation,multilingual representation
2416,multilingual training,multilingual training
2417,multilinguality,multilinguality
2418,multimodal task,multimodal task
2419,multinomial distribution,multinomial distribution
2420,multinomial model,multinomial model
2421,multiple kernel learning,multiple kernel learning
2422,multiple linear regression,multiple linear regression
2423,multiscale modeling,multiscale modeling
2424,multiset,multiset
2425,multitask training,multitask training
2426,multivariate,multivariate
2427,multivariate gaussian distribution,multivariate Gaussian distribution
2428,multivariate normal,multivariate normal
2429,multivariate normal distribution,multivariate normal distribution
2430,multivariate time series,multivariate time series
2431,mutex,mutex
2432,mutexe,mutexe
2433,mutual entropy,mutual entropy
2434,n-gram,n-gram
2435,n-gram feature,n-gram feature
2436,n-gram language model,n-gram language model
2437,n-gram model,n-gram model
2438,natural image statistic,natural image statistic
2439,natural language,natural language
2440,natural language generation,natural language generation
2441,natural language inference,Natural Language Inference
2442,natural language processing,natural language processing
2443,natural language query,natural language query
2444,natural language understanding,Natural Language Understanding
2445,natural logic,natural logic
2446,natural logic inference,natural logic inference
2447,natural parameter,natural parameter
2448,natural question,Natural question
2449,near-optimality,near-optimality
2450,nearest neighbor classifier,nearest neighbor classifier
2451,nearest neighbor search,nearest neighbor search
2452,nearest-neighbor algorithm,nearest-neighbor algorithm
2453,negation,negation
2454,negative log-likelihood,negative log-likelihood
2455,negative pair,negative pair
2456,negative sample,negative sample
2457,negative transfer,negative transfer
2458,neighborhood function,neighborhood function
2459,neighborhood system,neighborhood system
2460,net,net
2461,network,network
2462,network architecture,network architecture
2463,network feature,network feature
2464,network parameter,network parameter
2465,network structure,network structure
2466,network topology,network topology
2467,network weight,network weight
2468,neural activity,neural activity
2469,neural approach,neural approach
2470,neural architecture,neural architecture
2471,neural architecture search,neural architecture search
2472,neural embedding,neural embedding
2473,neural generation model,neural generation model
2474,neural implicit representation,neural implicit representation
2475,neural language model,neural language model
2476,neural machine translation,neural machine translation
2477,neural machinery,neural machinery
2478,neural mapping,neural mapping
2479,neural method,neural method
2480,neural model,neural model
2481,neural module,neural module
2482,neural net,neural net
2483,neural network architecture,neural network architecture
2484,neural network classifier,neural network classifier
2485,neural network language model,neural network language model
2486,neural network layer,neural network layer
2487,neural network model,neural network model
2488,neural operator,neural operator
2489,neural parser,neural parser
2490,neural radiance field,Neural Radiance field
2491,neural renderer,neural renderer
2492,neural rendering,neural rendering
2493,neural representation,neural representation
2494,neural retrieval,neural retrieval
2495,neural scaling law,neural scaling law
2496,neural scene representation,neural scene representation
2497,neural sequence model,neural sequence model
2498,neural text generation,neural text generation
2499,neural volume,Neural volume
2500,neural volumetric representation,neural volumetric representation
2501,neural word embedding,neural word embedding
2502,neuro-symbolic system,neuro-symbolic system
2503,neuron,neuron
2504,next sentence prediction,next sentence prediction
2505,next token prediction,next token prediction
2506,nmod,nmod
2507,no-regret algorithm,no-regret algorithm
2508,no-regret dynamic,no-regret dynamic
2509,no-regret learning algorithm,no-regret learning algorithm
2510,node,node
2511,node attribute,node attribute
2512,node classification,node classification
2513,node degree,node degree
2514,node embedding,node embedding
2515,node feature,node feature
2516,node feature matrix,node feature matrix
2517,node label,node label
2518,node representation,node representation
2519,node set,node set
2520,node-disjoint path,node-disjoint path
2521,noise distribution,noise distribution
2522,noise level,noise level
2523,noise model,noise model
2524,noise schedule,noise schedule
2525,noise-contrastive estimation,noise-contrastive estimation
2526,noisy channel,noisy channel
2527,nominal mention,nominal mention
2528,non-convex objective,non-convex objective
2529,non-convex optimization,non-convex optimization
2530,non-convex problem,non-convex problem
2531,non-convexity,non-convexity
2532,non-euclidean space,non-Euclidean space
2533,non-linear least square,non-linear least square
2534,non-linear optimization,non-linear optimization
2535,non-linearity,non-linearity
2536,non-local feature,non-local feature
2537,non-markov process,non-Markov process
2538,non-max suppression,non-max suppression
2539,non-maxima suppression,non-maxima suppression
2540,non-maximal suppression,non-maximal suppression
2541,non-maximum suppression,Non-maximum suppression
2542,non-negative matrix factorization,non-negative matrix factorization
2543,non-parametric setting,non-parametric setting
2544,non-projective parsing,non-projective parsing
2545,non-submodular energy,non-submodular energy
2546,non-tree model,non-tree model
2547,nonconvex function,nonconvex function
2548,nonlinear optimisation,nonlinear optimisation
2549,nonmonotonic reasoning,nonmonotonic reasoning
2550,nonterminal symbol,nonterminal symbol
2551,norm,norm
2552,normal,normal
2553,normal distribution,normal distribution
2554,normal form,normal form
2555,normal vector,normal vector
2556,normal-form game,normal-form game
2557,normalisation,normalisation
2558,normalization,normalization
2559,normalization constant,normalization constant
2560,normalization factor,normalization factor
2561,normalization function,normalization function
2562,normalization layer,normalization layer
2563,normalization method,normalization method
2564,normalization strategy,normalization strategy
2565,normalize,normalize
2566,noun phrase,noun phrase
2567,novel view synthesis,novel view synthesis
2568,nsubj,nsubj
2569,nsubjpass,nsubjpass
2570,nuclear norm,nuclear norm
2571,nuclear norm relaxation,nuclear norm relaxation
2572,nucleus sampling,Nucleus Sampling
2573,null distribution,null distribution
2574,null space,null space
2575,numerical linear algebra,numerical linear algebra
2576,object bounding box,object bounding box
2577,object categorization,object categorization
2578,object category,object category
2579,object category recognition,object category recognition
2580,object class,object class
2581,object classification,object classification
2582,object detection,object detection
2583,object detector,object detector
2584,object domain,object domain
2585,object embedding,object embedding
2586,object instance segmentation,object instance segmentation
2587,object localization,Object Localization
2588,object model,object model
2589,object proposal,object proposal
2590,object recognition,object recognition
2591,object segmentation,object segmentation
2592,object tracking,object tracking
2593,objective function,objective function
2594,objective value,objective value
2595,objectness,objectness
2596,observation function,observation function
2597,observation model,observation model
2598,observation space,observation space
2599,observational datum,observational datum
2600,occlusion handling,occlusion handling
2601,occlusion reasoning,occlusion reasoning
2602,occupancy grid,occupancy grid
2603,occupancy map,occupancy map
2604,occupancy measure,occupancy measure
2605,odometry,odometry
2606,off-diagonal element,off-diagonal element
2607,off-policy,off-policy
2608,offline algorithm,offline algorithm
2609,offline learning,offline learning
2610,on-policy,on-policy
2611,one-against-all reduction,one-against-all reduction
2612,one-hot representation,one-hot representation
2613,one-hot vector,one-hot vector
2614,one-shot learning,one-shot learning
2615,one-shot setting,one-shot setting
2616,one-stage detector,one-stage detector
2617,one-versus-all,one-versus-all
2618,online algorithm,online algorithm
2619,online convex optimization,online convex optimization
2620,online gradient descent,online gradient descent
2621,online learning,online learning
2622,online learning algorithm,online learning algorithm
2623,online learning method,online learning method
2624,online learning theory,online learning theory
2625,ontology,ontology
2626,ontology language,ontology language
2627,open information extraction,Open Information Extraction
2628,open set,open set
2629,open-ended text generation,open-ended text generation
2630,open-loop,open-loop
2631,operator norm,operator norm
2632,operator sequence,operator sequence
2633,optical character recognition,optical character recognition
2634,optical flow,optical flow
2635,optical flow estimation,optical flow estimation
2636,optimal control theory,optimal control theory
2637,optimal experimental design,optimal experimental design
2638,optimal policy,optimal policy
2639,optimal solution,optimal solution
2640,optimality,optimality
2641,optimality condition,optimality condition
2642,optimisation,optimisation
2643,optimisation problem,optimisation problem
2644,optimiser,optimiser
2645,optimization,optimization
2646,optimization algorithm,optimization algorithm
2647,optimization framework,optimization framework
2648,optimization function,optimization function
2649,optimization method,optimization method
2650,optimization objective,optimization objective
2651,optimization problem,Optimization Problem
2652,optimization procedure,optimization procedure
2653,optimization step,optimization step
2654,optimization theory,optimization theory
2655,optimizer,optimizer
2656,option,option
2657,oracle,oracle
2658,oracle policy,oracle policy
2659,ordinal embedding,ordinal embedding
2660,ordinal regression,ordinal regression
2661,orientation loss,orientation loss
2662,orthogonal basis,orthogonal basis
2663,orthogonal matrix,orthogonal matrix
2664,orthogonal projection matrix,orthogonal projection matrix
2665,orthographic camera model,orthographic camera model
2666,orthographic projection,orthographic projection
2667,orthonormal decomposition,orthonormal decomposition
2668,orthonormal matrix,orthonormal matrix
2669,orthonormal row,orthonormal row
2670,orthonormality,orthonormality
2671,out-of-distribution,out-of-distribution
2672,out-of-domain,out-of-domain
2673,out-of-domain evaluation,out-of-domain evaluation
2674,outlier,outlier
2675,outlier detection,outlier detection
2676,output,output
2677,output gate,output gate
2678,output layer,output layer
2679,output space,output space
2680,output token,output token
2681,output vector,output vector
2682,output vocabulary,output vocabulary
2683,over-segmentation,over-segmentation
2684,paired t-test,paired t-test
2685,pairwise classifier,pairwise classifier
2686,pairwise clique,pairwise clique
2687,pairwise comparison,pairwise comparison
2688,pairwise constraint,pairwise constraint
2689,pairwise flow,pairwise flow
2690,pairwise learning,pairwise learning
2691,pairwise potential,pairwise potential
2692,pairwise word similarity,pairwise word similarity
2693,panoptic segmentation,panoptic segmentation
2694,parallel corpora,parallel corpora
2695,parallel corpus,parallel corpus
2696,parallel datum,parallel datum
2697,parameter count,parameter count
2698,parameter estimation,parameter estimation
2699,parameter learning,parameter learning
2700,parameter matrix,parameter matrix
2701,parameter model,parameter model
2702,parameter regularization,parameter regularization
2703,parameter sharing,parameter sharing
2704,parameter size,parameter size
2705,parameter space,parameter space
2706,parameter tuning,parameter tuning
2707,parameter tying,parameter tying
2708,parameter update,parameter update
2709,parameter vector,parameter vector
2710,parameter-efficient fine-tuning,parameter-efficient fine-tuning
2711,parameterisation,parameterisation
2712,parameterization,parameterization
2713,parametric,parametric
2714,parametric family,parametric family
2715,parametric knowledge,parametric knowledge
2716,parametric model,parametric model
2717,parametrization,parametrization
2718,paraphrase,paraphrase
2719,paraphrase generation,paraphrase generation
2720,paraphrase generator,paraphrase generator
2721,paraphrase identification,paraphrase identification
2722,paraphrase model,paraphrase model
2723,parent node,parent node
2724,pareto optimal,Pareto optimal
2725,pareto optimality,Pareto optimality
2726,pareto-efficient,Pareto-efficient
2727,parse,parse
2728,parse chart,parse chart
2729,parse forest,parse forest
2730,parse score,parse score
2731,parse structure,parse structure
2732,parse tree,parse tree
2733,parser,parser
2734,part of speech,part of speech
2735,part of speech tag,part of speech tag
2736,part of speech tagger,part of speech tagger
2737,partial assignment,partial assignment
2738,partial derivation,partial derivation
2739,partial evaluation,partial evaluation
2740,partial observability,partial observability
2741,partial order,partial order
2742,particle filter,particle filter
2743,partition,partition
2744,partition function,partition function
2745,parzen window,Parzen window
2746,patch,patch
2747,path integration,path integration
2748,path planning,path planning
2749,pattern profile,pattern profile
2750,pattern recognition,pattern recognition
2751,pattern summarization,pattern summarization
2752,pattern-verbalizer pair,pattern-verbalizer pair
2753,payoff function,payoff function
2754,payoff matrix,payoff matrix
2755,pedestrian detection,pedestrian detection
2756,penalty function,penalty function
2757,penalty parameter,penalty parameter
2758,penalty term,penalty term
2759,per-pixel,per-pixel
2760,perception,perception
2761,perceptron algorithm,perceptron algorithm
2762,perceptual feature,perceptual feature
2763,perceptual loss,perceptual loss
2764,perfect matching,perfect matching
2765,performance difference lemma,performance difference lemma
2766,permutation,permutation
2767,permutation invariance,permutation invariance
2768,permutation matrix,permutation matrix
2769,permutation test,permutation test
2770,permutohedral lattice,permutohedral lattice
2771,perplexity,perplexity
2772,perplexity score,perplexity score
2773,perspective projection,perspective projection
2774,perspective projection matrix,perspective projection matrix
2775,perturbation,perturbation
