Index,English,Russian
2534,inference network,сеть вывода
2535,inference problem,задача вывода
2536,inference procedure,процедура вывода
2537,inference process,процесс вывода
2538,inference processor,процессор логического вывода
2539,inference rule,правило вывода
2540,inference stage,этап вывода
2541,inference task,Задача вывода
2542,inference time,Время вывода
2543,inference tree,дерево вывода
2544,infinite-horizon,Процесс с бесконечным горизонтом
2545,influence diagram,диаграмма влияния
2546,influence function,функция влияния
2547,information bottleneck,информационное узкое место
2548,information content,информационное содержание
2549,information gain,информационный прирост
2550,information retrieval,Поиск информации
2551,information retrieval system,информационно-поисковая система
2552,information search,поиск информационный
2553,information set,информационное множество
2554,information theoretic,теоретико-информационный
2555,information theoretic measure,теоретико-информационная мера
2556,infoset,информационное множество
2557,inheritance mechanism,механизм наследования
2558,inhomogeneous Poisson process,неоднородный процесс Пуассона
2559,initial distribution,начальное распределение
2560,initial state,начальное состояние
2561,initial state distribution,распределение начального состояния
2562,initialization,инициализация
2563,injective function,инъективная функция
2564,inlier,внутренний элемент
2565,inner layer,внутренний слой
2566,inner loop,внутренний цикл
2567,inner node,внутренний узел
2568,inner product,внутреннее произведение
2569,input context,входной контекст
2570,input datum,входные данные
2571,input embedding,входное встраивание
2572,input feature,входная характеристика
2573,input feature vector,вектор входных признаков
2574,input filter,фильтр входных данных
2575,input formula,входная формула
2576,input gate,входной вентиль
2577,input graph,входной граф
2578,input image,входное изображение
2579,input layer,входной слой
2580,input length,длина входных данных
2581,input matrix,входная матрица
2582,input point,входная точка
2583,input position,входная позиция
2584,input representation,представление входных данных
2585,input resolution,входное разрешение
2586,input sequence,входная последовательность
2587,input space,Входное пространство
2588,input tensor,входной тензор
2589,input text,входной текст
2590,input token,входной токен
2591,input vector,входной вектор
2592,input-output pair,пара вход-выход
2593,instance,экземпляр
2594,instance level,уровень экземпляра
2595,instance segmentation,сегментация экземпляров
2596,instance selection,выбор экземпляров
2597,instance space,пространство экземпляров
2598,instruction tuning,настройка инструкций
2599,integer linear program,Целочисленная линейная программа
2600,integer program,целочисленная программа
2601,integral image,интегральное изображение
2602,integral operator,интегральный оператор
2603,integral probability metric,интегральная вероятностная метрика
2604,integral robot,робот интегральный
2605,integrity constraint,Ограничение целостности
2606,intelligent agent,интеллектуальный агент
2607,intelligent interface,интерфейс интеллектуальный
2608,intelligent learning system,система интеллектуальная обучающаяся
2609,intelligent robot,робот интеллектуальный
2610,intelligent system,система интеллектуальная
2611,intelligent teaching system,система интеллектуальная обучающая
2612,intensional knowledge base,база знаний интенсиональная
2613,intensional relation,отношение интенсиональное
2614,intensional semantic network,сеть семантическая интенсиональная
2615,intensity function,Функция интенсивности
2616,intent,намерение
2617,inter-annotator agreement,согласие аннотаторов
2618,interaction matrix,матрица взаимодействий
2619,interactive system,система интерактивная
2620,interest point,ключевая точка
2621,interior point method,метод внутренних точек
2622,intermediate layer,промежуточный слой
2623,intermediate representation,промежуточное представление
2624,internal edge,внутреннее ребро
2625,internal node,внутренний узел
2626,internal regret,внутреннее сожаление
2627,internal representation,внутренняя репрезентация
2628,internal state,внутреннее состояние
2629,interpolation,интерполяция
2630,interpretability,интерпретируемость
2631,interpretation,интерпретация
2632,interpretation function,функция интерпретации
2633,intersection-over-union,пересечение-над-объединением
2634,interval estimate,оценка интервала
2635,interview,интервью
2636,interview method,метод интервью
2637,intractability,неразрешимость
2638,intrinsic,внутренние параметры
2639,intrinsic camera parameter,внутренние параметры камеры
2640,intrinsic dimension subspace,подпространство внутренней размерности
2641,intrinsic dimensionality,внутренняя размерность
2642,intrinsic evaluation,внутренние оценки
2643,intrinsic image,внутренние изображения
2644,intrinsic parameter,внутренние параметры
2645,intuitionistic inference,вывод интуиционисткий
2646,intuitionistic logic,логика интуиционисткая
2647,inverse document frequency,обратная частота документа
2648,inverse dynamic model,модель обратной динамики
2649,inverse problem,обратная задача
2650,inverse reinforcement learning,Обратное обучение с подкреплением
2651,inverse rendering,инверсный рендеринг
2652,inverse role,обратная роль
2653,inverse square root learning rate schedule,расписание скорости обучения с обратным квадратным корнем
2654,inverse square root learning rate scheduler,планировщик скорости обучения с обратным квадратным корнем
2655,inverse transform sampling,выборка методом обратного преобразования
2656,inverted index,обратный индекс
2657,inverted list,инвертированный список
2658,invertible map,обратимое отображение
2659,invertible matrix,обратимая матрица
2660,iobj,косвенное дополнение
2661,iso-surface extraction,извлечение изоповерхностей
2662,isotropic Gaussians,изотропные гауссианы
2663,itemset,набор элементов
2664,iterate,итерация
2665,iterated conditional mode,итеративный метод условных режимов
2666,iteration,итерация
2667,iteration complexity,сложность итераций
2668,iteration counter,счётчик итераций
2669,iterative algorithm,итеративный алгоритм
2670,iterative deepening,Итеративное углубление
2671,iterative optimization,Итеративная оптимизация
2672,iterative optimization algorithm,итеративный алгоритм оптимизации
2673,iterative training algorithm,итеративный алгоритм обучения
2674,iteratively reweighted least square,итеративно перевзвешенные наименьшие квадраты
2675,joint density,совместная плотность
2676,joint distribution,совместное распределение
2677,joint embedding space,совместное пространство вложений
2678,joint encoding,совместное кодирование
2679,joint entropy,совместная энтропия
2680,joint inference,совместное выведение
2681,joint learning,Совместное обучение
2682,joint learning algorithm,Алгоритм совместного обучения
2683,joint likelihood,совместная правдоподобие
2684,joint model,Совместная модель
2685,joint policy,совместная стратегия
2686,joint probability,совместная вероятность
2687,joint probability distribution,совместное распределение вероятностей
2688,joint probability matrix,матрица совместной вероятности
2689,joint probability table,таблица совместной вероятности
2690,joint semantic space,совместное семантическое пространство
2691,judgement,суждение
2692,junction tree,дерево связей
2693,junction tree algorithm,алгоритм дерева связей
2694,justification,оправдание
2695,k nearest neighbor,k ближайших соседей
2696,k-Center,k-центр
2697,k-best list,список k лучших
2698,k-best parsing,k-лучший разбор
2699,k-d tree,k-d дерево
2700,k-hop neighbor,соседи на расстоянии k шагов
2701,k-means clustering algorithm,алгоритм кластеризации k-средних
2702,k-nearest neighbor,метод k-ближайших соседей
2703,k-nearest neighbor classifier,классификатор k-ближайших соседей
2704,k-nearest neighbor graph,граф k-ближайших соседей
2705,kernel approximation,аппроксимация ядра
2706,kernel bandwidth,ширина ядра
2707,kernel classifier,классификатор на основе ядра
2708,kernel density,оценка плотности ядра
2709,kernel density estimate,оценка ядерной плотности
2710,kernel density estimation,оценка плотности ядра
2711,kernel evaluation,оценка ядра
2712,kernel function,функция ядра
2713,kernel learning,метод обучения с ядрами
2714,kernel learning problem,задача обучения с использованием ядра
2715,kernel machine,машина на основе ядра
2716,kernel matrix,матрица ядра
2717,kernel method,метод ядра
2718,kernel operation,операция ядра
2719,kernel operator,оператор ядра
2720,kernel parameter,параметр ядра
2721,kernel regression,ядровая регрессия
2722,kernel ridge regression,ядерная ридж-регрессия
2723,kernel size,размер ядра
2724,kernel smoothing,сглаживание ядром
2725,kernel space,пространство ядра
2726,kernel spectrum,спектр ядра
2727,kernel trick,Трюк с ядром
2728,kernel value,значение ядра
2729,kernel weight,вес ядра
2730,kernel width,ширина ядра
2731,kernel-based classification,классификация на основе ядра
2732,key,ключ
2733,keypoint,ключевая точка
2734,keypoint detection,Обнаружение ключевых точек
2735,keypoint detector,детектор ключевых точек
2736,keypoint location,расположение ключевых точек
2737,keypoint match,сопоставление ключевых точек
2738,knapsack problem,задача о рюкзаке
2739,knoledge-based inference,вывод на знаниях
2740,knowledge acquisition,извлечение знаний
2741,knowledge base,база знаний
2742,knowledge base debugging,отладка базы знаний
2743,knowledge base machine,машина баз знаний
2744,knowledge base management system,система управления базой знаний
2745,knowledge compilation,компиляция знаний
2746,knowledge distillation,дистилляция знаний
2747,knowledge element,элемент знаний
2748,knowledge engineer,инженер по знаниям
2749,knowledge engineering,инженерия знаний
2750,knowledge engineering tools,средства инженерии знаний инструментальные
2751,knowledge graph,Граф знаний
2752,knowledge graph completion,дополнение графа знаний
2753,knowledge identification,идентификация знаний
2754,knowledge model,модель знаний
2755,knowledge representation,представление знаний
2756,knowledge representation language,язык представления знаний
2757,knowledge representation system,система представления знаний
2758,knowledge source,источник знаний
2759,knowledge transfer,передача знаний
2760,knowledge-based system,"система, основанная на знаниях"
2761,label,метка
2762,label distribution,распределение меток
2763,label embedding,встраивание меток
2764,label noise,шум меток
2765,label sequence,последовательность меток
2766,label smoothing,сглаживание меток
2767,label space,пространство меток
2768,label token,токен метки
2769,label vector,вектор меток
2770,labeled datum,размеченный датум
2771,labeled example,размеченный пример
2772,labeled graph,помеченный граф
2773,labeled training datum,размеченный обучающий пример
2774,labyrinth model,модель лабиринтная
2775,lambda calculus,лямбда-исчисление
2776,lambda-calculus,"""лямбда""-исчисление"
2777,landmark,ориентир
2778,landmark point,опорная точка
2779,language drift,языковой дрейф
2780,language encoder,языковой энкодер
2781,language generation,генерация языка
2782,language generation model,модель генерации языка
2783,language identification,идентификация языка
2784,language model,модель языка
2785,language model pre-training,предобучение языковой модели
2786,language pair,Языковая пара
2787,language representation,языковое представление
2788,language transfer,Языковой перенос
2789,language understanding,понимание языка
2790,large language model,большая языковая модель
2791,large-margin learning,обучение с большой маржей
2792,latent Dirichlet allocation,латентное распределение Дирихле
2793,latent code,латентный код
2794,latent dimension,латентное измерение
2795,latent distribution,Латентное распределение
2796,latent dynamic model,латентная динамическая модель
2797,latent embedding,Латентное представление
2798,latent factor,латентный фактор
2799,latent feature,латентная особенность
2800,latent function,латентная функция
2801,latent group,латентная группа
2802,latent parameter,скрытый параметр
2803,latent representation,латентное представление
2804,latent reward function,латентная функция вознаграждения
2805,latent semantic,латентная семантика
2806,latent semantic analysis,Латентный семантический анализ
2807,latent space,латентное пространство
2808,latent state,скрытое состояние
2809,latent topic,латентная тема
2810,latent variable,скрытая переменная
2811,latent variable model,модель скрытых переменных
2812,latent vector,латентный вектор
2813,layer,слой
2814,layer activation,активация слоя
2815,layer normalization,Нормализация слоя
2816,layer-wise learning rate decay,затухание скорости обучения по слоям
2817,lazy grounding,ленивое заземление
2818,leaf node,узел-лист
2819,learnability,обучаемость
2820,learnable parameter,обучаемый параметр
2821,learnable vector,Обучаемый вектор
2822,learned model,обученная модель
2823,learned representation,обученное представление
2824,learner,обучающийся
2825,learning agent,агент обучения
2826,learning algorithm,алгоритм обучения
2827,learning from examples,обучение на примерах
2828,learning method,метод обучения
2829,learning model,модель обучения
2830,learning paradigm,парадигма обучения
2831,learning problem,проблема обучения
2832,learning rate,Скорость обучения
2833,learning rate decay,затухание коэффициента обучения
2834,learning rate decay schedule,график уменьшения темпа обучения
2835,learning rate schedule,расписание скорости обучения
2836,learning rate scheduler,планировщик коэффициента обучения
2837,learning rate warmup,разогрев коэффициента обучения
2838,learning system,система обучающаяся
2839,learning-to-rank algorithm,алгоритм обучения ранжированию
2840,least square,метод наименьших квадратов
2841,least square criterion,критерий наименьших квадратов
2842,least square minimization,минимизация методом наименьших квадратов
2843,least square problem,задача наименьших квадратов
2844,least square regression,регрессия методом наименьших квадратов
2845,least square solution,решение методом наименьших квадратов
2846,leave-one-out,метод исключения одного наблюдения
2847,left-to-right model,модель слева направо
2848,lemmatization,лемматизация
2849,length normalization,нормализация длины
2850,length penalty,Штраф за длину
2851,lexeme,лексема
2852,lexical acquisition,Лексическое приобретение
2853,lexical acquisition algorithm,алгоритм лексического приобретения
2854,lexical ambiguity,лексическая неоднозначность
2855,lexical entry,лексическая единица
2856,lexical exposure,лексическая экспозиция
2857,lexical feature,лексическая характеристика
2858,lexical head,лексическая голова
2859,lexical item,лексическая единица
2860,lexical knowledge,лексические знания
2861,lexical model,лексическая модель
2862,lexical overlap,лексическое перекрытие
2863,lexicalization,лексикализация
2864,lexicalized grammar,лексикализованная грамматика
2865,lexicalized parsing model,лексикализованная модель синтаксического анализа
2866,lexicon,лексикон
2867,lexicon induction,индукция лексикона
2868,lifelong learning,Обучение на протяжении всей жизни
2869,light field,световое поле
2870,light field interpolation,интерполяция светового поля
2871,likelihood function,функция правдоподобия
2872,likelihood ratio test,тест отношения правдоподобия
2873,likelihood score,оценка правдоподобия
2874,line search,поиск по линии
2875,linear activation function,линейная функция активации
2876,linear algebra,линейная алгебра
2877,linear classification,линейная классификация
2878,linear classification layer,Линейный классификационный слой
2879,linear classifier,Линейный классификатор
2880,linear combination,линейная комбинация
2881,linear complexity,линейная сложность
2882,linear constraint,Линейное ограничение
2883,linear decay,линейное снижение
2884,linear decoder,Линейный декодер
2885,linear discriminant analysis,Линейный дискриминантный анализ
2886,linear equation,Линейное уравнение
2887,linear evaluation,Линейная оценка
2888,linear function,линейная функция
2889,linear function approximation,аппроксимация линейной функции
2890,linear inequality,линейное неравенство
2891,linear inference,вывод линейный
2892,linear interpolation,линейная интерполяция
2893,linear kernel,линейное ядро
2894,linear layer,линейный слой
2895,linear learning rate decay,линейное уменьшение скорости обучения
2896,linear learning rate schedule,линейное расписание скорости обучения
2897,linear map,линейное отображение
2898,linear model,линейная модель
2899,linear predictor,Линейный предиктор
2900,linear probe,линейный зонд
2901,linear program,линейная программа
2902,linear programming relaxation,релаксация линейного программирования
2903,linear projection,линейная проекция
2904,linear regression,Линейная регрессия
2905,linear regression model,модель линейной регрессии
2906,linear regressor,линейный регрессор
2907,linear scaling,Линейное масштабирование
2908,linear scheduler,линейный планировщик
2909,linear separability,линейная разделимость
2910,linear system,линейная система
2911,linear transform,линейное преобразование
2912,linear transformation,Линейное преобразование
2913,linear transformation matrix,Матрица линейного преобразования
2914,linear warm-up,линейная разминка
2915,linear-bounded automaton,автомат линейно-ограниченный
2916,linear-chain,линейная цепочка
2917,linear-quadratic regulator,линейно-квадратичный регулятор
2918,linearization,линеаризация
2919,linguistic model,модель лингвистическая
2920,linguistic processor,процессор лингвистический
2921,linguistic uncertainty,неопределенность лингвистическая
2922,linguistic variable,переменная лингвистическая
2923,linguistics,языкознания
2924,link function,функция связи
2925,link prediction,предсказание связей
2926,lips,липс
2927,literal,литера
2928,local basis function,локальная базисная функция
2929,local coherence,локальная когерентность
2930,local context,локальный контекст
2931,local coordinate frame,локальная система координат
2932,local feature,локальная особенность
2933,local geometry,локальная геометрия
2934,local image feature,локальная особенность изображения
2935,local maxima,локальные максимумы
2936,local maximum,локальный максимум
2937,local minima,локальные минимумы
2938,local minimizer,локальный минимизатор
2939,local minimum,локальный минимум
2940,local model,локальная модель
2941,local optima,локальные оптимумы
2942,local optimum,локальный оптимум
2943,local parameter,локальный параметр
2944,local search,локальный поиск
2945,local search method,метод локального поиска
2946,local variable,локальная переменная
2947,local window,локальное окно
2948,locality-sensitive hashing,"хэширование, чувствительное к локальности"
2949,localization,локализация
2950,location parameter,параметр положения
2951,locution,локуция
2952,log,логарифм
2953,log likelihood,логарифмическое правдоподобие
2954,log loss,логарифмическая потеря
2955,log marginal likelihood,логарифмическое предельное правдоподобие
2956,log p,логарифм вероятности
2957,log partition function,логарифм функции разбиения
2958,log perplexity,логарифмическая перплексность
2959,log probability,логарифм вероятности
2960,log-likelihood function,функция логарифма правдоподобия
2961,log-likelihood loss,логарифмическая потеря правдоподобия
2962,log-likelihood ratio,логарифмическое отношение правдоподобия
2963,log-linear model,лог-линейная модель
2964,log-linear translation model,лог-линейная модель перевода
2965,log-log plot,лог-лог график
2966,log-normal distribution,логнормальное распределение
2967,log-odd score,лог-оддсовый балл
2968,log-prob,лог-вероятность
2969,log-sum-exp,лог-сумма-эксп
2970,logic,логика
2971,logical calculus,исчисление логическое
2972,logical connective,логическая связка
2973,logical consequence,следствие логическое
2974,logical form,логическая форма
2975,logical inference,вывод логический
2976,logical knowledge representation language,язык представления знаний логический
2977,logical model,модель логическая
2978,logical negation,отрицание логическое
2979,logical processor,процессор логический
2980,logical programming,программирование логическое
2981,logical theory,теория логическая
2982,logical-linquistic model,модель логико-лингвистическая
2983,logistic function,логистическая функция
2984,logistic loss,логистическая потеря
2985,logistic regression,Логистическая регрессия
2986,logistic regression classifier,классификатор логистической регрессии
2987,logistic regression model,модель логистической регрессии
2988,logit,логит
2989,logit model,логит-модель
2990,long-range dependency,зависимость на длинных расстояниях
2991,lookup table,таблица поиска
2992,loop closure,замыкание цикла
2993,loopy belief propagation,петлевая передача убеждений
2994,loss,ошибка
2995,loss distribution,распределение потерь
2996,loss function,функция потерь
2997,loss landscape,ландшафт функции потерь
2998,loss minimization,минимизация потерь
2999,loss term,слагаемое потерь
3000,lossy compression,сжатие с потерями
3001,lottery ticket hypothesis,гипотеза лотерейного билета
3002,low rank,низкий ранг
3003,low rank approximation,аппроксимация низкого ранга
3004,low-data regime,режим с ограниченным количеством данных
3005,low-dimensional embedding,низкоразмерное вложение
3006,low-dimensional representation,низкоразмерное представление
3007,low-pass filter,фильтр нижних частот
3008,low-rank factorization,факторизация низкого ранга
3009,low-rank matrix approximation,аппроксимация матрицы низкого ранга
3010,lower bound,нижняя граница
3011,mIoU,mIoU
3012,mT5,mT5
3013,machine learning,Машинное обучение
3014,machine learning algorithm,алгоритм машинного обучения
3015,machine learning classifier,классификатор машинного обучения
3016,machine learning model,модель машинного обучения
3017,machine learning system,система машинного обучения
3018,machine reading,машинное чтение
3019,machine translation,перевод машинный
3020,machine translation model,модель машинного перевода
3021,machine translation system,система машинного перевода
3022,machine vision,машинное зрение
3023,machine-generated text,машинно сгенерированный текст
3024,machine-in-the-loop,система с участием машины
3025,macro-F1,макро-F1
3026,macro-action,макродействие
3027,macro-average,макро-среднее
3028,majority voting,голосование большинством
3029,manifold,многообразие
3030,manifold hypothesis,многообразная гипотеза
3031,manifold learning,обучение многомерностей
3032,manifold projection,Проекция на многообразие
3033,manifold structure,структура многообразия
3034,manifold-valued datum,"данные, принимающие значения на многообразии"
3035,margin parameter,параметр маржи
3036,marginal density,маргинальная плотность
3037,marginal distribution,маргинальное распределение
3038,marginal inference,маргинальное инференцирование
3039,marginal likelihood,маргинальная правдоподобие
3040,marginal log-likelihood,маргинальное логарифмическое правдоподобие
3041,marginal polytope,маргинальный политоп
3042,marginal probability,маргинальная вероятность
3043,marginalization,маргинализация
3044,mask,маска
3045,mask token,токен маски
3046,mask vector,вектор маски
3047,masked input,входные данные с маской
3048,masked language model,маскированная языковая модель
3049,masked token,маскированный токен
3050,masking function,функция маскирования
3051,matching algorithm,алгоритм сопоставления
3052,matching loss,функция потерь сопоставления
3053,mathematical logic,логика математическая
3054,matrix,матрица
3055,matrix approximation,аппроксимация матрицы
3056,matrix completion,Восстановление матрицы
3057,matrix decomposition,разложение матрицы
3058,matrix form,матричная форма
3059,matrix grammar,грамматика матричная
3060,matrix inversion,обращение матрицы
3061,matrix multiplication,умножение матриц
3062,matrix norm,норма матрицы
3063,matrix processor,процессор матричный
3064,matrix sketching,эскизирование матрицы
3065,matrix vector product,умножение матрицы на вектор
3066,matrix-vector multiplication,умножение матрицы на вектор
3067,matroid,матроид
3068,matroid constraint,матроидное ограничение
3069,max norm,норма максимума
3070,max pooling,макс-пулинг
3071,max-margin,макс-маржа
3072,max-margin learning,обучение с максимальной маржей
3073,max-pool,макспулинг
3074,max-pooling layer,слой макс-пулинга
3075,max-product semiring,полукольцо максимального произведения
3076,maximal clique,максимальная клика
3077,maximal frequent itemset,максимальный частый набор элементов
3078,maximal frequent pattern,максимальный часто встречающийся паттерн
3079,maximization problem,задача максимизации
3080,maximum a posteriori,максимум апостериори
3081,maximum a posteriori estimation,максимальная апостериорная оценка
3082,maximum clique,максимальная клика
3083,maximum entropy,максимум энтропии
3084,maximum entropy model,модель максимальной энтропии
3085,maximum entropy principle,принцип максимальной энтропии
3086,maximum flow,максимальный поток
3087,maximum likelihood,Метод максимального правдоподобия
3088,maximum likelihood estimate,оценка максимального правдоподобия
3089,maximum likelihood estimation,оценка максимального правдоподобия
3090,maximum likelihood estimator,оцениватель максимального правдоподобия
3091,maximum likelihood learning,обучение методом максимального правдоподобия
3092,maximum mean discrepancy,максимальное среднее расхождение
3093,mean average precision,средняя средняя точность
3094,mean field,метод среднего поля
3095,mean function,функция среднего
3096,mean pooling,усреднение
3097,mean reciprocal rank,средний обратный ранг
3098,mean shape,средняя форма
3099,mean square error,среднеквадратичная ошибка
3100,mean vector,вектор среднего значения
3101,mean-field approximation,приближение среднего поля
3102,measurable space,измеримое пространство
3103,measurement matrix,матрица измерений
3104,measurement noise,шум измерений
3105,medical imaging,медицинская визуализация
3106,medoid,медоид
3107,membership function,функция переходов
3108,membership inference attack,атака на вывод о принадлежности
3109,membership query,запрос на членство
3110,memory bank,банк памяти
3111,memory capacity,ёмкость памяти
3112,memory cell,ячейка памяти
3113,memory complexity,сложность памяти
3114,mention detection,обнаружение упоминаний
3115,menu,меню
3116,meronymy,меронимия
3117,message passing,передача сообщений
3118,message passing algorithm,алгоритм передачи сообщений
3119,meta,мета
3120,meta-algorithm,мета-алгоритм
3121,meta-classifier,мета-классификатор
3122,meta-dataset,мета-набор данных
3123,meta-evaluation,мета-оценка
3124,meta-knowledge,метазнание
3125,meta-language,метаязык
3126,meta-learn,метаобучение
3127,meta-learner,мета-обучающий алгоритм
3128,meta-learning,Метаобучение
3129,meta-loss,мета-потеря
3130,meta-parameter,метапараметр
3131,meta-production,метапродукция
3132,meta-testing,мета-тестирование
3133,meta-training,мета-обучение
3134,metadata,метаданные
3135,metaphor,метафора
3136,metric learning,метрическое обучение
3137,metric learning algorithm,алгоритм обучения метрике
3138,metric scale,шкала метрическая
3139,metric score,метрический балл
3140,metric space,метрическое пространство
3141,micro-average,микросредний
3142,microarray datum,данные микромассива
3143,mini-batch,мини-партия
3144,mini-batch size,размер мини-пакета
3145,mini-batch training,обучение с использованием мини-пакетов
3146,minima,минимумы
3147,minimax,минимакс
3148,minimax game,минимаксная игра
3149,minimax optimization problem,задача минимаксной оптимизации
3150,minimax problem,задача минимакса
3151,minimization problem,задача минимизации
3152,minimizer,минимизатор
3153,minimum baye risk decoding,декодирование с минимальным байесовским риском
3154,minimum cut,минимальный разрез
3155,minimum description length,минимальная длина описания
3156,minimum support,минимальная поддержка
3157,mirror descent,оптимистический зеркальный спуск
3158,misclassification error,ошибка неверной классификации
3159,misclassification loss,потери при неправильной классификации
3160,misinformation detection,Обнаружение дезинформации
3161,mixed integer programming,задача смешанного целочисленного программирования
3162,mixed precision,смешанная точность
3163,mixed precision training,обучение с использованием смешанной точности
3164,mixed strategy,смешанная стратегия
3165,mixed-integer program,смешанно-целочисленная программа
3166,mixing matrix,матрица смешивания
3167,mixing time,время смешивания
3168,mixing weight,веса смешивания
3169,mixture component,компонент смеси
3170,mixture distribution,распределение смеси
3171,mixture model,модель смеси
3172,mixture of Gaussians,Смесь гауссовых распределений
3173,mixture weight,вес смеси
3174,mocap,захват движения
3175,modality,модальность
3176,mode,модус
3177,mode collapse,коллапс режимов
3178,model M,модель M
3179,model accuracy,Точность модели
3180,model architecture,архитектура модели
3181,model averaging,усреднение моделей
3182,model bias,Предвзятость модели
3183,model capacity,ёмкость модели
3184,model card,карточка модели
3185,model checking,проверка модели
3186,model class,класс моделей
3187,model comparison,сравнение моделей
3188,model complexity,сложность модели
3189,model compression,сжатие модели
3190,model convergence,сходимость модели
3191,model development,Разработка модели
3192,model distillation,Модельная дистилляция
3193,model distribution,распределение модели
3194,model estimation,оценка модели
3195,model evaluation,оценка модели
3196,model family,семейство моделей
3197,model fine-tuning,дообучение модели
3198,model generalization,обобщение модели
3199,model hyperparameter,Гиперпараметр модели
3200,model inconsistency,противоречивость модельная
3201,model inference,инференс модели
3202,model initialization,Инициализация модели
3203,model interpretability,интерпретируемость модели
3204,model interpretation,интерпретация модели
3205,model layer,слой модели
3206,model output,выходные данные модели
3207,model parallelism,параллелизм модели
3208,model parameter,параметр модели
3209,model performance,Производительность модели
3210,model precision,точность модели
3211,model prediction,предсказание модели
3212,model predictive control,модельное предсказательное управление
3213,model representation,представление модели
3214,model robustness,робастность модели
3215,model score,оценка модели
3216,model selection,Выбор модели
3217,model size,размер модели
3218,model specification,спецификация модели
3219,model structure,структура модели
3220,model training,обучение модели
3221,model update,обновление модели
3222,model variant,вариант модели
3223,model weight,веса модели
3224,model's parameter,параметры модели
3225,model-based approach,подход на основе модели
3226,model-based reinforcement learning,обучение с подкреплением на основе модели
3227,model-free approach,безмодельный подход
3228,modular,модулярный
3229,modular architecture,модульная архитектура
3230,module,модуль
3231,modus ponens,модус поненс
3232,modus tollens,модус толленс
3233,moment matching,сопоставление моментов
3234,momentum,моментум
3235,momentum coefficient,коэффициент моментума
3236,momentum encoder,Моментум-энкодер
3237,momentum term,член моментума
3238,monocular,монокулярный
3239,monocular reconstruction,монокулярная реконструкция
3240,monolingual baseline,монолингвальная базовая модель
3241,monolingual corpora,одноязычные корпуса
3242,monolingual corpus,одноязычный корпус
3243,monolingual dataset,одноязычный набор данных
3244,monolingual datum,монолингвальные данные
3245,monolingual embedding,моноязыковое встраивание
3246,monolingual model,монолингвальная модель
3247,monolingual training,монолингвальное обучение
3248,monotone,монотонный
3249,monotonic,монотонный
3250,monotonic logic,логика монотонная
