Index,English,Japanese
2538,iterative deepening,反復深化
2539,iterative optimization,反復最適化
2540,iterative optimization algorithm,反復最適化アルゴリズム
2541,iterative training algorithm,反復訓練アルゴリズム
2542,iteratively reweighted least square,反復再重み付け最小二乗法
2543,joint density,同時密度
2544,joint distribution,同時分布
2545,joint embedding space,同時埋め込み空間
2546,joint encoding,同時エンコーディング
2547,joint entropy,同時エントロピー
2548,joint inference,ジョイント推論
2549,joint learning,ジョイント学習
2550,joint learning algorithm,ジョイント学習アルゴリズム
2551,joint likelihood,結合尤度
2552,joint model,ジョイントモデル
2553,joint policy,ジョイントポリシー
2554,joint probability,結合確率
2555,joint probability distribution,結合確率分布
2556,joint probability matrix,結合確率行列
2557,joint probability table,結合確率表
2558,joint semantic space,共同意味空間
2559,junction tree,ジャンクションツリー
2560,junction tree algorithm,ジャンクションツリーアルゴリズム
2561,k nearest neighbor,k最近傍法
2562,k-Center,kセンター
2563,k-best list,k-bestリスト
2564,k-best parsing,k-best構文解析
2565,k-d tree,k-d木
2566,k-hop neighbor,k-hop隣接ノード
2567,k-means clustering algorithm,k-means クラスタリングアルゴリズム
2568,k-nearest neighbor,k最近傍法
2569,k-nearest neighbor classifier,k最近傍分類器
2570,k-nearest neighbor graph,k最近傍グラフ
2571,kernel approximation,カーネル近似
2572,kernel bandwidth,カーネルバンド幅
2573,kernel classifier,カーネル分類器
2574,kernel density,カーネル密度
2575,kernel density estimate,カーネル密度推定
2576,kernel density estimation,カーネル密度推定法
2577,kernel evaluation,カーネル評価
2578,kernel function,カーネル関数
2579,kernel learning,カーネル学習
2580,kernel learning problem,カーネル学習問題
2581,kernel machine,カーネルマシン
2582,kernel matrix,カーネル行列
2583,kernel method,カーネル法
2584,kernel operation,カーネル操作
2585,kernel operator,カーネル演算子
2586,kernel parameter,カーネルパラメータ
2587,kernel regression,カーネル回帰
2588,kernel ridge regression,カーネルリッジ回帰
2589,kernel size,カーネルサイズ
2590,kernel smoothing,カーネルスムージング
2591,kernel space,カーネル空間
2592,kernel spectrum,カーネルスペクトル
2593,kernel trick,カーネルトリック
2594,kernel value,カーネル値
2595,kernel weight,カーネル重み
2596,kernel width,カーネル幅
2597,kernel-based classification,カーネルベースの分類
2598,key,キー
2599,keypoint,キーポイント
2600,keypoint detection,キーポイント検出
2601,keypoint detector,キーポイント検出器
2602,keypoint location,キーポイント位置
2603,keypoint match,キーポイントマッチ
2604,knapsack problem,ナップサック問題
2606,knowledge base,知識ベース
2607,knowledge compilation,知識コンパイル
2608,knowledge distillation,知識蒸留
2609,knowledge element,知識要素
2610,knowledge graph,知識グラフ
2611,knowledge graph completion,知識グラフ補完
2612,knowledge representation,知識表現
2613,knowledge transfer,知識転送
2614,label,ラベル
2615,label distribution,ラベル分布
2616,label embedding,ラベル埋め込み
2617,label noise,ラベルノイズ
2618,label sequence,ラベルシーケンス
2619,label smoothing,ラベルスムージング
2620,label space,ラベル空間
2621,label token,ラベルトークン
2622,label vector,ラベルベクトル
2624,labeled datum,ラベル付きデータ
2625,labeled example,ラベル付き例
2626,labeled graph,ラベル付きグラフ
2627,labeled training datum,ラベル付きトレーニングデータ
2628,lambda calculus,ラムダ計算
2629,landmark,ランドマーク
2630,landmark point,ランドマークポイント
2632,language drift,言語の漂流
2633,language encoder,言語エンコーダ
2634,language generation,言語生成
2635,language generation model,言語生成モデル
2636,language identification,言語識別
2637,language model,言語モデル
2638,language model pre-training,言語モデルの事前学習
2639,language pair,言語ペア
2640,language representation,言語表現
2641,language transfer,言語転送
2642,language understanding,言語理解
2645,large language model,大規模言語モデル
2646,large-margin learning,ラージ・マージン・ラーニング
2647,latent Dirichlet allocation,潜在ディリクレ配分
2648,latent code,潜在コード
2649,latent dimension,潜在次元
2650,latent distribution,潜在分布
2651,latent dynamic model,潜在動的モデル
2652,latent embedding,潜在埋め込み
2653,latent factor,潜在因子
2654,latent feature,潜在特徴
2655,latent function,潜在関数
2656,latent group,潜在グループ
2657,latent parameter,潜在パラメータ
2658,latent representation,潜在表現
2659,latent reward function,潜在報酬関数
2660,latent semantic,潜在意味
2661,latent semantic analysis,潜在意味解析
2662,latent space,潜在空間
2663,latent state,潜在状態
2664,latent topic,潜在トピック
2665,latent variable,潜在変数
2666,latent variable model,潜在変数モデル
2667,latent vector,潜在ベクトル
2668,layer,レイヤー
2669,layer activation,レイヤー活性化
2670,layer normalization,レイヤー正規化
2671,layer-wise learning rate decay,層ごとの学習率減衰
2672,lazy grounding,レイジーグラウンディング
2673,leaf node,リーフノード
2674,learnability,学習可能性
2675,learnable parameter,学習可能なパラメータ
2676,learnable vector,学習可能ベクトル
2677,learned model,学習モデル
2678,learned representation,学習された表現
2679,learner,学習者
2681,learning agent,学習エージェント
2682,learning algorithm,学習アルゴリズム
2683,learning method,学習方法
2684,learning paradigm,学習パラダイム
2685,learning problem,学習問題
2686,learning rate,学習率
2687,learning rate decay,学習率減衰
2688,learning rate decay schedule,学習率減衰スケジュール
2689,learning rate schedule,学習率スケジュール
2690,learning rate scheduler,学習率スケジューラ
2691,learning rate warmup,学習率ウォームアップ
2692,learning-to-rank algorithm,ランキング学習アルゴリズム
2693,least square,最小二乗法
2694,least square criterion,最小二乗基準
2695,least square minimization,最小二乗最適化
2696,least square problem,最小二乗問題
2697,least square regression,最小二乗回帰
2698,least square solution,最小二乗解
2699,leave-one-out,一つ除外法
2700,left-to-right model,左から右へのモデル
2701,lemmatization,レンマ化
2702,length normalization,長さ正規化
2703,length penalty,長さペナルティ
2704,lexeme,レキシーム
2706,lexical acquisition,語彙獲得
2707,lexical acquisition algorithm,語彙獲得アルゴリズム
2708,lexical ambiguity,語彙的曖昧性
2709,lexical entry,語彙エントリ
2710,lexical exposure,語彙的露出
2711,lexical feature,語彙特徴
2712,lexical head,語彙的ヘッド
2713,lexical item,語彙項目
2714,lexical knowledge,語彙知識
2715,lexical model,語彙モデル
2716,lexical overlap,語彙的重複
2717,lexicalization,語彙化
2718,lexicalized grammar,語彙化文法
2719,lexicalized parsing model,語彙化された構文解析モデル
2720,lexicon,辞書
2721,lexicon induction,辞書誘導
2722,lifelong learning,生涯学習
2723,light field,ライトフィールド
2724,light field interpolation,ライトフィールド補間
2725,likelihood function,尤度関数
2726,likelihood ratio test,尤度比検定
2727,likelihood score,尤度スコア
2728,line search,線形探索
2730,linear activation function,線形活性化関数
2731,linear algebra,線形代数
2732,linear classification,線形分類
2733,linear classification layer,線形分類層
2734,linear classifier,線形分類器
2735,linear combination,線形結合
2736,linear complexity,線形複雑性
2737,linear constraint,線形制約
2738,linear decay,線形減衰
2739,linear decoder,線形デコーダ
2740,linear discriminant analysis,線形判別分析
2741,linear equation,線形方程式
2742,linear evaluation,線形評価
2743,linear function,線形関数
2744,linear function approximation,線形関数近似
2745,linear inequality,線形不等式
2746,linear interpolation,線形補間
2747,linear kernel,線形カーネル
2748,linear layer,線形層
2749,linear learning rate decay,線形学習率減衰
2750,linear learning rate schedule,線形学習率スケジュール
2751,linear map,線形写像
2752,linear model,線形モデル
2753,linear predictor,線形予測子
2754,linear probe,線形プローブ
2755,linear program,線形プログラム
2756,linear programming relaxation,線形計画緩和
2757,linear projection,線形射影
2758,linear regression,線形回帰
2759,linear regression model,線形回帰モデル
2760,linear regressor,線形回帰器
2761,linear scaling,線形スケーリング
2762,linear scheduler,線形スケジューラ
2763,linear separability,線形分離可能性
2764,linear system,線形システム
2765,linear transform,線形変換
2766,linear transformation,線形変換
2767,linear transformation matrix,線形変換行列
2768,linear warm-up,線形ウォームアップ
2769,linear-chain,線形連鎖
2770,linear-quadratic regulator,線形二次レギュレータ
2771,linearization,線形化
2773,linguistics,言語学
2774,link function,リンク関数
2775,link prediction,リンク予測
2777,local basis function,ローカル基底関数
2778,local coherence,ローカルコヒーレンス
2779,local context,ローカルコンテキスト
2780,local coordinate frame,ローカル座標系
2781,local feature,ローカル特徴
2782,local geometry,ローカルジオメトリ
2783,local image feature,ローカル画像特徴
2784,local maxima,局所極大
2785,local maximum,局所最大値
2786,local minima,局所極小
2787,local minimizer,局所極小化器
2788,local minimum,局所最小値
2789,local model,ローカルモデル
2790,local optima,局所最適
2791,local optimum,局所最適
2792,local parameter,ローカルパラメータ
2793,local search,ローカルサーチ
2794,local search method,局所探索法
2795,local variable,ローカル変数
2796,local window,ローカルウィンドウ
2797,locality-sensitive hashing,局所性に敏感なハッシュ法
2798,localization,ローカリゼーション
2799,location parameter,位置パラメータ
2800,log,対数
2801,log likelihood,対数尤度
2802,log loss,対数損失
2803,log marginal likelihood,対数周辺尤度
2804,log p,ログp
2805,log partition function,対数分配関数
2806,log perplexity,対数パープレキシティ
2807,log probability,対数確率
2808,log-likelihood function,対数尤度関数
2809,log-likelihood loss,対数尤度損失
2810,log-likelihood ratio,対数尤度比
2811,log-linear model,対数線形モデル
2812,log-linear translation model,対数線形翻訳モデル
2813,log-log plot,対数-対数プロット
2814,log-normal distribution,対数正規分布
2815,log-odd score,対数オッズスコア
2816,log-prob,対数確率
2817,log-sum-exp,対数和指数
2818,logical connective,論理接続詞
2819,logical form,論理形式
2820,logistic function,ロジスティック関数
2821,logistic loss,ロジスティック損失
2822,logistic regression,ロジスティック回帰
2823,logistic regression classifier,ロジスティック回帰分類器
2824,logistic regression model,ロジスティック回帰モデル
2825,logit,ロジット
2826,logit model,ロジットモデル
2827,long-range dependency,長距離依存性
2828,lookup table,ルックアップテーブル
2829,loop closure,ループクローズure
2830,loopy belief propagation,ループ信念伝播
2831,loss,損失
2832,loss distribution,損失分布
2833,loss function,損失関数
2834,loss landscape,損失ランドスケープ
2835,loss minimization,損失最小化
2836,loss term,損失項
2837,lossy compression,非可逆圧縮
2838,lottery ticket hypothesis,ロトリーチケット仮説
2839,low rank,低ランク
2840,low rank approximation,低ランク近似
2841,low-data regime,低データレジーム
2842,low-dimensional embedding,低次元埋め込み
2843,low-dimensional representation,低次元表現
2844,low-pass filter,ローパスフィルター
2845,low-rank factorization,低ランク因子分解
2846,low-rank matrix approximation,低ランク行列近似
2847,lower bound,下限
2848,mIoU,mIoU
2849,mT5,mT5
2850,machine learning,機械学習
2851,machine learning algorithm,機械学習アルゴリズム
2852,machine learning classifier,機械学習分類器
2853,machine learning model,機械学習モデル
2854,machine learning system,機械学習システム
2855,machine reading,機械読解
2856,machine translation,機械翻訳
2857,machine translation model,機械翻訳モデル
2858,machine translation system,機械翻訳システム
2859,machine vision,機械視覚
2860,machine-generated text,機械生成テキスト
2861,machine-in-the-loop,機械介在型
2862,macro-F1,マクロF1
2863,macro-action,マクロアクション
2864,macro-average,マクロ平均
2865,majority voting,多数決
2866,manifold,多様体
2867,manifold hypothesis,多様体仮説
2868,manifold learning,多様体学習
2869,manifold projection,多様体射影
2870,manifold structure,多様体構造
2871,manifold-valued datum,多様体値データ
2873,margin parameter,マージンパラメータ
2874,marginal density,周辺密度
2875,marginal distribution,周辺分布
2876,marginal inference,周辺推論
2877,marginal likelihood,周辺尤度
2878,marginal log-likelihood,周辺対数尤度
2879,marginal polytope,周辺多面体
2880,marginal probability,周辺確率
2881,marginalization,周辺化
2882,mask,マスク
2883,mask token,マスクトークン
2884,mask vector,マスクベクトル
2885,masked input,マスクされた入力
2886,masked language model,マスク言語モデル
2887,masked token,マスクトークン
2888,masking function,マスキング関数
2889,matching algorithm,マッチングアルゴリズム
2890,matching loss,マッチングロス
2891,matrix,行列
2892,matrix approximation,行列近似
2893,matrix completion,行列補完
2894,matrix decomposition,行列分解
2895,matrix form,行列形式
2896,matrix inversion,行列逆行列
2897,matrix multiplication,行列乗算
2898,matrix norm,行列ノルム
2899,matrix sketching,行列スケッチング
2900,matrix vector product,行列ベクトル積
2901,matrix-vector multiplication,行列-ベクトル乗算
2902,matroid,マトロイド
2903,matroid constraint,マイトロイド制約
2904,max norm,最大ノルム
2905,max pooling,最大プーリング
2906,max-margin,最大マージン
2907,max-margin learning,最大マージン学習
2908,max-pool,マックスプーリング
2909,max-pooling layer,最大プーリング層
2910,max-product semiring,最大積半環
2911,maximal clique,最大クリーク
2912,maximal frequent itemset,最大頻出アイテム集合
2913,maximal frequent pattern,最大頻出パターン
2914,maximization problem,最大化問題
2915,maximum a posteriori,最大事後確率
2916,maximum a posteriori estimation,最大事後確率推定
2917,maximum clique,最大クリーク
2918,maximum entropy,最大エントロピー
2919,maximum entropy model,最大エントロピーモデル
2920,maximum entropy principle,最大エントロピー原理
2921,maximum flow,最大流量
2922,maximum likelihood,最大尤度
2923,maximum likelihood estimate,最尤推定
2924,maximum likelihood estimation,最大尤度推定
2925,maximum likelihood estimator,最大尤度推定量
2926,maximum likelihood learning,最大尤度学習
2927,maximum mean discrepancy,最大平均差
2928,mean average precision,平均平均精度
2929,mean field,平均場
2930,mean function,平均関数
2931,mean pooling,平均プーリング
2932,mean reciprocal rank,平均逆順位
2933,mean shape,平均形状
2934,mean square error,平均二乗誤差
2935,mean vector,平均ベクトル
2936,mean-field approximation,平均場近似
2938,measurable space,可測空間
2939,measurement matrix,測定行列
2940,measurement noise,測定ノイズ
2941,medical imaging,医用画像
2942,medoid,メドイド
2943,membership inference attack,メンバーシップ推論攻撃
2944,membership query,メンバーシップクエリ
2945,memory bank,メモリーバンク
2946,memory capacity,メモリ容量
2947,memory cell,メモリセル
2948,memory complexity,メモリ複雑度
2949,mention detection,メンション検出
2950,meronymy,部分関係
2951,message passing,メッセージパッシング
2952,message passing algorithm,メッセージパッシングアルゴリズム
2953,meta,メタ
2954,meta-algorithm,メタアルゴリズム
2955,meta-classifier,メタ分類器
2956,meta-dataset,メタデータセット
2957,meta-evaluation,メタ評価
2958,meta-learn,メタ学習
2959,meta-learner,メタ学習者
2960,meta-learning,メタ学習
2961,meta-loss,メタ損失
2962,meta-parameter,メタパラメータ
2963,meta-testing,メタテスト
2964,meta-training,メタトレーニング
2965,metadata,メタデータ
2968,metric learning,メトリック学習
2969,metric learning algorithm,メトリック学習アルゴリズム
2970,metric score,メトリックスコア
2971,metric space,メトリック空間
2973,micro-average,マイクロ平均
2974,microarray datum,マイクロアレイデータ
2975,mini-batch,ミニバッチ
2976,mini-batch size,ミニバッチサイズ
2977,mini-batch training,ミニバッチトレーニング
2978,minima,極小値
2979,minimax,ミニマックス
2980,minimax game,ミニマックスゲーム
2981,minimax optimization problem,ミニマックス最適化問題
2982,minimax problem,ミニマックス問題
2983,minimization problem,最小化問題
2984,minimizer,最小化点
2985,minimum baye risk decoding,最小ベイズリスクデコーディング
2986,minimum cut,最小カット
2987,minimum description length,最小記述長
2988,minimum support,最小サポート
2989,mirror descent,ミラー降下
2990,misclassification error,誤分類誤差
2991,misclassification loss,誤分類損失
2992,misinformation detection,誤情報検出
2993,mixed integer programming,混合整数計画法
2994,mixed precision,混合精度
2995,mixed precision training,混合精度トレーニング
2996,mixed strategy,混合戦略
2997,mixed-integer program,混合整数プログラム
2998,mixing matrix,混合行列
2999,mixing time,混合時間
3000,mixing weight,混合重み
3001,mixture component,混合成分
3002,mixture distribution,混合分布
3003,mixture model,混合モデル
3004,mixture of Gaussians,ガウス混合モデル
3005,mixture weight,混合重み
3006,mocap,モーションキャプチャ
3008,modality,モダリティ
3009,mode,モード
3010,mode collapse,モード崩壊
3012,model M,モデル M
3013,model accuracy,モデル精度
3014,model architecture,モデルアーキテクチャ
3015,model averaging,モデル平均化
3016,model bias,モデルバイアス
3017,model capacity,モデル容量
3018,model card,モデルカード
3019,model checking,モデル検査
3020,model class,モデルクラス
3021,model comparison,モデル比較
3022,model complexity,モデルの複雑性
3023,model compression,モデル圧縮
3024,model convergence,モデル収束
3025,model development,モデル開発
3026,model distillation,モデル蒸留
3027,model distribution,モデル分布
3028,model estimation,モデル推定
3029,model evaluation,モデル評価
3030,model family,モデルファミリー
3031,model fine-tuning,モデルのファインチューニング
3032,model generalization,モデルの一般化
3033,model hyperparameter,モデルハイパーパラメータ
3034,model inference,モデル推論
3035,model initialization,モデル初期化
3036,model interpretability,モデル解釈可能性
3037,model interpretation,モデル解釈
3038,model layer,モデル層
3039,model output,モデル出力
3040,model parallelism,モデル並列性
3041,model parameter,モデルパラメータ
3042,model performance,モデル性能
3043,model precision,モデル精度
3044,model prediction,モデル予測
3045,model predictive control,モデル予測制御
3046,model representation,モデル表現
3047,model robustness,モデルの堅牢性
3048,model score,モデルスコア
3049,model selection,モデル選択
3050,model size,モデルサイズ
3051,model specification,モデル仕様
3052,model structure,モデル構造
3053,model training,モデル訓練
3054,model update,モデル更新
3055,model variant,モデルバリアント
3056,model weight,モデルの重み
3057,model's parameter,モデルのパラメータ
3058,model-based approach,モデルベースのアプローチ
3059,model-based reinforcement learning,モデルベースの強化学習
3060,model-free approach,モデルフリーアプローチ
3062,modular,モジュラー
3063,modular architecture,モジュラーアーキテクチャ
3064,module,モジュール
3065,moment matching,モーメントマッチング
3066,momentum,モーメンタム
3067,momentum coefficient,モーメンタム係数
3068,momentum encoder,モメンタムエンコーダ
3069,momentum term,モーメンタム項
3070,monocular,単眼
3071,monocular reconstruction,単眼再構成
3073,monolingual baseline,単言語ベースライン
3074,monolingual corpora,単言語コーパス
3075,monolingual corpus,単言語コーパス
3076,monolingual dataset,単言語データセット
3077,monolingual datum,単言語データ
3078,monolingual embedding,単言語埋め込み
3079,monolingual model,単言語モデル
3080,monolingual training,モノリンガルトレーニング
3081,monotone,単調
3082,monotonic,モノトニック
3085,morphological analysis,形態素解析
3086,morphological analyzer,形態素解析器
3087,morphological feature,形態素的特徴
3088,morphological information,形態素情報
3089,morphological operation,形態素操作
3090,morphological segmentation,形態素セグメンテーション
3092,motion analysis,運動解析
3093,motion estimation,動作推定
3094,motion matrix,モーション行列
3095,motion planning,モーションプランニング
3096,motion segmentation,モーションセグメンテーション
3098,moving average,移動平均
3099,multi-agent,マルチエージェント
3100,multi-agent interaction,マルチエージェント相互作用
3101,multi-agent learning,マルチエージェント学習
3102,multi-agent reinforcement learning,マルチエージェント強化学習
3103,multi-agent system,マルチエージェントシステム
3104,multi-armed bandit,マルチアームバンディット
3105,multi-armed bandit problem,マルチアームバンディット問題
3106,multi-class,マルチクラス
3107,multi-class classification,マルチクラス分類
3108,multi-class logistic regression,マルチクラスロジスティック回帰
3109,multi-class problem,多クラス問題
3110,multi-classification,多クラス分類
3111,multi-document summarization,多文書要約
3112,multi-domain,多ドメイン
3113,multi-head,マルチヘッド
3114,multi-head attention,マルチヘッドアテンション
3115,multi-head attention layer,マルチヘッドアテンション層
3116,multi-head self-attention,多頭自己注意
3117,multi-head self-attention mechanism,マルチヘッド自己注意メカニズム
3118,multi-head self-attention module,マルチヘッドセルフアテンションモジュール
3119,multi-headed self-attention,マルチヘッド自己注意
3120,multi-label,マルチラベル
3121,multi-label classification,マルチラベル分類
3122,multi-label classification loss,マルチラベル分類損失
3123,multi-label classifier,マルチラベル分類器
3124,multi-label datum,マルチラベルデータ
3125,multi-label learning,マルチラベル学習
3126,multi-label text classification,マルチラベルテキスト分類
3127,multi-layer neural network,多層ニューラルネットワーク
3128,multi-layer perceptron,多層パーセプトロン
3129,multi-modal,マルチモーダル
3130,multi-modal input,マルチモーダル入力
3131,multi-modal learning,マルチモーダル学習
3132,multi-modal model,マルチモーダルモデル
3133,multi-object detection,マルチオブジェクト検出
3134,multi-objective optimization,多目的最適化
3135,multi-scale,マルチスケール
3136,multi-scale architecture,マルチスケールアーキテクチャ
3137,multi-scale training,マルチスケールトレーニング
3138,multi-task,マルチタスク
3139,multi-task fine-tuning,マルチタスク微調整
3140,multi-task model,マルチタスクモデル
3141,multi-task regression,マルチタスク回帰
3142,multi-task setting,マルチタスク設定
3143,multi-view,マルチビュー
3144,multi-view datum,マルチビューデータ
3145,multi-view geometry,マルチビュー幾何学
3146,multi-view learning,マルチビュー学習
3147,multi-view stereo,マルチビュー・ステレオ
3148,multi-view system,マルチビューシステム
3149,multiclass classifier,マルチクラス分類器
3150,multiclass hinge loss,マルチクラスヒンジ損失
3151,multiclass model,マルチクラスモデル
3152,multiclass object detection,多クラス物体検出
3154,multilingual embedding,多言語埋め込み
3155,multilingual language model,多言語モデル
3156,multilingual model,多言語モデル
3157,multilingual representation,多言語表現
3158,multilingual training,多言語トレーニング
3159,multilinguality,多言語性
3160,multimodal task,マルチモーダルタスク
3161,multinomial distribution,多項分布
3162,multinomial model,多項モデル
3163,multiple kernel learning,多重カーネル学習
3164,multiple linear regression,多重線形回帰
3165,multiscale modeling,マルチスケールモデリング
3166,multiset,多重集合
3167,multitask,マルチタスク
3168,multitask training,マルチタスクトレーニング
3169,multivariate,多変量
3170,multivariate Gaussian,多変量ガウス
3171,multivariate Gaussian distribution,多変量ガウス分布
3172,multivariate normal,多変量正規分布
3173,multivariate normal distribution,多変量正規分布
3174,multivariate time series,多変量時系列
3175,mutex,ミューテックス
3176,mutexe,ミューテックス
3177,mutual entropy,相互エントロピー
3178,mutual information,相互情報量
3179,n-best list,n-bestリスト
3180,n-gram,N-グラム
3181,n-gram feature,n-グラム特徴
3182,n-gram language model,n-グラム言語モデル
3183,n-gram model,n-グラムモデル
3184,n-step returns,nステップリターン
3185,naive Bayes,ナイーブベイズ
3186,naive Bayes classifier,ナイーブベイズ分類器
3187,naive Bayes model,ナイーブベイズモデル
3189,named entity,名前付きエンティティ
3190,named entity recognition,固有表現認識
3191,named entity recognizer,名前付きエンティティ認識器
3194,natural image statistic,自然画像統計
3195,natural language,自然言語
3196,natural language generation,自然言語生成
3197,natural language processing,自然言語処理
3198,natural language query,自然言語クエリ
3199,natural logic,自然論理
3200,natural logic inference,自然論理推論
3201,natural parameter,自然パラメータ
3202,near-optimality,近似最適性
3203,nearest neighbor,最近傍法
3204,nearest neighbor classifier,最近傍分類器
3205,nearest neighbor search,最近傍探索
3206,nearest-neighbor algorithm,最近傍アルゴリズム
3207,negation,否定
3208,negative log-likelihood,負の対数尤度
3209,negative pair,負のペア
3210,negative sample,ネガティブサンプル
3211,negative transfer,負の転送
3212,neighborhood function,隣接関数
3213,neighborhood system,近傍系
3214,net,ネット
3215,network,ネットワーク
3216,network architecture,ネットワークアーキテクチャ
3217,network feature,ネットワーク特徴量
3218,network parameter,ネットワークパラメータ
3219,network structure,ネットワーク構造
3220,network topology,ネットワークトポロジー
3221,network weight,ネットワーク重み
3223,neural activity,神経活動
3224,neural approach,ニューラルアプローチ
3225,neural architecture,ニューラルアーキテクチャ
3226,neural architecture search,ニューラルアーキテクチャ検索
3227,neural embedding,ニューラル埋め込み
3228,neural generation model,ニューラル生成モデル
3229,neural implicit representation,ニューラル暗黙的表現
3230,neural language model,ニューラル言語モデル
3231,neural machine translation,ニューラル機械翻訳
3232,neural machinery,ニューラル機構
3233,neural mapping,ニューラルマッピング
3234,neural method,ニューラルメソッド
3235,neural model,ニューラルモデル
3236,neural module,ニューラルモジュール
3237,neural net,ニューラルネット
3238,neural network,ニューラルネットワーク
3239,neural network architecture,ニューラルネットワークアーキテクチャ
3240,neural network classifier,ニューラルネットワーク分類器
3241,neural network language model,ニューラルネットワーク言語モデル
3242,neural network layer,ニューラルネットワーク層
3243,neural network model,ニューラルネットワークモデル
3244,neural operator,ニューラルオペレーター
3245,neural parser,ニューラルパーサー
3246,neural renderer,ニューラルレンダラー
3247,neural rendering,ニューラルレンダリング
3248,neural representation,ニューラル表現
3249,neural retrieval,ニューラルリトリーバル
3250,neural scaling law,ニューラルスケーリング則
3251,neural scene representation,ニューラルシーン表現
3252,neural sequence model,ニューラルシーケンスモデル
3253,neural text generation,ニューラルテキスト生成
3254,neural volumetric representation,ニューラル体積表現
3255,neural word embedding,ニューラル・ワード・エンベッディング
3256,neuro-symbolic system,ニューラル・シンボリックシステム
3257,neuron,ニューロン
3260,next sentence prediction,次文予測
3261,next token prediction,次トークン予測
3262,nmod,名詞修飾語
3263,no-regret algorithm,ノーリグレットアルゴリズム
3264,no-regret dynamic,ノーリグレットダイナミクス
3265,no-regret learning algorithm,無後悔学習アルゴリズム
3266,node,ノード
3267,node attribute,ノード属性
3268,node classification,ノード分類
3269,node degree,ノードの次数
3270,node embedding,ノード埋め込み
3271,node feature,ノード特徴
3272,node feature matrix,ノード特徴行列
3273,node label,ノードラベル
3274,node representation,ノード表現
3275,node set,ノード集合
3276,node-disjoint path,ノード非交差パス
3278,noise distribution,ノイズ分布
3279,noise level,ノイズレベル
3280,noise model,ノイズモデル
3281,noise schedule,ノイズスケジュール
3282,noise-contrastive estimation,ノイズ対比推定
3283,noisy channel,ノイジーチャンネル
3284,nominal mention,名詞的言及
3285,non-Euclidean space,非ユークリッド空間
3286,non-Markov process,非マルコフ過程
3287,non-convex objective,非凸目的関数
3288,non-convex optimization,非凸最適化
3289,non-convex problem,非凸問題
3290,non-convexity,非凸性
3291,non-linear least square,非線形最小二乗法
3292,non-linear optimization,非線形最適化
3293,non-linearity,非線形性
3294,non-local feature,非局所特徴
3295,non-max suppression,非最大抑制
3296,non-maxima suppression,非最大値抑制
3297,non-maximal suppression,非最大抑制
3298,non-negative matrix factorization,非負行列分解
3299,non-parametric setting,ノンパラメトリック設定
3300,non-projective parsing,非射影構文解析
3301,non-submodular energy,非サブモジュラーエネルギー
3302,non-tree model,非ツリーモデル
3303,nonconvex function,非凸関数
3304,nonlinear optimisation,非線形最適化
3305,nonmonotonic reasoning,非単調推論
3306,nonterminal symbol,非終端記号
3307,norm,ノルム
3308,normal,法線
3309,normal distribution,正規分布
3310,normal form,正規形
3311,normal vector,法線ベクトル
3312,normal-form game,正規形ゲーム
3313,normalisation,正規化
3314,normalization,正規化
3315,normalization constant,正規化定数
3316,normalization factor,正規化因子
3317,normalization function,正規化関数
3318,normalization layer,正規化層
3319,normalization method,正規化手法
3320,normalization strategy,正規化戦略
3321,normalize,正規化する
3322,normalized cross correlation,正規化相関
3323,normalized cut,正規化カット
3324,normalized cut algorithm,正規化カットアルゴリズム
3325,normalized edit distance,正規化編集距離
3326,normalizing factor,正規化因子
3327,normalizing flow,正規化フロー
3329,noun phrase,名詞句
3331,novel view synthesis,新しい視点合成
3332,nsubj,主語
3333,nsubjpass,受動主語
3334,nuclear norm,核ノルム
3335,nuclear norm relaxation,核ノルム緩和
3336,null distribution,帰無分布
3337,null space,零空間
3339,numerical linear algebra,数値線形代数
3340,object bounding box,物体バウンディングボックス
3341,object categorization,物体のカテゴリ化
3342,object category,物体カテゴリ
3343,object category recognition,物体カテゴリ認識
3344,object class,オブジェクトクラス
3345,object classification,物体分類
3346,object detection,物体検出
3347,object detector,物体検出器
3348,object domain,オブジェクトドメイン
3349,object embedding,物体埋め込み
3350,object instance segmentation,物体インスタンスセグメンテーション
3351,object model,オブジェクトモデル
3352,object proposal,オブジェクト提案
3353,object recognition,オブジェクト認識
3354,object segmentation,オブジェクトセグメンテーション
3355,object tracking,オブジェクト追跡
3356,objective function,目的関数
3357,objective value,目的値
3358,objectness,オブジェクトネス
3359,observation function,観測関数
3360,observation model,観測モデル
3361,observation space,観測空間
3362,observational datum,観測データ
3363,occlusion handling,オクルージョン処理
3364,occlusion reasoning,オクルージョン推論
3365,occupancy grid,占有グリッド
3366,occupancy map,占有マップ
3367,occupancy measure,占有測度
3368,odometry,オドメトリ
3369,off-diagonal element,非対角要素
3370,off-policy,オフポリシー
3371,offline algorithm,オフラインアルゴリズム
3372,offline learning,オフライン学習
3373,on-policy,オンポリシー
3374,one-against-all reduction,ワンアゲインストオール削減
3375,one-hot encoded,ワンホットエンコード
3376,one-hot representation,ワンホット表現
3377,one-hot vector,ワンホットベクトル
3378,one-shot learning,ワンショット学習
3379,one-shot setting,ワンショット設定
3380,one-stage detector,ワンステージ検出器
3381,one-versus-all,一対全
3383,online algorithm,オンラインアルゴリズム
3384,online convex optimization,オンライン凸最適化
3385,online gradient descent,オンライン勾配降下法
3386,online learning,オンライン学習
