Index,English,Arabic
2241,hidden Markov model,نموذج ماركوف الخفي
2242,hidden dimension,البُعد المخفي
2243,hidden dimension size,حجم البُعد المخفي
2244,hidden dimensionality,الأبعاد المخفية
2245,hidden embedding,التمثيل المخفي
2246,hidden feature,الميزة المخفية
2247,hidden layer,الطبقة المخفية
2248,hidden representation,التمثيل المخفي
2249,hidden size,حجم الطبقة المخفية
2250,hidden state,الدولة المخفية
2251,hidden state dimension,بُعد الحالة المخفية
2252,hidden state representation,تمثيل الحالة المخفية
2253,hidden state vector,متجه الحالة المخفية
2254,hidden unit,وحدة مخفية
2255,hidden variable,المتغير المخفي
2256,hierarchical agglomerative clustering,التجميع الهرمي التصاعدي
2257,hierarchical clustering,تجميع هرمي
2258,hierarchical decoder,فك الترميز الهرمي
2259,hierarchical feature,الميزات الهرمية
2260,hierarchical inference,الاستدلال الهرمي
2261,hierarchical method,الطريقة الهرمية
2262,hierarchical model,النموذج الهرمي
2263,hierarchical reinforcement learning,التعلم التعزيزي الهرمي
2264,hierarchical representation,التمثيل الهرمي
2265,hierarchical structure,بنية هرمية
2266,hierarchical topic model,نموذج الموضوعات الهرمي
2267,hierarchy,تسلسل هرمي
2268,high-dimensional datum,بيانات عالية الأبعاد
2269,high-dimensional space,الفضاء عالي الأبعاد
2270,high-dimensionality,البعدية العالية
2271,higher-order feature,ميزة من الرتبة الأعلى
2272,higher-order model,نموذج من الرتبة الأعلى
2273,hill-climbing,التسلق التلّي
2274,hinge loss,خسارة مفصلية
2275,hinge loss function,وظيفة فقدان المفصلة
2276,histogram of oriented gradient,هيستوغرام التدرجات الموجهة
2277,homogeneous coordinate,الإحداثيات المتجانسة
2278,homographie,"""هوموغرافيا"" (""Homography"")"
2279,homography matrix,مصفوفة الهوموغرافية
2280,homomorphism,التشاكل
2281,human annotation,التوسيم البشري
2282,human pose,وضعية الجسم البشري
2283,human pose estimation,تقدير وضعية الجسم البشري
2284,human-computer interaction,التفاعل بين الإنسان والحاسوب
2285,human-in-the-loop,الإنسان في الحلقة
2286,human-machine interaction,التفاعل البشري-الآلي
2287,hybrid model,نموذج هجين
2288,hyper-graph,الهايبر غراف
2289,hyper-parameter tuning,ضبط المعلمات الفائقة
2290,hyperbolic space,الفضاء الزائدي
2291,hyperedge,الهايبرحافة
2292,hypernym,الاسم الشامل
2293,hypernymy,العلاقة الهرمية
2294,hyperparameter optimization,تحسين المعلمات الفائقة
2295,hyperparameter selection,اختيار المعلمات الفائقة
2296,hyperparameter setting,إعدادات المعلمات الفائقة
2297,hyperparameter space,فضاء المعلمات الفائقة
2298,hyperparameters tuning,ضبط معاملات الضبط
2299,hyperplane,المستوى الفائق
2300,hyperprior,الهايبر برايور
2301,hyponym,هيبونيم
2302,hyponymy,الهيبونيمية
2303,hypothesis class,فئة الفرضيات
2304,hypothesis set,مجموعة الفرضيات
2305,hypothesis space,فضاء الفرضيات
2306,hypothesis test,اختبار الفرضية
2307,i.i.d,مستقل ومتطابق التوزيع
2308,i.i.d. sample,عينة مستقلة ومتماثلة التوزيع
2309,idempotent,ذو خاصية الإيديمبوتنت
2310,identity function,دالة الهوية
2311,identity mapping,رسم خرائط الهوية
2312,identity matrix,مصفوفة الهوية
2313,identity transformation,تحويل الهوية
2314,image analysis,تحليل الصور
2315,image captioning,وصف الصورة
2316,image classification,تصنيف الصور
2317,image compression,ضغط الصورة
2318,image denoising,إزالة ضوضاء الصور
2319,image diffusion model,نموذج انتشار الصور
2320,image embedding,تضمين الصورة
2321,image encoder,مُشفِّر الصورة
2322,image feature,ميزة الصورة
2323,image generation,توليد الصور
2324,image inpainting,إعادة ترميم الصورة
2325,image patch,رقعة الصورة
2326,image plane,مستوى الصورة
2327,image processing,معالجة الصور
2328,image pyramid,هرم الصورة
2329,image recognition,التعرف على الصور
2330,image representation,تمثيل الصورة
2331,image restoration,استعادة الصورة
2332,image segmentation,تجزئة الصورة
2333,image super-resolution,رفع دقة الصورة
2334,image synthesis,توليف الصورة
2335,image translation,ترجمة الصور
2336,image-based rendering,التصيير القائم على الصور
2337,image-text pre-training,التدريب المسبق على الصورة والنص
2338,image-to-image translation,الترجمة من صورة إلى صورة
2339,imitation learning,التعلم بالتقليد
2340,immediate consequence operator,مشغل العواقب الفورية
2341,imperfect information,المعلومات غير الكاملة
2342,implicit bias,تحيز ضمني
2343,implicit differentiation,التفاضل الضمني
2344,implicit function,دالة ضمنية
2345,implicit representation,التمثيل الضمني
2346,implicit surface,السطح الضمني
2347,importance sampling,أخذ العينات بالاعتماد على الأهمية
2348,importance sampling estimator,مقدر أخذ العينات بالاعتماد على الأهمية
2349,importance weight,وزن الأهمية
2350,in-context demonstration,العرض التوضيحي في السياق
2351,in-context example,مثال سياقي
2352,in-context learner,المتعلم في السياق
2353,in-database analytics,تحليلات في قاعدة البيانات
2354,in-degree distribution,توزيع الدرجات الواردة
2355,in-distribution,ضمن التوزيع
2356,in-domain,ضمن المجال
2357,in-domain text,نص ضمن المجال
2358,in-neighbor,الجيران الداخلين
2359,in-order traversal,الاجتياز بالترتيب
2360,inception score,درجة الإنشاء
2361,incremental learning,تعلم تدريجي
2362,incremental parsing,التحليل النحوي التدريجي
2363,independent component analysis,تحليل المكونات المستقلة
2364,independent set,مجموعة مستقلة
2365,independent variable,متغير مستقل
2366,indicator matrix,مصفوفة مؤشرات
2367,indicator variable,متغير مؤشر
2368,indicator vector,متجه المؤشرات
2369,induced subgraph,الرسم البياني الفرعي المستحث
2370,inducing variable,المتغيرات المستحثة
2371,induction hypothesis,فرضية الاستقراء
2372,inductive bias,التحيز الاستقرائي
2373,inductive learning,التعلم الاستقرائي
2374,inf,القيمة الدنيا
2375,inference,استدلال
2376,inference algorithm,خوارزمية الاستدلال
2377,inference machinery,آلية الاستدلال
2378,inference method,طريقة الاستدلال
2379,inference problem,مشكلة الاستدلال
2380,inference procedure,إجراء الاستدلال
2381,inference process,عملية الاستدلال
2382,inference rule,قاعدة الاستدلال
2383,inference stage,مرحلة الاستدلال
2384,inference task,مهمة الاستدلال
2385,inference time,وقت الاستدلال
2386,infinite-horizon,الأفق اللانهائي
2387,influence diagram,مخطط التأثير
2388,influence function,دالة التأثير
2389,information bottleneck,عنق الزجاجة المعلوماتي
2390,information content,محتوى المعلومات
2391,information gain,مكسب المعلومات
2392,information retrieval,استرجاع المعلومات
2393,information retrieval system,نظام استرجاع المعلومات
2394,information set,مجموعة المعلومات
2395,information theoretic,نظرية المعلومات
2396,information theoretic measure,مقياس نظري المعلومات
2397,infoset,مجموعة المعلومات
2398,inhomogeneous Poisson process,عملية بواسون غير متجانسة
2399,initial distribution,التوزيع الأولي
2400,initial state,الحالة الأولية
2401,initial state distribution,توزيع الحالة الأولية
2402,initialization,التهيئة
2403,injective function,دالة حقنية
2404,inlier,نقطة داخلية
2405,inner layer,طبقة داخلية
2406,inner loop,حلقة داخلية
2407,inner node,العقدة الداخلية
2408,inner product,المنتج الداخلي
2409,input context,سياق الإدخال
2410,input datum,بيانات الإدخال
2411,input embedding,تمثيل الإدخال
2412,input feature,ميزة الإدخال
2413,input feature vector,متجه ميزة الإدخال
2414,input filter,فلتر الإدخال
2415,input formula,صيغة الإدخال
2416,input gate,بوابة الإدخال
2417,input graph,الرسم البياني للإدخال
2418,input image,الصورة المدخلة
2419,input layer,طبقة الإدخال
2420,input length,طول الإدخال
2421,input matrix,مصفوفة المدخلات
2422,input point,نقطة المدخلات
2423,input position,موضع الإدخال
2424,input representation,تمثيل المدخلات
2425,input resolution,دقة الإدخال
2426,input sequence,تسلسل الإدخال
2427,input space,فضاء المدخلات
2428,input tensor,موتر الإدخال
2429,input text,النص المدخل
2430,input token,توكن الإدخال
2431,input vector,متجه الإدخال
2432,input-output pair,زوج إدخال-إخراج
2433,instance,مثال
2434,instance level,مستوى المثيل
2435,instance segmentation,تجزئة الكائنات
2436,instance selection,اختيار المثيل
2437,instance space,الفضاء المثيل
2438,instruction tuning,ضبط التعليمات
2439,integer linear program,برنامج خطي صحيح
2440,integer program,برنامج عدد صحيح
2441,integral image,صورة تكاملية
2442,integral operator,مشغل تكاملي
2443,integral probability metric,مقياس الاحتمال التكاملي
2444,integrity constraint,القيود المتعلقة بالنزاهة
2445,intelligent agent,وكيل ذكي
2446,intensity function,دالة الشدة
2447,intent,نية
2448,inter-annotator agreement,اتفاق بين المراجعين
2449,interaction matrix,مصفوفة التفاعل
2450,interest point,نقطة اهتمام
2451,interior point method,طريقة النقطة الداخلية
2452,intermediate layer,طبقة وسيطة
2453,intermediate representation,التمثيل الوسيط
2454,internal edge,حافة داخلية
2455,internal node,العقدة الداخلية
2456,internal regret,الندم الداخلي
2457,internal representation,التمثيل الداخلي
2458,internal state,الحالة الداخلية
2459,interpolation,الاستيفاء
2460,interpretability,القابلية للتفسير
2461,interpretation function,دالة التفسير
2462,intersection-over-union,معدل التقاطع على الاتحاد
2463,interval estimate,تقدير الفاصل الزمني
2464,intractability,الاستعصاء
2465,intrinsic,الأساسية
2466,intrinsic camera parameter,معلمة الكاميرا الجوهرية
2467,intrinsic dimension subspace,الفضاء الفرعي البعد الجوهري
2468,intrinsic dimensionality,الأبعاد الجوهرية
2469,intrinsic evaluation,التقييم الداخلي
2470,intrinsic image,الصورة الجوهرية
2471,intrinsic parameter,البارامترات الجوهرية
2472,inverse document frequency,تردد الوثيقة العكسي
2473,inverse dynamic model,نموذج الديناميات العكسي
2474,inverse problem,المسألة العكسية
2475,inverse reinforcement learning,التعلم المعزز العكسي
2476,inverse rendering,التصيير العكسي
2477,inverse role,دور عكسي
2478,inverse square root learning rate schedule,جدول معدل التعلم الجذر التربيعي العكسي
2479,inverse square root learning rate scheduler,مجدول معدل التعلم الجذر التربيعي العكسي
2480,inverse transform sampling,أخذ العينات باستخدام التحويل العكسي
2481,inverted index,الفهرس المقلوب
2482,inverted list,الفهرس العكسي
2483,invertible map,خريطة قابلة للعكس
2484,invertible matrix,مصفوفة قابلة للعكس
2485,iobj,المفعول به غير المباشر
2486,iso-surface extraction,استخراج الأسطح المتساوية
2487,isotropic Gaussians,غاوسيين الخواص
2488,itemset,مجموعة العناصر
2489,iterate,تكرار
2490,iterated conditional mode,الوضع الشرطي التكراري
2491,iteration,تكرار
2492,iteration complexity,تعقيد التكرار
2493,iteration counter,عداد التكرار
2494,iterative algorithm,خوارزمية تكرارية
2495,iterative deepening,التعميق التكراري
2496,iterative optimization,تحسين تكراري
2497,iterative optimization algorithm,خوارزمية التحسين التكرارية
2498,iterative training algorithm,خوارزمية تدريب تكرارية
2499,iteratively reweighted least square,المربعات الصغرى المعاد وزنها تكرارياً
2500,joint density,الكثافة المشتركة
2501,joint distribution,التوزيع المشترك
2502,joint embedding space,مساحة التضمين المشترك
2503,joint encoding,الترميز المشترك
2504,joint entropy,الإنتروبيا المشتركة
2505,joint inference,الاستدلال المشترك
2506,joint learning,التعلم المشترك
2507,joint learning algorithm,خوارزمية التعلم المشترك
2508,joint likelihood,الاحتمال المشترك
2509,joint model,النموذج المشترك
2510,joint policy,السياسة المشتركة
2511,joint probability,الاحتمال المشترك
2512,joint probability distribution,التوزيع الاحتمالي المشترك
2513,joint probability matrix,مصفوفة الاحتمالات المشتركة
2514,joint probability table,جدول الاحتمالات المشتركة
2515,joint semantic space,الفضاء الدلالي المشترك
2516,junction tree,شجرة التلاقي
2517,junction tree algorithm,خوارزمية شجرة التقاطع
2518,k nearest neighbor,أقرب جيران عدد k
2519,k-Center,ك-مركز
2520,k-best list,قائمة k الأفضل
2521,k-best parsing,تحليل أفضل k
2522,k-d tree,شجرة k-d
2523,k-hop neighbor,جيران k-hop
2524,k-means clustering algorithm,خوارزمية التجميع k-means
2525,k-nearest neighbor,ك-أقرب جار
2526,k-nearest neighbor classifier,مصنف الجار الأقرب k
2527,k-nearest neighbor graph,رسم بياني لأقرب جار k
2528,kernel approximation,تقريب النواة
2529,kernel bandwidth,عرض نطاق النواة
2530,kernel classifier,مُصنّف النواة
2531,kernel density,تقدير كثافة النواة
2532,kernel density estimate,تقدير كثافة النواة
2533,kernel density estimation,تقدير كثافة النواة
2534,kernel evaluation,تقييم النواة
2535,kernel function,دالة النواة
2536,kernel learning,تعلم النواة
2537,kernel learning problem,مشكلة تعلم النواة
2538,kernel machine,آلة النواة
2539,kernel matrix,مصفوفة النواة
2540,kernel method,طريقة النواة
2541,kernel operation,عملية النواة
2542,kernel operator,مشغل النواة
2543,kernel parameter,معلمة النواة
2544,kernel regression,الانحدار بالنواة
2545,kernel ridge regression,انحدار Ridge بالنواة
2546,kernel size,حجم النواة
2547,kernel smoothing,تنعيم النواة
2548,kernel space,مساحة النواة
2549,kernel spectrum,طيف النواة
2550,kernel support vector machine,آلة المَّتجهات الداعمة باستخدام النواة
2551,kernel trick,حيلة النواة
2552,kernel value,قيمة النواة
2553,kernel weight,وزن النواة
2554,kernel width,عرض النواة
2555,kernel-based classification,التصنيف القائم على النواة
2556,key,المفتاح
2557,keypoint,نقطة مفتاحية
2558,keypoint detection,اكتشاف النقاط الرئيسية
2559,keypoint detector,كاشف النقاط المفتاحية
2560,keypoint location,موقع النقاط الرئيسية
2561,keypoint match,مطابقة النقاط المفتاحية
2562,knapsack problem,مشكلة حقيبة الظهر
2563,knowledge base,قاعدة المعرفة
2564,knowledge compilation,تحويل المعرفة
2565,knowledge distillation,تقطير المعرفة
2566,knowledge element,عنصر المعرفة
2567,knowledge graph,شبكة معرفية
2568,knowledge graph completion,إكمال الرسم البياني للمعرفة
2569,knowledge representation,تمثيل المعرفة
2570,knowledge transfer,نقل المعرفة
2571,label,تسمية
2572,label distribution,توزيع التسميات
2573,label embedding,تضمين التسمية
2574,label noise,ضوضاء التسميات
2575,label sequence,تسلسل التسميات
2576,label smoothing,تنعيم التسمية
2577,label space,فضاء التسميات
2578,label token,توكن التسمية
2579,label vector,متجه التسمية
2580,labeled datum,بيانات موسومة
2581,labeled example,مثال موسوم
2582,labeled graph,رسم بياني مُعَلَّم
2583,labeled training datum,بيانات تدريب مُعلمة
2584,lambda calculus,حساب لامدا
2585,landmark,نقطة مرجعية
2586,landmark point,نقطة معلم
2587,language drift,انحراف اللغة
2588,language encoder,المُشفر اللغوي
2589,language generation,توليد اللغة
2590,language generation model,نموذج توليد اللغة
2591,language identification,تحديد اللغة
2592,language model,نموذج اللغة
2593,language model pre-training,التدريب المسبق لنموذج اللغة
2594,language pair,زوج اللغات
2595,language representation,تمثيل اللغة
2596,language transfer,نقل اللغة
2597,language understanding,فهم اللغة
2598,large language model,نموذج لغوي كبير
2599,large-margin learning,التعلم ذو الهامش الكبير
2600,latent Dirichlet allocation,تخصيص ديريشليه الكامن
2601,latent code,الكود الكامن
2602,latent dimension,البعد الكامن
2603,latent distribution,التوزيع الكامن
2604,latent dynamic model,نموذج الديناميات الكامنة
2605,latent embedding,التضمين الكامن
2606,latent factor,العامل الكامن
2607,latent feature,السمة الكامنة
2608,latent function,الدالة الكامنة
2609,latent group,المجموعة الكامنة
2610,latent parameter,معلمة كامنة
2611,latent representation,التمثيل الكامن
2612,latent reward function,دالة المكافأة الكامنة
2613,latent semantic,الدلالية الكامنة
2614,latent semantic analysis,التحليل الدلالي الكامن
2615,latent space,الفضاء الكامن
2616,latent state,الحالة الكامنة
2617,latent topic,الموضوع الكامن
2618,latent variable,المتغير الكامن
2619,latent variable model,نموذج المتغير الكامن
2620,latent vector,المتجه الكامن
2621,layer,طبقة
2622,layer activation,تنشيط الطبقة
2623,layer normalization,تطبيع الطبقة
2624,layer-wise learning rate decay,تناقص معدل التعلم حسب الطبقة
2625,lazy grounding,التأسيس الكسول
2626,leaf node,عقدة ورقية
2627,leaky ReLU,دالة ريلو المتسربة
2628,learnability,قابلية التعلم
2629,learnable parameter,معلمة قابلة للتعلم
2630,learnable vector,المتجهات القابلة للتعلم
2631,learned model,النموذج المتعلم
2632,learned representation,التمثيل المتعلم
2633,learner,المتعلم
2634,learning agent,وكيل التعلم
2635,learning algorithm,خوارزمية التعلم
2636,learning method,طريقة التعلم
2637,learning paradigm,نموذج تعلم
2638,learning problem,مشكلة التعلم
2639,learning rate,معدل التعلم
2640,learning rate decay,اضمحلال معدل التعلم
2641,learning rate decay schedule,جدول اضمحلال معدل التعلم
2642,learning rate schedule,جدول معدل التعلم
2643,learning rate scheduler,مجدول معدل التعلم
2644,learning rate warmup,الإحماء التدريجي لمعدل التعلم
2645,learning-to-rank algorithm,خوارزمية التعلم للترتيب
2646,least square,المربعات الصغرى
2647,least square criterion,معيار المربعات الصغرى
2648,least square minimization,التقليل من المربعات الصغرى
2649,least square problem,مشكلة المربعات الصغرى
2650,least square regression,انحدار المربعات الصغرى
2651,least square solution,حل المربعات الصغرى
2652,leave-one-out,ترك واحد خارج
2653,left-to-right model,نموذج من اليسار لليمين
2654,lemmatization,استخراج الجذور
2655,length normalization,تطبيع الطول
2656,length penalty,عقوبة الطول
2657,lexeme,الوحدة المعجمية
2658,lexical acquisition,الاكتساب المعجمي
2659,lexical acquisition algorithm,خوارزمية الاكتساب المعجمي
2660,lexical ambiguity,الغموض المعجمي
2661,lexical entry,مدخل معجمي
2662,lexical exposure,التعرض المعجمي
2663,lexical feature,السمة المعجمية
2664,lexical head,الرأس المعجمي
2665,lexical item,عنصر معجمي
2666,lexical knowledge,المعرفة المعجمية
2667,lexical model,النموذج المعجمي
2668,lexical overlap,التداخل المعجمي
2669,lexicalization,التضمين المعجمي
2670,lexicalized grammar,نحو معجمي
2671,lexicalized parsing model,نموذج التحليل المعجمي
2672,lexicon,lexicon - معجم
2673,lexicon induction,تحريض المعجم
2674,lifelong learning,التعلم مدى الحياة
2675,light field,الحقل الضوئي
2676,light field interpolation,استيفاء حقل الضوء
2677,likelihood function,دالة الأرجحية
2678,likelihood ratio test,اختبار نسبة الاحتمال
2679,likelihood score,درجة الاحتمالية
2680,line search,البحث الخطي
2681,linear activation function,دالة التفعيل الخطية
2682,linear algebra,الجبر الخطي
2683,linear classification,التصنيف الخطي
2684,linear classification layer,طبقة التصنيف الخطي
2685,linear classifier,مصنف خطي
2686,linear combination,تركيبة خطية
2687,linear complexity,التعقيد الخطي
2688,linear constraint,قيود خطية
2689,linear decay,اضمحلال خطي
2690,linear decoder,الديكودر الخطي
2691,linear discriminant analysis,التحليل التمييزي الخطي
2692,linear equation,معادلة خطية
2693,linear evaluation,تقييم خطي
2694,linear function,دالة خطية
2695,linear function approximation,تقريب دالة خطية
2696,linear inequality,متباينة خطية
2697,linear interpolation,استيفاء خطي
2698,linear kernel,نواة خطية
2699,linear layer,طبقة خطية
2700,linear learning rate decay,اضمحلال خطي لمعدل التعلم
2701,linear learning rate schedule,جدول معدل التعلم الخطي
2702,linear map,تحويل خطي
2703,linear model,نموذج خطي
2704,linear predictor,المتنبئ الخطي
2705,linear probe,المسبار الخطي
2706,linear program,البرنامج الخطي
2707,linear programming relaxation,استرخاء البرمجة الخطية
2708,linear projection,الإسقاط الخطي
2709,linear regression,الانحدار الخطي
2710,linear regression model,نموذج الانحدار الخطي
2711,linear regressor,الانحدار الخطي
2712,linear scaling,التحجيم الخطي
2713,linear scheduler,المجدول الخطي
2714,linear separability,قابلية الفصل الخطي
2715,linear system,نظام خطي
2716,linear transform,تحويل خطي
2717,linear transformation,التحويل الخطي
2718,linear transformation matrix,مصفوفة التحويل الخطي
2719,linear warm-up,الإحماء الخطي
2720,linear-chain,السلسلة الخطية
2721,linear-quadratic regulator,منظم خطي-تربيعي
2722,linearization,التحسين الخطي
2723,linguistics,لغويات
2724,link function,دالة الربط
2725,link prediction,تنبؤ الروابط
2726,local basis function,دالة الأساس المحلية
2727,local coherence,التماسك المحلي
2728,local context,السياق المحلي
2729,local coordinate frame,الإطار الإحداثي المحلي
2730,local feature,الميزات المحلية
2731,local geometry,الجيومترية المحلية
2732,local image feature,الميزة المحلية للصورة
2733,local maxima,الحد الأقصى المحلي
2734,local maximum,الحد الأقصى المحلي
2735,local minima,الحد الأدنى المحلي
2736,local minimizer,المُصغِّر المحلي
2737,local minimum,الحد الأدنى المحلي
2738,local model,النموذج المحلي
2739,local optima,الحلول المثلى المحلية
2740,local optimum,الأمثل المحلي
2741,local parameter,المعامل المحلي
2742,local search,البحث المحلي
2743,local search method,طريقة البحث المحلي
2744,local variable,المتغير المحلي
2745,local window,النافذة المحلية
2746,locality-sensitive hashing,التجزئة الحساسة للمحلية
2747,localization,تحديد المواقع
2748,location parameter,معلمة الموقع
2749,log,لوغاريتم
2750,log likelihood,الاحتمالية اللوغاريتمية
2751,log loss,الخسارة اللوغاريتمية
2752,log marginal likelihood,الاحتمالية الهامشية اللوغاريتمية
2753,log p,لوغاريتم الاحتمال
2754,log partition function,دالة التقسيم اللوغاريتمية
2755,log perplexity,التعقيد اللوغاريتمي
2756,log probability,احتمال اللوغاريتم
2757,log-likelihood function,دالة الاحتمالية اللوغاريتمية
2758,log-likelihood loss,خسارة الاحتمال اللوغاريتمي
2759,log-likelihood ratio,نسبة الاحتمال اللوغاريتمي
2760,log-linear model,نموذج لوج-خطي
2761,log-linear translation model,نموذج الترجمة اللوغاريتمي الخطي
2762,log-log plot,رسم بياني لوج-لوج
2763,log-normal distribution,التوزيع اللوغاريتمي الطبيعي
2764,log-odd score,درجة الأرجحية اللوغاريتمية
2765,log-prob,الاحتمال اللوغاريتمي
2766,log-sum-exp,لوغاريتم مجموع القيم الأسية
2767,logical connective,الرابط المنطقي
2768,logical form,الشكل المنطقي
2769,logistic function,الدالة اللوجستية
2770,logistic loss,الخسارة اللوجستية
2771,logistic regression,انحدار لوجستي
2772,logistic regression classifier,مصنف الانحدار اللوجستي
2773,logistic regression model,نموذج الانحدار اللوجستي
2774,logit,لوغيت
2775,logit model,نموذج اللوجيت
2776,long short-term memory,الذاكرة القصيرة المدى المطولة
2777,long-range dependency,التبعية طويلة المدى
2778,lookup table,جدول البحث
2779,loop closure,إغلاق الحلقة
2780,loopy belief propagation,الانتشار الاعتقادي الحلقي
2781,loss,الخسارة
2782,loss distribution,توزيع الخسارة
2783,loss function,دالة الخسارة
2784,loss landscape,منظر الخسارة
2785,loss minimization,التقليل من الخسارة
2786,loss term,عنصر الخسارة
2787,lossy compression,ضغط مع فقدان البيانات
2788,lottery ticket hypothesis,فرضية التذكرة الرابحة
2789,low rank,رتبة منخفضة
2790,low rank approximation,تقريب منخفض الرتبة
2791,low-data regime,نظام بيانات منخفض
2792,low-dimensional embedding,التضمين منخفض الأبعاد
2793,low-dimensional representation,تمثيل منخفض الأبعاد
2794,low-pass filter,مرشح التمرير المنخفض
2795,low-rank factorization,تحليل المصفوفات منخفضة الرتبة
2796,low-rank matrix approximation,تقريب المصفوفة منخفضة الرتبة
2797,lower bound,الحد الأدنى
2798,mIoU,متوسط تقاطع الاتحاد
2799,mT5,نموذج mT5 متعدد اللغات
2800,machine learning,تعُّلم الآلة
2801,machine learning algorithm,خوارزمية التعلم الآلي
2802,machine learning classifier,مصنف التعلم الآلي
2803,machine learning model,نموذج التعلم الآلي
2804,machine learning system,نظام التعلم الآلي
2805,machine reading,قراءة الآلة
2806,machine translation,الترجمة الآلية
2807,machine translation model,نموذج الترجمة الآلية
2808,machine translation system,نظام الترجمة الآلية
2809,machine vision,الرؤية الآلية
2810,machine-generated text,النص المُولَّد آليًا
2811,machine-in-the-loop,آلة في الحلقة
2812,macro-F1,ماكرو-F1
2813,macro-action,إجراء ماكرو
2814,macro-average,المتوسط الكلي
2815,majority voting,التصويت بالأغلبية
2816,manifold,مشعب
2817,manifold hypothesis,فرضية المانيفولد
2818,manifold learning,تعلم المتشعبات
2819,manifold projection,إسقاط المانيفولد
2820,manifold structure,بنية المانيفولد
2821,manifold-valued datum,بيانات ذات قيم مانيفولدية
2822,margin parameter,معلمة الهامش
2823,marginal density,الكثافة الهامشية
2824,marginal distribution,التوزيع الهامشي
2825,marginal inference,الاستدلال الهامشي
2826,marginal likelihood,الاحتمال الهامشي
2827,marginal log-likelihood,اللوغاريتم الاحتمالي الهامشي
2828,marginal polytope,بوليتوب هامشي
2829,marginal probability,الاحتمال الهامشي
2830,marginalization,التهميش
2831,mask,قناع
2832,mask token,رمز القناع
2833,mask vector,متجه القناع
2834,masked input,الإدخال المقنع
2835,masked language model,نموذج اللغة المموهة
2836,masked token,الرمز المقنّع
2837,masking function,دالة التقنيع
2838,matching algorithm,خوارزمية المطابقة
2839,matching loss,خسارة مطابقة
2840,matrix,مصفوفة
2841,matrix approximation,تقريب المصفوفات
2842,matrix completion,اكتمال المصفوفة
2843,matrix decomposition,تحلل المصفوفة
2844,matrix form,شكل مصفوفي
2845,matrix inversion,معكوس المصفوفة
2846,matrix multiplication,ضرب المصفوفات
2847,matrix norm,مقياس المصفوفة
2848,matrix sketching,تخطيط المصفوفات
2849,matrix vector product,حاصل ضرب المصفوفة والمتجه
2850,matrix-vector multiplication,ضرب المصفوفة في المتجه
2851,matroid,ماترويد
2852,matroid constraint,قيد الماترويد
2853,max norm,معيار الحد الأقصى
2854,max pooling,التجميع الأقصى
2855,max-margin,أقصى هامش
2856,max-margin learning,التعلم بالهامش الأقصى
2857,max-pool,التجميع الأقصى
2858,max-pooling layer,طبقة التجميع الأقصى
2859,max-product semiring,حلقة الضرب الأقصى
2860,maximal clique,الزمرة القصوى
2861,maximal frequent itemset,مجموعة العناصر المتكررة القصوى
2862,maximal frequent pattern,النمط المتكرر الأقصى
2863,maximization problem,مشكلة تعظيم
2864,maximum a posteriori,الأرجحية البعدية القصوى
2865,maximum a posteriori estimation,التقدير الأقصى للاحتمال البعدي
2866,maximum clique,الزمرة القصوى
2867,maximum entropy,الانتروبيا القصوى
2868,maximum entropy model,نموذج الإنتروبيا القصوى
2869,maximum entropy principle,مبدأ الإنتروبيا القصوى
2870,maximum flow,التدفق الأقصى
2871,maximum likelihood,الاحتمال الأعظم
2872,maximum likelihood estimate,تقدير الاحتمالية القصوى
2873,maximum likelihood estimation,تقدير الاحتمالية القصوى
2874,maximum likelihood estimator,مقدر الأرجحية القصوى
2875,maximum likelihood learning,التعلم بالأرجحية القصوى
2876,maximum mean discrepancy,الاختلاف الأقصى في المتوسط
2877,mean average precision,متوسط الدقة العامة
2878,mean field,الحقل المتوسط
2879,mean function,دالة الوسط
2880,mean pooling,تجميع المتوسط
2881,mean reciprocal rank,متوسط الرتبة العكسية
2882,mean shape,شكل المتوسط
2883,mean square error,الخطأ المربعي المتوسط
2884,mean vector,المتجه المتوسط
2885,mean-field approximation,تقريب المجال المتوسط
2886,measurable space,فضاء قابل للقياس
2887,measurement matrix,مصفوفة القياس
2888,measurement noise,ضوضاء القياس
2889,medical imaging,التصوير الطبي
2890,medoid,الميدويد
2891,membership inference attack,هجوم استنتاج العضوية
2892,membership query,استعلام العضوية
2893,memory bank,بنك الذاكرة
2894,memory capacity,سعة الذاكرة
2895,memory cell,خلية الذاكرة
2896,memory complexity,تعقيد الذاكرة
2897,mention detection,كشف الإشارات
2898,meronymy,علاقة الجزء بالكل
2899,message passing,تمرير الرسائل
2900,message passing algorithm,خوارزمية تمرير الرسائل
2901,meta,الميتا
2902,meta-algorithm,ميتا-خوارزمية
2903,meta-classifier,الـمِتَا-مُصنِّف
2904,meta-dataset,مجموعة بيانات ميتا
2905,meta-evaluation,التقييم التلوي
2906,meta-learn,ميتا-تعلم
2907,meta-learner,المتعلم الفوقي
2908,meta-learning,التعلم الفوقي
2909,meta-loss,الخسارة الفوقية
2910,meta-parameter,معلمة فوقية
2911,meta-testing,الاختبار التلوي
2912,meta-training,التدريب الفوقي
2913,metadata,البيانات الوصفية
2914,metalearning,تعلم عملية التعلم
2915,metric learning,التعلم المتري
2916,metric learning algorithm,خوارزمية التعلم المترية
2917,metric score,النتيجة المترية
2918,metric space,الفضاء المتري
2919,micro-average,المتوسط الميكروي
