,English,French
3547,inverse sampling,échantillonnage binomial inverse
3548,inverse square root learning rate schedule,plan de taux d'apprentissage à racine carrée inverse
3549,inverse square root learning rate scheduler,ordonnanceur de taux d'apprentissage en racine carrée inverse
3550,inverse transform sampling,échantillonnage par transformation inverse
3551,inversion of control,inversion de contrôle
3552,inverted index,index inversé
3553,inverted list,liste inversée
3554,inverted pendulum,pendule inversé
3555,invertible map,application inversible
3556,invertible matrix,matrice inversible
3557,iobj,iobj
3558,is-a link,lien is-a
3559,iso-surface extraction,extraction de surfaces iso
3560,isolation forest,forêt d'isolation
3561,isotropic Gaussians,Gaussiens isotropes
3562,itemset,ensemble d'items
3563,iterate,itérer
3564,iterated conditional mode,mode conditionnel itéré
3565,iteration,itération
3566,iteration complexity,complexité d'itération
3567,iteration counter,compteur d'itérations
3568,iterative algorithm,algorithme itératif
3569,iterative deepening,approfondissement itératif
3570,iterative optimization,optimisation itérative
3571,iterative optimization algorithm,algorithme d'optimisation itérative
3572,iterative training algorithm,algorithme d'entraînement itératif
3573,iteratively reweighted least square,moindres carrés repondérés itérativement
3574,join,jointure
3575,joint density,densité conjointe
3576,joint distribution,distribution conjointe
3577,joint embedding space,espace d'embedding conjoint
3578,joint encoding,encodage conjoint
3579,joint entropy,entropie conjointe
3580,joint inference,inférence conjointe
3581,joint learning,apprentissage conjoint
3582,joint learning algorithm,algorithme d'apprentissage conjoint
3583,joint likelihood,vraisemblance conjointe
3584,joint model,modèle conjoint
3585,joint moment,moment conjoint
3586,joint policy,politique conjointe
3587,joint probability,probabilité conjointe
3588,joint probability distribution,distribution de probabilité conjointe
3589,joint probability matrix,matrice de probabilité conjointe
3590,joint probability table,tableau de probabilité conjointe
3591,joint semantic space,espace sémantique joint
3592,judgment sample,échantillon au jugé
3593,jump discontinuity,discontinuité à saut fini
3594,junction tree,arbre de jonction
3595,junction tree algorithm,algorithme d'arbre de jonction
3596,k nearest neighbor,k plus proches voisins
3597,k-Center,k-Centre
3598,k-best list,liste des k-meilleurs
3599,k-best parsing,analyse des k-meilleurs
3600,k-d tree,arbre k-d
3601,k-hop neighbor,voisin à k sauts
3604,k-means clustering algorithm,algorithme de clustering k-means
3605,k-median,K-médiane
3606,k-nearest neighbor,k-plus proches voisins
3607,k-nearest neighbor classifier,classificateur k-plus proches voisins
3608,k-nearest neighbor graph,graphe k-plus proches voisins
3609,k-nearest neighbors algorithm,algorithme des k plus proches voisins
3610,k-nearest-neighbors algorithm,algorithme des KNN
3611,kappa agreement test,test de concordance kappa
3612,kappa statistic,analyse statistique kappa
3613,kernel PCA,analyse en composantes principales à noyaux
3614,kernel approximation,approximation de noyau
3615,kernel bandwidth,largeur de bande du noyau
3616,kernel classifier,classificateur à noyau
3617,kernel density,densité de noyau
3618,kernel density estimate,estimation de la densité de noyau
3619,kernel density estimation,estimation par noyau
3620,kernel evaluation,évaluation du noyau
502,kernel function,fonction noyau
3621,kernel learning,apprentissage par noyau
3622,kernel learning problem,problème d'apprentissage par noyau
3623,kernel machine,machine à noyau
3624,kernel matrix,matrice de noyau
3625,kernel method,méthode à noyau
3626,kernel operation,opération de noyau
3627,kernel operator,opérateur de noyau
3628,kernel parameter,paramètre de noyau
3629,kernel regression,régression par noyau
3630,kernel ridge regression,régression de crête de noyau
3631,kernel size,taille du noyau
3632,kernel smoothing,lissage par noyau
3633,kernel space,espace de noyau
3634,kernel spectrum,spectre du noyau
3635,kernel support vector machines,machines à vecteurs de support à noyau
3636,kernel trick,astuce du noyau
3637,kernel value,valeur du noyau
3638,kernel weight,poids du noyau
3639,kernel width,largeur du noyau
3640,kernel-based classification,classification basée sur le noyau
3641,key,clé
3642,key performance indicator,indicateur de performance clé
3643,key-value store,base de données clé-valeur
3644,keypoint,point clé
3645,keypoint detection,détection de points clés
3646,keypoint detector,détecteur de points clés
3647,keypoint location,localisation des points clés
3648,keypoint match,correspondance de points clés
3649,knapsack problem,problème du sac à dos
3650,knowbot,inforobot
3651,knowledge,connaissance
3652,knowledge acquisition,acquisition des connaissances
3653,knowledge acquisition bottleneck,goulot d'étranglement dans l’acquisition de connaissances
3654,knowledge base,base de connaissances
3655,knowledge based approach,approche fondée sur la connaissance
3656,knowledge compilation,compilation de connaissances
507,knowledge distillation,distillation de connaissances
3657,knowledge element,élément de connaissance
3658,knowledge engineer,cogniticien
3659,knowledge engineering,ingénierie des connaissances
3660,knowledge extraction,extraction de connaissances
3661,knowledge graph,graphe de connaissances
3662,knowledge graph completion,complétion de graphe de connaissances
3663,knowledge interchange format,norme KIF pour l'échange de connaissances
3664,knowledge representation,représentation de la connaissance
3665,knowledge representation & reasoning,raisonnement et représentation des connaissances
3666,knowledge representation and reasoning,représentation des connaissances et raisonnement automatique
3667,knowledge representation language,langage de représentation des connaissances
3668,knowledge source,source de connaissances
3669,knowledge transfer,transfert de connaissances
3670,knowledge-based system,système à base de connaissances
3671,kriging,krigeage
3672,label,étiquette
3673,label distribution,distribution des étiquettes
3674,label embedding,intégration d'étiquettes
3675,label noise,bruit d'étiquetage
3676,label sequence,séquence d'étiquettes
3677,label smoothing,lissage des étiquettes
3678,label space,espace d'étiquettes
3679,label token,jeton d'étiquette
3680,label vector,vecteur de labels
3681,labeled,étiquetés
3682,labeled datum,donnée étiquetée
3683,labeled example,exemple étiqueté
3684,labeled graph,graphe étiqueté
3685,labeled training datum,donnée d'entraînement étiquetée
3686,ladder network,réseau en échelle
3687,lambda calculus,calcul des lambda
3688,lambda expression,fonctions lambda
3689,lambertian,Lambertien
3690,landmark,point de repère
3691,landmark point,point de repère
3692,language,langue
3693,language drift,dérive linguistique
3694,language encoder,encodeur de langage
3695,language generation,génération de langage
3696,language generation model,modèle de génération de langage
3697,language identification,identification de la langue
3698,language model,modèle de langue
3699,language model pre-training,pré-entraînement de modèle linguistique
3700,language modeling,modélisation de la langue
3701,language pair,paire de langues
3702,language processing,traitement de la langue
3703,language representation,représentation linguistique
3704,language transfer,transfert linguistique
3705,language understanding,compréhension du langage
3706,languages,langues
3707,large,grand
3708,large language model,grand modèle de langage
3709,large language model fine-tuning,peaufinage d'un grand modèle de langues
3710,large multimodal model,grand modèle multimodal
3711,large vocabulary continuous speech recognition,reconnaissance de la parole continue à grand vocabulaire
3712,large-margin learning,apprentissage à marge large
3713,lasso regression,régression Lasso
3714,lasso regularization,régularisation LASSO
3715,latency,délai de transit
563,latent Dirichlet allocation,Allocation de Dirichlet latente
3716,latent code,code latent
3717,latent dimension,dimension latente
3718,latent distribution,distribution latente
3719,latent dynamic model,modèle dynamique latent
3720,latent embedding,intégration latente
3721,latent factor,facteur latent
3722,latent feature,caractéristique latente
3723,latent function,fonction latente
3724,latent group,groupe latent
3725,latent parameter,paramètre latent
3726,latent representation,représentation latente
3727,latent reward function,fonction de récompense latente
3728,latent semantic,sémantique latente
564,latent semantic analysis,Analyse sémantique latente
3729,latent space,espace latent
3730,latent state,état latent
3731,latent topic,sujet latent
3732,latent variable,variable hypothétique
3733,latent variable model,modèle à variables latentes
3734,latent vector,vecteur latent
3735,law of total probability,formule des probabilités totales
3736,layer,couche
3737,layer activation,activation de couche
565,layer normalization,Normalisation de couche
3738,layer-wise learning rate decay,décroissance du taux d'apprentissage par couche
3739,lazy grounding,ancrage paresseux
3740,lazy learning,apprentissage paresseux
3741,leaf node,nœud feuille
3742,learnability,apprenabilité
3743,learnable parameter,paramètre apprenable
3744,learnable vector,vecteur apprenable
3745,learned model,modèle appris
3746,learned representation,représentation apprise
3747,learner,appreneur
3748,learning,apprentissage
3749,learning agent,agent d'apprentissage
3750,learning algorithm,algorithme d'apprentissage
3751,learning analytics,analyse de l’apprentissage
3752,learning automaton,automate d'apprentissage
3753,learning curve,courbe d'apprentissage
3754,learning from instruction,apprentissage par instruction
3755,learning method,méthode d'apprentissage
3756,learning paradigm,paradigme d'apprentissage
3757,learning problem,problème d'apprentissage
3758,learning program,programme d'apprentissage
3759,learning rate,pas du gradient
3760,learning rate decay,décroissance du taux d'apprentissage
3761,learning rate decay schedule,calendrier de décroissance du taux d'apprentissage
3762,learning rate schedule,calendrier du taux d'apprentissage
3763,learning rate scheduler,planificateur de taux d'apprentissage
3764,learning rate warmup,préchauffage du taux d'apprentissage
3765,learning to rank,apprentissage du classement
3766,learning vector quantization,quantification de vecteurs par apprentissage
3767,learning-to-rank algorithm,algorithme d'apprentissage par classement
3768,least commitment strategy,stratégie d'implication minimale
3769,least square,moindres carrés
3770,least square criterion,critère des moindres carrés
3771,least square minimization,minimisation des moindres carrés
3772,least square problem,problème des moindres carrés
3773,least square regression,régression des moindres carrés
3774,least square solution,solution des moindres carrés
3775,least squares method,moindres carrés
3776,least squares regression,régression des moindres carrés
3777,least-angle regression,régression du moindre angle
3778,leave-one-out,validation croisée leave-one-out
3779,leave-one-out cross-validation,validation croisée par mise de côté unique
3780,left-to-right model,modèle de gauche à droite
3781,lemmatization,lemmatisation
3782,length normalization,normalisation de la longueur
3783,length penalty,pénalité de longueur
3784,leptokurtosis,lepto-curtique
3785,lexeme,lexème
3786,lexical,lexicale
3787,lexical acquisition,acquisition lexicale
3788,lexical acquisition algorithm,algorithme d'acquisition lexicale
3789,lexical ambiguity,ambiguïté lexicale
3790,lexical analysis,analyse lexicale
3791,lexical entry,entrée lexicale
3792,lexical exposure,exposition lexicale
3793,lexical feature,caractéristique lexicale
3794,lexical head,tête lexicale
3795,lexical item,élément lexical
3796,lexical knowledge,connaissance lexicale
3797,lexical model,modèle lexical
3798,lexical overlap,chevauchement lexical
3799,lexicalization,lexicalisation
3800,lexicalized grammar,grammaire lexicalisée
3801,lexicalized parsing model,modèle de parsing lexicalisé
3802,lexicon,lexique
3803,lexicon induction,induction de lexique
574,lifelong learning,apprentissage tout au long de la vie
3804,light field,champ lumineux
3805,light field interpolation,interpolation de champ lumineux
3806,likelihood function,fonction de vraisemblance
3807,likelihood ratio,quotient de vraisemblance
3808,likelihood ratio test,test du rapport de vraisemblance
3809,likelihood score,score de vraisemblance
3810,line search,recherche de ligne
3811,linear,linéaire
3812,linear activation function,fonction d'activation linéaire
3813,linear algebra,algèbre linéaire
3814,linear classification,classification linéaire
3815,linear classification layer,couche de classification linéaire
3816,linear classifier,classifieur linéaire
3817,linear combination,combinaison linéaire
3818,linear complexity,complexité linéaire
3819,linear constraint,contrainte linéaire
3820,linear decay,décroissance linéaire
3821,linear decoder,décodeur linéaire
3822,linear discriminant analysis,analyse discriminante
3823,linear equation,équation linéaire
3824,linear evaluation,évaluation linéaire
3825,linear factor model,modèle factoriel linéaire
3826,linear function,fonction linéaire
3827,linear function approximation,approximation de fonction linéaire
3828,linear inequality,inégalité linéaire
3829,linear interpolation,interpolation linéaire
3830,linear kernel,noyau linéaire
3831,linear layer,couche linéaire
3832,linear learning rate decay,décroissance linéaire du taux d'apprentissage
3833,linear learning rate schedule,plan de taux d'apprentissage linéaire
3834,linear map,application linéaire
3835,linear model,modèle linéaire
3836,linear optimization,optimisation linéaire
3837,linear predictor,prédicteur linéaire
3838,linear probe,sonde linéaire
3839,linear program,programme linéaire
3840,linear programming boosting,dopage par programmation linéaire
3841,linear programming relaxation,relaxation de programmation linéaire
3842,linear projection,projection linéaire
3843,linear regression,régression linéaire
3844,linear regression model,modèle de régression linéaire
3845,linear regressor,régressseur linéaire
3846,linear resolution,résolution linéaire
3847,linear scaling,mise à l'échelle linéaire
3848,linear scheduler,planificateur linéaire
3849,linear separability,séparabilité linéaire
3850,linear system,système linéaire
3851,linear threshold unit,unité à seuil linéaire
3852,linear transform,transformation linéaire
3853,linear transformation,transformation linéaire
3854,linear transformation matrix,matrice de transformation linéaire
3855,linear warm-up,échauffement linéaire
3856,linear-chain,chaîne linéaire
3857,linear-quadratic regulator,régulateur linéaire-quadratique
3858,linearization,linéarisation
3859,linguistic,linguistique
3860,linguistics,linguistiques
3861,link function,fonction de linkage
3862,link prediction,prédiction de lien
3863,linked,liées
3864,linked data,données liées
3865,linked sample,échantillon lié
3866,liquid neural networks,réseau neuronal liquide
3867,liquid state machine,machine à état liquide
3868,list sampling,échantillonnage sur une liste
3869,load balancing,équilibrage de charge
3870,local basis function,fonction de base locale
3871,local coherence,cohérence locale
3872,local context,contexte local
3873,local coordinate frame,repère de coordonnées local
3874,local feature,caractéristique locale
3875,local geometry,géométrie locale
3876,local image feature,caractéristique d'image locale
3877,local interpretable model-agnostic explanations,LIME
3878,local maxima,maxima locaux
3879,local maximum,maximum local
3880,local minima,minima locaux
3881,local minimizer,minimiseur local
3882,local minimum,minima locaux
3883,local model,modèle local
3884,local optima,optima locaux
3885,local optimum,optimum local
3886,local outlier factor,facteur de valeur aberrante locale
3887,local parameter,paramètre local
3888,local polynomial interpolation,interpolation polynomiale locale
3889,local search,recherche locale
3890,local search method,méthode de recherche locale
3891,local surrogate model,modèle substitut local
3892,local variable,variable locale
3893,local window,fenêtre locale
3894,locality-sensitive hashing,hachage sensible à la localité
3895,localization,localisation
3896,locally constant prior,a priori localement constant
3897,location data,données de localisation
3898,location parameter,paramètre de localisation
3899,log,logarithme
3900,log likelihood,vraisemblance logarithmique
3901,log loss,perte logistique
3902,log marginal likelihood,vraisemblance marginale logarithmique
3903,log p,log p
3904,log partition function,fonction de partition logarithmique
3905,log perplexity,perplexité logarithmique
3906,log probability,probabilité logarithmique
3907,log-likelihood function,fonction de vraisemblance logarithmique
3908,log-likelihood loss,perte de log-vraisemblance
3909,log-likelihood ratio,rapport de log-vraisemblance
3910,log-linear model,modèle log-linéaire
3911,log-linear translation model,modèle de traduction log-linéaire
3912,log-log plot,graphique log-log
3913,log-normal distribution,distribution log-normale
3914,log-odd score,score des log-odds
3915,log-odds,logarithme de cote
3916,log-prob,log-prob
3917,log-sum-exp,log-sum-exp
3918,logic,logique
3919,logic programming,programmation logique
3920,logic programs,programmes logiques
3921,logic theorist,logic theorist
3922,logic tree,arbre logique
3923,logic-based machine learning,apprentissage automatique basé sur la logique
3924,logical connective,connecteur logique
3925,logical entailment,conséquence logique
3926,logical form,forme logique
3927,logical predicate,prédicat logique
3928,logical qubit,bit quantique logique
3929,logistic function,fonction logistique
3930,logistic loss,perte logistique
3931,logistic model tree,arbre de modèle logistique
3932,logistic regression,régression logistique
3933,logistic regression classifier,classificateur de régression logistique
3934,logistic regression model,modèle de régression logistique
3935,logit,logit
3936,logit model,modèle logit
3937,lognormal distribution,distribution de Galton
3938,long short-term memory,réseau récurrent à longue mémoire court terme
3939,long-range dependency,dépendance à long terme
3940,longitudinal study,étude longitudinale
3941,lookup table,table de consultation
3942,loop closure,fermeture de boucle
3943,loopy belief propagation,propagation de croyance par boucle
3944,loss,perte
3945,loss distribution,distribution des pertes
3946,loss function,fonction de perte
3947,loss landscape,paysage de perte
3948,loss minimization,minimisation de la perte
3949,loss optimization,optimisation des pertes
3950,loss term,terme de perte
3951,lossy compression,compression avec perte
3952,lottery ticket hypothesis,hypothèse du ticket de loterie
3953,low rank,faible rang
3954,low rank approximation,approximation de faible rang
3955,low rank matrix factorization,factorisation en une matrice de rang inférieur
3956,low-data regime,régime de faible quantité de données
3957,low-dimensional embedding,plongement de faible dimension
3958,low-dimensional representation,représentation de faible dimension
3959,low-pass filter,filtre passe-bas
3960,low-rank adaptation,adaptation de rangs faibles
3961,low-rank factorization,factorisation de faible rang
3962,low-rank matrix approximation,approximation de matrice de faible rang
3963,lower bound,borne inférieure
3964,mIoU,mIoU
3965,mT5,mT5
3966,machine learning,apprentissage artificiel
3967,machine learning algorithm,algorithme d'apprentissage automatique
3968,machine learning as a service,apprentissage automatique en tant que service
3969,machine learning classifier,classificateur d'apprentissage automatique
3970,machine learning control,contrôle par apprentissage automatique
3971,machine learning engineer,ingénieur en apprentissage automatique
3972,machine learning model,modèle d'apprentissage
3973,machine learning system,système d'apprentissage automatique
3974,machine learning systems,systèmes d'apprentissage automatique
3975,machine listening,audition informatique
3976,machine perception,perception artificielle
3977,machine reading,lecture automatique
3978,machine to machine,communication de machine à machine
3979,machine translation,traduction automatique
3980,machine translation model,modèle de traduction automatique
3981,machine translation system,système de traduction automatique
3982,machine unlearning,désapprentissage automatique
3983,machine vision,Visionique
3984,machine-generated text,texte généré par machine
3985,machine-in-the-loop,machine dans la boucle
3986,macro-F1,macro-F1
3987,macro-action,macro-action
3988,macro-average,macro-moyenne
3989,majority voting,vote majoritaire
3990,manifold,variété
3991,manifold alignment,méthode d'alignement de variété
3992,manifold hypothesis,hypothèse de variété
3993,manifold learning,apprentissage de variété
3994,manifold projection,projection sur la variété
3995,manifold structure,structure de variété
3996,manifold tangent classifier,classificateur tangentiel entre variétés
3997,manifold-valued datum,donnée à valeurs de variété
3998,manually,manuellement
3999,many-shot jailbreaking,débridage en plusieurs coups
4000,many-valued logic,logiques multivalentes
4001,margin parameter,paramètre de marge
4002,marginal density,densité marginale
4003,marginal distribution,distribution marginale
4004,marginal inference,inférence marginale
4005,marginal likelihood,vraisemblance marginale
4006,marginal log-likelihood,log-vraisemblance marginale
4007,marginal polytope,polytope marginal
4008,marginal probability,probabilité marginale
4009,marginalization,marginalisation
4010,market basket analysis,analyse du panier
4011,mashup application,appli composite
4012,mask,masque
4013,mask token,jeton masqué
4014,mask vector,vecteur de masque
4015,masked input,entrée masquée
4016,masked language model,modèle de langage masqué
4017,masked token,jeton masqué
4018,masking function,fonction de masquage
4019,massive online analysis,analyse massive en ligne
4020,massively parallel processing,traitement massivement parallèle
4021,massively parallel processing database,base de données à traitement massivement parallèle
4022,master data management,gestion des données de référence
4023,matching algorithm,algorithme d'appariement
4024,matching loss,perte d'appariement
4025,mathematical optimization,optimisation mathématique
4026,matrix,matrice
4027,matrix approximation,approximation de matrice
4028,matrix calculation,calcul matriciel
641,matrix completion,Complétion de matrice
4029,matrix decomposition,décomposition de matrice
4030,matrix form,forme matricielle
4031,matrix inversion,inversion de matrice
4032,matrix multiplication,MatMul
4033,matrix norm,norme de matrice
4034,matrix sketching,esquisse de matrice
4035,matrix vector product,produit matrice-vecteur
4036,matrix-vector multiplication,multiplication matrice-vecteur
4037,matroid,matroïde
4038,matroid constraint,contrainte de matroïde
4039,max norm,norme maximale
4040,max pooling,max pooling
4041,max-margin,max-margin
4042,max-margin learning,apprentissage à marge maximale
4043,max-pool,max-pooling
4044,max-pooling,sous-échantillonnage par le maximum
4045,max-pooling layer,couche de max-pooling
4046,max-product semiring,sémiring max-produit
4047,maximal clique,clique maximale
4048,maximal frequent itemset,ensemble d'éléments fréquents maximaux
4049,maximal frequent pattern,motif fréquent maximal
4050,maximization problem,problème de maximisation
4051,maximum a posteriori,maximum a posteriori
4052,maximum a posteriori estimation,estimateur du maximum a posteriori
4053,maximum clique,clique maximale
4054,maximum entropy,entropie maximale
4055,maximum entropy model,modèle d'entropie maximale
4056,maximum entropy principle,principe d'entropie maximale
4057,maximum flow,flot maximum
4058,maximum likelihood,maximum de vraisemblance
4059,maximum likelihood estimate,estimation du maximum de vraisemblance
4060,maximum likelihood estimation,estimation du maximum de vraisemblance
4061,maximum likelihood estimator,estimateur du maximum de vraisemblance
4062,maximum likelihood learning,apprentissage par maximum de vraisemblance
4063,maximum mean discrepancy,discrépance moyenne maximale
4064,maximum normalized residual test,test du résidu normalisé maximal
4065,mean absolute error,erreur absolue moyenne
4066,mean average precision,précision moyenne moyenne
4067,mean field,champ moyen
4068,mean function,fonction moyenne
4069,mean pooling,mise en commun de la moyenne
4070,mean reciprocal rank,rang réciproque moyen
4071,mean shape,forme moyenne
4072,mean shift,décalage moyen
4073,mean square error,erreur quadratique moyenne
4074,mean squared error,erreur quadratique moyenne
4075,mean vector,vecteur moyen
4076,mean-field approximation,approximation de champ moyen
4077,mean-linkage clustering,regroupement hiérarchique par lien moyen
4078,meaning,sens
4079,measurable space,espace mesurable
4080,measure of central tendency,caractéristique de tendance centrale
4081,measurement error,erreur de mesure
4082,measurement matrix,matrice de mesure
4083,measurement noise,bruit de mesure
4084,measures of central tendency,calcul de la tendance centrale
4085,median,valeur centrale
4086,medical imaging,imagerie médicale
4087,medoid,médoïde
4088,membership inference attack,attaque par inférence d'appartenance
4089,membership query,requête d'appartenance
4090,memetic algorithm,algorithme mémétique
4091,memoization,memoisation
4092,memory bank,banque de mémoire
4093,memory capacity,capacité de mémoire
4094,memory cell,cellule de mémoire
4095,memory complexity,complexité mémoire
4096,memory dump,vidage de la mémoire
4097,mention detection,détection des mentions
4098,meronymy,méronymie
4099,message passing,passage de messages
4100,message passing algorithm,algorithme de passage de messages
4101,meta,méta
4102,meta-algorithm,méta-algorithme
4103,meta-classifier,méta-classificateur
4104,meta-dataset,méta-dataset
4105,meta-evaluation,méta-évaluation
4106,meta-learn,méta-apprendre
4107,meta-learner,méta-apprenant
4108,meta-learning,méta-apprentissage
4109,meta-loss,méta-perte
4110,meta-parameter,méta-paramètre
4111,meta-testing,méta-test
4112,meta-training,méta-formation
4113,metabolic network modelling,modélisation des réseaux métaboliques
4114,metabolic network reconstruction and simulation,reconstruction et simulation de réseaux métaboliques
4115,metadata,métadonnée
4116,metaheuristic,métaheuristique
4117,metaknowledge,métaconnaissance
4118,metaverse,métavers
4119,method,méthode
4120,methods,méthodes
4121,metric learning,apprentissage de métriques
4122,metric learning algorithm,algorithme d'apprentissage métrique
4123,metric score,score métrique
4124,metric space,espace métrique
4125,metrics,métriques
4126,micro-average,micro-moyenne
4127,micro-batch architecture,architecture par micro-lots
4128,microarray datum,donnée de microarray
4129,microdata,microdonnée
4130,microtasking,micro travail
4131,microworld,micro-monde
4132,middleware,intergiciel
4133,mini-batch,mini-lot
4134,mini-batch size,taille du mini-lot
4135,mini-batch training,entraînement par mini-lots
4136,minima,minima
4137,minimax,minimax
4138,minimax algorithm,algorithme minimax
4139,minimax game,jeu minimax
4140,minimax optimization problem,problème d'optimisation minimax
4141,minimax problem,problème minimax
4142,minimization problem,problème de minimisation
4143,minimizer,minimiseur
4144,minimum baye risk decoding,décodage à risque de Bayes minimum
4145,minimum cut,coupe minimum
4146,minimum description length,longueur de description minimale
4147,minimum redundancy feature selection,sélection de caractéristiques de redondance minimale
4148,minimum spanning tree,arbre couvrant de longueur minimale
4149,minimum support,support minimum
4150,mirror descent,descente miroir
4151,misclassification error,erreur de classification
4152,misclassification loss,perte de classification
4153,misinformation detection,détection de désinformation
4154,missing values,données manquantes
4155,mixed integer programming,programmation en nombres entiers mixtes
4156,mixed precision,précision mixte
4157,mixed precision training,entraînement à précision mixte
4158,mixed strategy,stratégie mixte
4159,mixed-integer program,programme mixte en nombres entiers
4160,mixing matrix,matrice de mélange
4161,mixing time,temps de mélange
4162,mixing weight,poids de mélange
4163,mixture component,composant de mélange
4164,mixture distribution,distribution de mélange
4165,mixture model,modèle de mélange
4166,mixture of Gaussians,mélange de Gaussiennes
4167,mixture of experts,combinaison d'experts
4168,mixture weight,poids de mélange
4169,mocap,capture de mouvement
4170,modalities,modalités
4171,modality,modalité
4172,mode,valeur dominante
4173,mode collapse,effondrement de mode
4174,model,modèle
4175,model M,modèle M
4176,model accuracy,précision du modèle
4177,model architecture,architecture du modèle
4178,model averaging,moyennage de modèles
4179,model based reinforcement learning,apprentissage par renforcement basé sur un modèle
4180,model bias,biais du modèle
4181,model capacity,capacité du modèle
4182,model card,fiche du modèle
4183,model checking,vérification d'un modèle
4184,model class,classe de modèles
4185,model collapse,effondrement de l'IA
4186,model comparison,comparaison de modèles
4187,model complexity,complexité du modèle
4188,model compression,compression de modèle
4189,model convergence,convergence du modèle
4190,model development,développement de modèle
4191,model distillation,distillation de modèle
4192,model distribution,distribution de modèle
4193,model drift,dégradation du modèle
4194,model estimation,estimation de modèle
4195,model evaluation,évaluation de modèle
4196,model family,famille de modèles
4197,model fine-tuning,ajustement de modèle
4198,model generalization,généralisation du modèle
4199,model hyperparameter,hyperparamètre du modèle
4200,model inference,inférence du modèle
4201,model initialization,initialisation du modèle
4202,model interpretability,interprétabilité du modèle
4203,model interpretation,interprétation du modèle
4204,model layer,couche du modèle
4205,model matrix,matrice de modèle
4206,model monitoring,surveillance des modèles
4207,model observability,observabilité du modèle
4208,model operationalization,opérationnalisation des modèles d'IA
4209,model output,sortie du modèle
4210,model parallelism,parallélisme de modèle
4211,model parameter,paramètre du modèle
4212,model performance,performance du modèle
4213,model poisoning,empoisonnement de modèle
4214,model precision,précision du modèle
4215,model prediction,prédiction du modèle
4216,model predictive control,Commande prédictive de modèle
4217,model quantization,quantification de modèle
4218,model representation,représentation du modèle
4219,model robustness,robustesse du modèle
4220,model score,score du modèle
4221,model selection,sélection de modèle
4222,model size,taille du modèle
4223,model specification,spécification du modèle
4224,model structure,structure du modèle
4225,model tracing,modèle par traçage du modèle
4226,model training,entraînement de modèle
4227,model update,mise à jour du modèle
4228,model variant,variante de modèle
4229,model weight,poids du modèle
4230,model's parameter,paramètre du modèle
4231,model-agnostic method,méthode d'interprétation agnostique
4232,model-based approach,approche basée sur le modèle
4233,model-based reinforcement learning,apprentissage par renforcement basé sur un modèle
4234,model-free approach,approche sans modèle
4235,model-free reinforcement learning,apprentissage par renforcement sans modèle
4236,models,modèles
4237,modular,modulaire
4238,modular architecture,architecture modulaire
4239,module,module
4240,modus ponens,modus ponens
4241,moment generating function,fonction génératrice des moments
4242,moment matching,Appariement de moments
4243,momentum,momentum
4244,momentum coefficient,coefficient de momentum
4245,momentum encoder,encodeur de momentum
4246,momentum method,méthode du momentum
4247,momentum term,terme de momentum
4248,monocular,monoculaire
4249,monocular reconstruction,reconstruction monoculaire
4250,monolingual,monolingue
4251,monolingual baseline,référence monolingue
4252,monolingual corpora,corpus monolingues
4253,monolingual corpus,corpus monolingue
4254,monolingual dataset,ensemble de données monolingue
4255,monolingual datum,donnée monolingue
4256,monolingual embedding,embeddings monolingues
4257,monolingual model,modèle monolingue
4258,monolingual training,entraînement monolingue
4259,monotone,monotone
4260,monotone constraint,contrainte monotone
4261,monotone heuristic,fonction monotone
4262,monotonic,monotone
4263,morphemes,morphèmes
4264,morphological,morphologique
4265,morphological analysis,analyse morphologique
4266,morphological analyzer,analyseur morphologique
4267,morphological feature,caractéristique morphologique
4268,morphological information,information morphologique
4269,morphological operation,opération morphologique
4270,morphological segmentation,segmentation morphologique
4271,morphologically,morphologie
4274,most general unifier,unificateur le plus général
4275,motion analysis,analyse du mouvement
4276,motion estimation,estimation du mouvement
4277,motion matrix,matrice de mouvement
4278,motion planning,planification de mouvement
4279,motion segmentation,segmentation de mouvement
4280,motivated,motivés
4281,moving average,moyenne chevauchante
4282,moving-average model,modèle de moyenne mobile
4283,multi-agent,multi-agent
4284,multi-agent interaction,interaction multi-agent
4285,multi-agent learning,apprentissage multi-agent
4286,multi-agent reinforcement learning,apprentissage par renforcement multi-agent
4287,multi-agent system,approche multiagent
4288,multi-armed bandit,problème du bandit à plusieurs bras
4289,multi-armed bandit model,modèle de bandits
4290,multi-armed bandit problem,problème du bandit à K bras
4291,multi-class,multi-classe
4292,multi-class classification,classification à classes multiples
4293,multi-class logistic regression,régression logistique multi-classe
4294,multi-class problem,problème multi-classe
4295,multi-classification,multi-classification
4296,multi-document summarization,résumé multi-document
4297,multi-domain,multi-domaine
4298,multi-factor authentication,authentification multifacteur
4299,multi-head,multi-tête
4300,multi-head attention,attention multi-têtes
4301,multi-head attention layer,couche d'attention multi-têtes
4302,multi-head self-attention,autoattention multi-têtes
4303,multi-head self-attention mechanism,mécanisme d'auto-attention multi-têtes
4304,multi-head self-attention module,module d'auto-attention multi-têtes
4305,multi-headed self-attention,auto-attention multi-tête
4306,multi-label,multi-étiquette
4307,multi-label classification,classification multiétiquettes
4308,multi-label classification loss,perte de classification multi-étiquette
4309,multi-label classifier,classificateur multi-étiquettes
4310,multi-label datum,donnée multi-étiquettes
4311,multi-label learning,Apprentissage multi-étiquettes
