,English,Japanese
2421,hyperprior,ハイパープライヤー
2422,hyponym,下位語
2423,hyponymy,下位語関係
2424,hypothesis class,仮説クラス
2425,hypothesis set,仮説集合
2426,hypothesis space,仮説空間
2427,hypothesis test,仮説検定
2428,i.i.d,独立同分布
2429,i.i.d. sample,独立同分布サンプル（i.i.d.サンプル）
2430,idempotent,冪等
2431,identifying,識別
2432,identity function,恒等関数
2433,identity mapping,同一写像
2434,identity matrix,単位行列
2435,identity transformation,同一変換
2436,image,イメージ
2437,image analysis,画像解析
2438,image captioning,画像キャプション生成
2439,image classification,画像分類
2440,image compression,画像圧縮
2441,image denoising,画像ノイズ除去
2442,image diffusion model,画像拡散モデル
2443,image embedding,画像埋め込み
2444,image encoder,画像エンコーダ
2445,image feature,画像特徴
2446,image generation,画像生成
2447,image inpainting,画像修復
2448,image patch,画像パッチ
2449,image plane,画像平面
2450,image processing,画像処理
2451,image pyramid,画像ピラミッド
2452,image recognition,画像認識
2453,image representation,画像表現
2454,image restoration,画像復元
2455,image segmentation,画像セグメンテーション
2456,image super-resolution,画像超解像
2457,image synthesis,画像合成
2458,image translation,画像変換
2459,image-based rendering,画像ベースのレンダリング
2460,image-text pre-training,画像-テキストの事前学習
2461,image-to-image translation,画像間翻訳
363,imitation learning,模倣学習
2462,immediate consequence operator,即時帰結演算子
2463,imperfect information,不完全情報
2464,implicit differentiation,暗黙的微分
2465,implicit function,暗黙関数
2466,implicit representation,暗黙的表現
2467,implicit surface,暗黙的な曲面
2468,importance sampling,重要サンプリング
2469,importance sampling estimator,重要度サンプリング推定量
2470,importance weight,重要度重み
2471,in-context demonstration,コンテキスト内デモンストレーション
2472,in-context example,コンテキスト内例
2473,in-context learner,インコンテクスト学習者
2474,in-degree distribution,入次数分布
2475,in-distribution,"""同一分布内"" (within the same distribution)"
2476,in-domain,ドメイン内
2477,in-domain text,ドメイン内テキスト
2478,in-neighbor,入隣接ノード
2479,in-order traversal,インオーダートラバーサル
2480,inception score,インセプションスコア
2481,incremental learning,増分学習
2482,incremental parsing,増分構文解析
368,independent component analysis,独立成分分析
2483,independent set,独立集合
2484,independent variable,独立変数
2485,indicator matrix,インジケータ行列
2486,indicator variable,指示変数
2487,indicator vector,インジケータベクトル
2488,induced subgraph,誘導部分グラフ
2489,inducing variable,誘導変数
2490,induction hypothesis,帰納仮説
2491,inductive bias,帰納的バイアス
2492,inductive learning,帰納的学習
2493,inf,インフ
2494,inference,推論
2495,inference algorithm,推論アルゴリズム
2496,inference machinery,推論機構
2497,inference method,推論手法
2498,inference problem,推論問題
2499,inference procedure,推論手続き
2500,inference process,推論プロセス
2501,inference rule,推論規則
2502,inference stage,推論段階
2503,inference task,推論タスク
2504,inference time,推論時間
2505,infinite-horizon,無限ホライズン
2506,influence diagram,影響図
2507,influence function,影響関数
2508,information,情報
2509,information bottleneck,情報ボトルネック
2510,information content,情報量
2511,information gain,情報利得
371,information retrieval,情報検索
2512,information retrieval system,情報検索システム
2513,information set,情報集合
2514,information theoretic,情報理論的
2515,information theoretic measure,情報理論的尺度
2516,infoset,インフォセット
2517,inhomogeneous Poisson process,不均一ポアソン過程
2518,initial distribution,初期分布
2519,initial state,初期状態
2520,initial state distribution,初期状態分布
2521,initialization,初期化
2522,injective function,単射関数
2523,inlier,内点
2524,inner layer,内部層
2525,inner loop,内部ループ
2526,inner node,内部ノード
2527,inner product,内積
2528,input,入力
2529,input context,入力コンテキスト
2530,input datum,入力データ
2531,input embedding,入力埋め込み
2532,input feature,入力特徴
2533,input feature vector,入力特徴ベクトル
2534,input filter,入力フィルタ
2535,input formula,入力式
2536,input gate,入力ゲート
2537,input graph,入力グラフ
2538,input image,入力画像
2539,input layer,入力層
2540,input length,入力長
2541,input matrix,入力行列
2542,input point,入力点
2543,input position,入力位置
2544,input representation,入力表現
2545,input resolution,入力解像度
2546,input sequence,入力シーケンス
373,input space,入力空間
2547,input tensor,入力テンソル
2548,input text,入力テキスト
2549,input token,入力トークン
2550,input vector,入力ベクトル
2551,input-output pair,入力-出力ペア
2552,instance,インスタンス
2553,instance level,インスタンスレベル
2554,instance segmentation,インスタンスセグメンテーション
2555,instance selection,インスタンス選択
2556,instance space,インスタンス空間
2557,instruction tuning,インストラクションチューニング
2558,integer linear program,整数線形プログラム
2559,integer program,整数プログラム
2560,integral image,積分画像
2561,integral operator,積分演算子
2562,integral probability metric,積分確率距離
2563,integrity constraint,整合性制約
2564,intelligent agent,知能エージェント
2565,intensity function,強度関数
2566,intent,意図
2567,inter-annotator agreement,アノテーター間一致
2568,interaction matrix,相互作用行列
2569,interest point,特徴点
2570,interior point method,内点法
2571,intermediate layer,中間層
2572,intermediate representation,中間表現
2573,internal edge,内部エッジ
2574,internal node,内部ノード
2575,internal regret,内部後悔
2576,internal representation,内部表現
2577,internal state,内部状態
2578,internet,インターネット
2579,interpolation,補間
2580,interpretability,解釈可能性
2581,interpretable,解釈可能
2582,interpretation function,解釈関数
2583,intersection-over-union,インターセクション・オーバー・ユニオン
2584,interval estimate,区間推定
2585,intractability,計算不可能性
2586,intrinsic,内因性
2587,intrinsic camera parameter,内因性カメラパラメータ
2588,intrinsic dimension subspace,内因次元部分空間
2589,intrinsic dimensionality,内因次元性
2590,intrinsic evaluation,内在的評価
2591,intrinsic image,内在画像
2592,intrinsic parameter,内部パラメータ
2593,inverse document frequency,逆文書頻度
2594,inverse dynamic model,逆動力学モデル
2595,inverse problem,逆問題
376,inverse reinforcement learning,逆強化学習
2596,inverse rendering,逆レンダリング
2597,inverse role,逆役割
2598,inverse square root learning rate schedule,逆平方根学習率スケジュール
2599,inverse square root learning rate scheduler,逆平方根学習率スケジューラ
2600,inverse transform sampling,逆変換サンプリング
2601,inverted index,逆インデックス
2602,inverted list,逆リスト
2603,invertible map,可逆写像
2604,invertible matrix,可逆行列
2605,iobj,間接目的語
2606,iso-surface extraction,等値面抽出
2607,isotropic Gaussians,等方性ガウス分布
2608,itemset,アイテムセット
2609,iterate,イテレート
2610,iterated conditional mode,反復条件付きモード
2611,iteration,反復
2612,iteration complexity,イテレーション複雑性
2613,iteration counter,反復カウンタ
2614,iterative algorithm,反復アルゴリズム
2615,iterative deepening,反復深化
2616,iterative optimization,反復最適化
2617,iterative optimization algorithm,反復最適化アルゴリズム
2618,iterative training algorithm,反復訓練アルゴリズム
2619,iteratively reweighted least square,反復再重み付け最小二乗法
2620,joint density,同時密度
2621,joint distribution,同時分布
2622,joint embedding space,同時埋め込み空間
2623,joint encoding,同時エンコーディング
2624,joint entropy,同時エントロピー
2625,joint inference,ジョイント推論
2626,joint learning,ジョイント学習
2627,joint learning algorithm,ジョイント学習アルゴリズム
2628,joint likelihood,結合尤度
2629,joint model,ジョイントモデル
2630,joint policy,ジョイントポリシー
2631,joint probability,結合確率
2632,joint probability distribution,結合確率分布
2633,joint probability matrix,結合確率行列
2634,joint probability table,結合確率表
2635,joint semantic space,共同意味空間
2636,junction tree,ジャンクションツリー
2637,junction tree algorithm,ジャンクションツリーアルゴリズム
2638,k nearest neighbor,k最近傍法
2639,k-Center,kセンター
2640,k-best list,k-bestリスト
2641,k-best parsing,k-best構文解析
2642,k-d tree,k-d木
2643,k-hop neighbor,k-hop隣接ノード
2644,k-means clustering algorithm,k-means クラスタリングアルゴリズム
2645,k-nearest neighbor,k最近傍法
2646,k-nearest neighbor classifier,k最近傍分類器
2647,k-nearest neighbor graph,k最近傍グラフ
2648,kernel approximation,カーネル近似
2649,kernel bandwidth,カーネルバンド幅
2650,kernel classifier,カーネル分類器
2651,kernel density,カーネル密度
2652,kernel density estimate,カーネル密度推定
2653,kernel density estimation,カーネル密度推定法
2654,kernel evaluation,カーネル評価
395,kernel function,カーネル関数
2655,kernel learning,カーネル学習
2656,kernel learning problem,カーネル学習問題
2657,kernel machine,カーネルマシン
2658,kernel matrix,カーネル行列
2659,kernel method,カーネル法
2660,kernel operation,カーネル操作
2661,kernel operator,カーネル演算子
2662,kernel parameter,カーネルパラメータ
2663,kernel regression,カーネル回帰
2664,kernel ridge regression,カーネルリッジ回帰
2665,kernel size,カーネルサイズ
2666,kernel smoothing,カーネルスムージング
2667,kernel space,カーネル空間
2668,kernel spectrum,カーネルスペクトル
2669,kernel trick,カーネルトリック
2670,kernel value,カーネル値
2671,kernel weight,カーネル重み
2672,kernel width,カーネル幅
2673,kernel-based classification,カーネルベースの分類
2674,key,キー
2675,keypoint,キーポイント
2676,keypoint detection,キーポイント検出
2677,keypoint detector,キーポイント検出器
2678,keypoint location,キーポイント位置
2679,keypoint match,キーポイントマッチ
2680,knapsack problem,ナップサック問題
2681,knowledge,知識
399,knowledge base,知識ベース
2682,knowledge compilation,知識コンパイル
400,knowledge distillation,知識蒸留
2683,knowledge element,知識要素
401,knowledge graph,知識グラフ
2684,knowledge graph completion,知識グラフ補完
2685,knowledge representation,知識表現
2686,knowledge transfer,知識転送
2687,label,ラベル
2688,label distribution,ラベル分布
2689,label embedding,ラベル埋め込み
2690,label noise,ラベルノイズ
2691,label sequence,ラベルシーケンス
2692,label smoothing,ラベルスムージング
2693,label space,ラベル空間
2694,label token,ラベルトークン
2695,label vector,ラベルベクトル
2696,labeled,ラベル付き
2697,labeled datum,ラベル付きデータ
2698,labeled example,ラベル付き例
2699,labeled graph,ラベル付きグラフ
2700,labeled training datum,ラベル付きトレーニングデータ
2701,lambda calculus,ラムダ計算
2702,landmark,ランドマーク
2703,landmark point,ランドマークポイント
2704,language,言語
2705,language drift,言語の漂流
2706,language encoder,言語エンコーダ
2707,language generation,言語生成
2708,language generation model,言語生成モデル
2709,language identification,言語識別
433,language model,言語モデル
2710,language model pre-training,言語モデルの事前学習
2711,language pair,言語ペア
2712,language representation,言語表現
2713,language transfer,言語転送
2714,language understanding,言語理解
2715,languages,言語
2716,large,大規模な
2717,large language model,大規模言語モデル
2718,large-margin learning,ラージ・マージン・ラーニング
445,latent Dirichlet allocation,潜在ディリクレ配分
2719,latent code,潜在コード
2720,latent dimension,潜在次元
2721,latent distribution,潜在分布
2722,latent dynamic model,潜在動的モデル
2723,latent embedding,潜在埋め込み
2724,latent factor,潜在因子
2725,latent feature,潜在特徴
2726,latent function,潜在関数
2727,latent group,潜在グループ
2728,latent parameter,潜在パラメータ
2729,latent representation,潜在表現
2730,latent reward function,潜在報酬関数
2731,latent semantic,潜在意味
446,latent semantic analysis,潜在意味解析
2732,latent space,潜在空間
2733,latent state,潜在状態
2734,latent topic,潜在トピック
2735,latent variable,潜在変数
2736,latent variable model,潜在変数モデル
2737,latent vector,潜在ベクトル
2738,layer,レイヤー
2739,layer activation,レイヤー活性化
447,layer normalization,レイヤー正規化
2740,layer-wise learning rate decay,層ごとの学習率減衰
2741,lazy grounding,レイジーグラウンディング
2742,leaf node,リーフノード
2743,learnability,学習可能性
2744,learnable parameter,学習可能なパラメータ
2745,learnable vector,学習可能ベクトル
2746,learned model,学習モデル
2747,learned representation,学習された表現
2748,learner,学習者
2749,learning,学習
2750,learning agent,学習エージェント
2751,learning algorithm,学習アルゴリズム
2752,learning method,学習方法
2753,learning paradigm,学習パラダイム
2754,learning problem,学習問題
448,learning rate,学習率
2755,learning rate decay,学習率減衰
2756,learning rate decay schedule,学習率減衰スケジュール
2757,learning rate schedule,学習率スケジュール
2758,learning rate scheduler,学習率スケジューラ
2759,learning rate warmup,学習率ウォームアップ
2760,learning-to-rank algorithm,ランキング学習アルゴリズム
2761,least square,最小二乗法
2762,least square criterion,最小二乗基準
2763,least square minimization,最小二乗最適化
2764,least square problem,最小二乗問題
2765,least square regression,最小二乗回帰
2766,least square solution,最小二乗解
2767,leave-one-out,一つ除外法
2768,left-to-right model,左から右へのモデル
2769,lemmatization,レンマ化
2770,length normalization,長さ正規化
2771,length penalty,長さペナルティ
2772,lexeme,レキシーム
2773,lexical,語彙的
2774,lexical acquisition,語彙獲得
2775,lexical acquisition algorithm,語彙獲得アルゴリズム
2776,lexical ambiguity,語彙的曖昧性
2777,lexical entry,語彙エントリ
2778,lexical exposure,語彙的露出
2779,lexical feature,語彙特徴
2780,lexical head,語彙的ヘッド
2781,lexical item,語彙項目
2782,lexical knowledge,語彙知識
2783,lexical model,語彙モデル
2784,lexical overlap,語彙的重複
2785,lexicalization,語彙化
2786,lexicalized grammar,語彙化文法
2787,lexicalized parsing model,語彙化された構文解析モデル
2788,lexicon,辞書
2789,lexicon induction,辞書誘導
456,lifelong learning,生涯学習
2790,light field,ライトフィールド
2791,light field interpolation,ライトフィールド補間
2792,likelihood function,尤度関数
2793,likelihood ratio test,尤度比検定
2794,likelihood score,尤度スコア
2795,line search,線形探索
2796,linear,線形
2797,linear activation function,線形活性化関数
2798,linear algebra,線形代数
2799,linear classification,線形分類
2800,linear classification layer,線形分類層
2801,linear classifier,線形分類器
2802,linear combination,線形結合
2803,linear complexity,線形複雑性
2804,linear constraint,線形制約
2805,linear decay,線形減衰
2806,linear decoder,線形デコーダ
2807,linear discriminant analysis,線形判別分析
2808,linear equation,線形方程式
2809,linear evaluation,線形評価
2810,linear function,線形関数
2811,linear function approximation,線形関数近似
2812,linear inequality,線形不等式
2813,linear interpolation,線形補間
2814,linear kernel,線形カーネル
2815,linear layer,線形層
2816,linear learning rate decay,線形学習率減衰
2817,linear learning rate schedule,線形学習率スケジュール
2818,linear map,線形写像
2819,linear model,線形モデル
2820,linear predictor,線形予測子
2821,linear probe,線形プローブ
2822,linear program,線形プログラム
2823,linear programming relaxation,線形計画緩和
2824,linear projection,線形射影
459,linear regression,線形回帰
2825,linear regression model,線形回帰モデル
2826,linear regressor,線形回帰器
2827,linear scaling,線形スケーリング
2828,linear scheduler,線形スケジューラ
2829,linear separability,線形分離可能性
2830,linear system,線形システム
2831,linear transform,線形変換
2832,linear transformation,線形変換
2833,linear transformation matrix,線形変換行列
2834,linear warm-up,線形ウォームアップ
2835,linear-chain,線形連鎖
2836,linear-quadratic regulator,線形二次レギュレータ
2837,linearization,線形化
2838,linguistic,言語的
2839,linguistics,言語学
2840,link function,リンク関数
2841,link prediction,リンク予測
2842,linked,リンクされた
2843,local basis function,ローカル基底関数
2844,local coherence,ローカルコヒーレンス
2845,local context,ローカルコンテキスト
2846,local coordinate frame,ローカル座標系
2847,local feature,ローカル特徴
2848,local geometry,ローカルジオメトリ
2849,local image feature,ローカル画像特徴
2850,local maxima,局所極大
2851,local maximum,局所最大値
2852,local minima,局所極小
2853,local minimizer,局所極小化器
2854,local minimum,局所最小値
2855,local model,ローカルモデル
2856,local optima,局所最適
2857,local optimum,局所最適
2858,local parameter,ローカルパラメータ
2859,local search,ローカルサーチ
2860,local search method,局所探索法
2861,local variable,ローカル変数
2862,local window,ローカルウィンドウ
2863,locality-sensitive hashing,局所性に敏感なハッシュ法
2864,localization,ローカリゼーション
2865,location parameter,位置パラメータ
2866,log,対数
2867,log likelihood,対数尤度
2868,log loss,対数損失
2869,log marginal likelihood,対数周辺尤度
2870,log p,ログp
2871,log partition function,対数分配関数
2872,log perplexity,対数パープレキシティ
2873,log probability,対数確率
2874,log-likelihood function,対数尤度関数
2875,log-likelihood loss,対数尤度損失
2876,log-likelihood ratio,対数尤度比
2877,log-linear model,対数線形モデル
2878,log-linear translation model,対数線形翻訳モデル
2879,log-log plot,対数-対数プロット
2880,log-normal distribution,対数正規分布
2881,log-odd score,対数オッズスコア
2882,log-prob,対数確率
2883,log-sum-exp,対数和指数
2884,logical connective,論理接続詞
2885,logical form,論理形式
2886,logistic function,ロジスティック関数
2887,logistic loss,ロジスティック損失
472,logistic regression,ロジスティック回帰
2888,logistic regression classifier,ロジスティック回帰分類器
2889,logistic regression model,ロジスティック回帰モデル
2890,logit,ロジット
2891,logit model,ロジットモデル
2892,long-range dependency,長距離依存性
2893,lookup table,ルックアップテーブル
2894,loop closure,ループクローズure
2895,loopy belief propagation,ループ信念伝播
2896,loss,損失
2897,loss distribution,損失分布
2898,loss function,損失関数
2899,loss landscape,損失ランドスケープ
2900,loss minimization,損失最小化
2901,loss term,損失項
2902,lossy compression,非可逆圧縮
2903,lottery ticket hypothesis,ロトリーチケット仮説
2904,low rank,低ランク
2905,low rank approximation,低ランク近似
2906,low-data regime,低データレジーム
2907,low-dimensional embedding,低次元埋め込み
2908,low-dimensional representation,低次元表現
2909,low-pass filter,ローパスフィルター
2910,low-rank factorization,低ランク因子分解
2911,low-rank matrix approximation,低ランク行列近似
2912,lower bound,下限
2913,mIoU,mIoU
2914,mT5,mT5
481,machine learning,機械学習
2915,machine learning algorithm,機械学習アルゴリズム
2916,machine learning classifier,機械学習分類器
2917,machine learning model,機械学習モデル
2918,machine learning system,機械学習システム
2919,machine reading,機械読解
484,machine translation,機械翻訳
2920,machine translation model,機械翻訳モデル
2921,machine translation system,機械翻訳システム
2922,machine vision,機械視覚
2923,machine-generated text,機械生成テキスト
2924,machine-in-the-loop,機械介在型
2925,macro-F1,マクロF1
2926,macro-action,マクロアクション
2927,macro-average,マクロ平均
2928,majority voting,多数決
2929,manifold,多様体
2930,manifold hypothesis,多様体仮説
2931,manifold learning,多様体学習
2932,manifold projection,多様体射影
2933,manifold structure,多様体構造
2934,manifold-valued datum,多様体値データ
2935,manually,手動で
2936,margin parameter,マージンパラメータ
2937,marginal density,周辺密度
2938,marginal distribution,周辺分布
2939,marginal inference,周辺推論
2940,marginal likelihood,周辺尤度
2941,marginal log-likelihood,周辺対数尤度
2942,marginal polytope,周辺多面体
2943,marginal probability,周辺確率
2944,marginalization,周辺化
2945,mask,マスク
2946,mask token,マスクトークン
2947,mask vector,マスクベクトル
2948,masked input,マスクされた入力
2949,masked language model,マスク言語モデル
2950,masked token,マスクトークン
2951,masking function,マスキング関数
2952,matching algorithm,マッチングアルゴリズム
2953,matching loss,マッチングロス
2954,matrix,行列
2955,matrix approximation,行列近似
514,matrix completion,行列補完
2956,matrix decomposition,行列分解
2957,matrix form,行列形式
2958,matrix inversion,行列逆行列
2959,matrix multiplication,行列乗算
2960,matrix norm,行列ノルム
2961,matrix sketching,行列スケッチング
2962,matrix vector product,行列ベクトル積
2963,matrix-vector multiplication,行列-ベクトル乗算
2964,matroid,マトロイド
2965,matroid constraint,マイトロイド制約
2966,max norm,最大ノルム
2967,max pooling,最大プーリング
2968,max-margin,最大マージン
2969,max-margin learning,最大マージン学習
2970,max-pool,マックスプーリング
2971,max-pooling layer,最大プーリング層
2972,max-product semiring,最大積半環
2973,maximal clique,最大クリーク
2974,maximal frequent itemset,最大頻出アイテム集合
2975,maximal frequent pattern,最大頻出パターン
2976,maximization problem,最大化問題
2977,maximum a posteriori,最大事後確率
2978,maximum a posteriori estimation,最大事後確率推定
2979,maximum clique,最大クリーク
2980,maximum entropy,最大エントロピー
2981,maximum entropy model,最大エントロピーモデル
2982,maximum entropy principle,最大エントロピー原理
2983,maximum flow,最大流量
517,maximum likelihood,最大尤度
2984,maximum likelihood estimate,最尤推定
2985,maximum likelihood estimation,最大尤度推定
2986,maximum likelihood estimator,最大尤度推定量
2987,maximum likelihood learning,最大尤度学習
2988,maximum mean discrepancy,最大平均差
2989,mean average precision,平均平均精度
2990,mean field,平均場
2991,mean function,平均関数
2992,mean pooling,平均プーリング
2993,mean reciprocal rank,平均逆順位
2994,mean shape,平均形状
2995,mean square error,平均二乗誤差
2996,mean vector,平均ベクトル
2997,mean-field approximation,平均場近似
2998,meaning,意味
2999,measurable space,可測空間
3000,measurement matrix,測定行列
3001,measurement noise,測定ノイズ
3002,medical imaging,医用画像
3003,medoid,メドイド
3004,membership inference attack,メンバーシップ推論攻撃
3005,membership query,メンバーシップクエリ
3006,memory bank,メモリーバンク
3007,memory capacity,メモリ容量
3008,memory cell,メモリセル
3009,memory complexity,メモリ複雑度
3010,mention detection,メンション検出
3011,meronymy,部分関係
3012,message passing,メッセージパッシング
3013,message passing algorithm,メッセージパッシングアルゴリズム
3014,meta,メタ
3015,meta-algorithm,メタアルゴリズム
3016,meta-classifier,メタ分類器
3017,meta-dataset,メタデータセット
3018,meta-evaluation,メタ評価
3019,meta-learn,メタ学習
3020,meta-learner,メタ学習者
520,meta-learning,メタ学習
3021,meta-loss,メタ損失
3022,meta-parameter,メタパラメータ
3023,meta-testing,メタテスト
3024,meta-training,メタトレーニング
3025,metadata,メタデータ
3026,method,方法
3027,methods,方法
3028,metric learning,メトリック学習
3029,metric learning algorithm,メトリック学習アルゴリズム
3030,metric score,メトリックスコア
3031,metric space,メトリック空間
3032,metrics,メトリックス
3033,micro-average,マイクロ平均
3034,microarray datum,マイクロアレイデータ
3035,mini-batch,ミニバッチ
3036,mini-batch size,ミニバッチサイズ
3037,mini-batch training,ミニバッチトレーニング
3038,minima,極小値
3039,minimax,ミニマックス
3040,minimax game,ミニマックスゲーム
3041,minimax optimization problem,ミニマックス最適化問題
3042,minimax problem,ミニマックス問題
3043,minimization problem,最小化問題
3044,minimizer,最小化点
3045,minimum baye risk decoding,最小ベイズリスクデコーディング
3046,minimum cut,最小カット
3047,minimum description length,最小記述長
3048,minimum support,最小サポート
3049,mirror descent,ミラー降下
3050,misclassification error,誤分類誤差
3051,misclassification loss,誤分類損失
3052,misinformation detection,誤情報検出
3053,mixed integer programming,混合整数計画法
3054,mixed precision,混合精度
3055,mixed precision training,混合精度トレーニング
3056,mixed strategy,混合戦略
3057,mixed-integer program,混合整数プログラム
3058,mixing matrix,混合行列
3059,mixing time,混合時間
3060,mixing weight,混合重み
3061,mixture component,混合成分
3062,mixture distribution,混合分布
3063,mixture model,混合モデル
3064,mixture of Gaussians,ガウス混合モデル
3065,mixture weight,混合重み
3066,mocap,モーションキャプチャ
3067,modalities,モダリティ
3068,modality,モダリティ
3069,mode,モード
3070,mode collapse,モード崩壊
529,model,モデル
3072,model M,モデル M
3073,model accuracy,モデル精度
3074,model architecture,モデルアーキテクチャ
3075,model averaging,モデル平均化
3076,model bias,モデルバイアス
3077,model capacity,モデル容量
3078,model card,モデルカード
3079,model checking,モデル検査
3080,model class,モデルクラス
3081,model comparison,モデル比較
3082,model complexity,モデルの複雑性
3083,model compression,モデル圧縮
3084,model convergence,モデル収束
3085,model development,モデル開発
3086,model distillation,モデル蒸留
3087,model distribution,モデル分布
3088,model estimation,モデル推定
3089,model evaluation,モデル評価
3090,model family,モデルファミリー
3091,model fine-tuning,モデルのファインチューニング
3092,model generalization,モデルの一般化
3093,model hyperparameter,モデルハイパーパラメータ
3094,model inference,モデル推論
3095,model initialization,モデル初期化
3096,model interpretability,モデル解釈可能性
3097,model interpretation,モデル解釈
3098,model layer,モデル層
3099,model output,モデル出力
3100,model parallelism,モデル並列性
3101,model parameter,モデルパラメータ
3102,model performance,モデル性能
3103,model precision,モデル精度
3104,model prediction,モデル予測
3105,model predictive control,モデル予測制御
3106,model representation,モデル表現
3107,model robustness,モデルの堅牢性
3108,model score,モデルスコア
3109,model selection,モデル選択
3110,model size,モデルサイズ
3111,model specification,モデル仕様
3112,model structure,モデル構造
3113,model training,モデル訓練
3114,model update,モデル更新
3115,model variant,モデルバリアント
3116,model weight,モデルの重み
3117,model's parameter,モデルのパラメータ
3118,model-based approach,モデルベースのアプローチ
3119,model-based reinforcement learning,モデルベースの強化学習
3120,model-free approach,モデルフリーアプローチ
3121,models,モデル
3122,modular,モジュラー
3123,modular architecture,モジュラーアーキテクチャ
3124,module,モジュール
3125,moment matching,モーメントマッチング
3126,momentum,モーメンタム
3127,momentum coefficient,モーメンタム係数
3128,momentum encoder,モメンタムエンコーダ
3129,momentum term,モーメンタム項
3130,monocular,単眼
3131,monocular reconstruction,単眼再構成
3132,monolingual,単一言語
3133,monolingual baseline,単言語ベースライン
3134,monolingual corpora,単言語コーパス
3135,monolingual corpus,単言語コーパス
3136,monolingual dataset,単言語データセット
3137,monolingual datum,単言語データ
3138,monolingual embedding,単言語埋め込み
3139,monolingual model,単言語モデル
3140,monolingual training,モノリンガルトレーニング
3141,monotone,単調
3142,monotonic,モノトニック
3143,morphemes,形態素
3144,morphological,形態的
3145,morphological analysis,形態素解析
3146,morphological analyzer,形態素解析器
3147,morphological feature,形態素的特徴
3148,morphological information,形態素情報
3149,morphological operation,形態素操作
3150,morphological segmentation,形態素セグメンテーション
3151,morphologically,形態的に
3154,motion analysis,運動解析
3155,motion estimation,動作推定
3156,motion matrix,モーション行列
3157,motion planning,モーションプランニング
3158,motion segmentation,モーションセグメンテーション
3159,motivated,動機づけられる
3160,moving average,移動平均
3161,multi-agent,マルチエージェント
3162,multi-agent interaction,マルチエージェント相互作用
3163,multi-agent learning,マルチエージェント学習
3164,multi-agent reinforcement learning,マルチエージェント強化学習
3165,multi-agent system,マルチエージェントシステム
3166,multi-armed bandit,マルチアームバンディット
3167,multi-armed bandit problem,マルチアームバンディット問題
3168,multi-class,マルチクラス
3169,multi-class classification,マルチクラス分類
3170,multi-class logistic regression,マルチクラスロジスティック回帰
3171,multi-class problem,多クラス問題
3172,multi-classification,多クラス分類
3173,multi-document summarization,多文書要約
3174,multi-domain,多ドメイン
3175,multi-head,マルチヘッド
3176,multi-head attention,マルチヘッドアテンション
3177,multi-head attention layer,マルチヘッドアテンション層
3178,multi-head self-attention,多頭自己注意
3179,multi-head self-attention mechanism,マルチヘッド自己注意メカニズム
3180,multi-head self-attention module,マルチヘッドセルフアテンションモジュール
3181,multi-headed self-attention,マルチヘッド自己注意
3182,multi-label,マルチラベル
3183,multi-label classification,マルチラベル分類
3184,multi-label classification loss,マルチラベル分類損失
3185,multi-label classifier,マルチラベル分類器
3186,multi-label datum,マルチラベルデータ
3187,multi-label learning,マルチラベル学習
3188,multi-label text classification,マルチラベルテキスト分類
3189,multi-layer neural network,多層ニューラルネットワーク
3190,multi-layer perceptron,多層パーセプトロン
3191,multi-modal,マルチモーダル
3192,multi-modal input,マルチモーダル入力
3193,multi-modal learning,マルチモーダル学習
3194,multi-modal model,マルチモーダルモデル
3195,multi-object detection,マルチオブジェクト検出
3196,multi-objective optimization,多目的最適化
3197,multi-scale,マルチスケール
3198,multi-scale architecture,マルチスケールアーキテクチャ
3199,multi-scale training,マルチスケールトレーニング
3200,multi-task,マルチタスク
3201,multi-task fine-tuning,マルチタスク微調整
3202,multi-task model,マルチタスクモデル
3203,multi-task regression,マルチタスク回帰
3204,multi-task setting,マルチタスク設定
3205,multi-view,マルチビュー
3206,multi-view datum,マルチビューデータ
3207,multi-view geometry,マルチビュー幾何学
3208,multi-view learning,マルチビュー学習
3209,multi-view stereo,マルチビュー・ステレオ
3210,multi-view system,マルチビューシステム
3211,multiclass classifier,マルチクラス分類器
3212,multiclass hinge loss,マルチクラスヒンジ損失
3213,multiclass model,マルチクラスモデル
3214,multiclass object detection,多クラス物体検出
3215,multilingual,他言語
3216,multilingual embedding,多言語埋め込み
3217,multilingual language model,多言語モデル
3218,multilingual model,多言語モデル
3219,multilingual representation,多言語表現
3220,multilingual training,多言語トレーニング
3221,multilinguality,多言語性
3222,multimodal task,マルチモーダルタスク
3223,multinomial distribution,多項分布
3224,multinomial model,多項モデル
3225,multiple kernel learning,多重カーネル学習
3226,multiple linear regression,多重線形回帰
3227,multiscale modeling,マルチスケールモデリング
3228,multiset,多重集合
3229,multitask,マルチタスク
3230,multitask training,マルチタスクトレーニング
3231,multivariate,多変量
3232,multivariate Gaussian,多変量ガウス
3233,multivariate Gaussian distribution,多変量ガウス分布
3234,multivariate normal,多変量正規分布
3235,multivariate normal distribution,多変量正規分布
3236,multivariate time series,多変量時系列
3237,mutex,ミューテックス
3238,mutexe,ミューテックス
3239,mutual entropy,相互エントロピー
554,mutual information,相互情報量
3240,n-best list,n-bestリスト
555,n-gram,N-グラム
3241,n-gram feature,n-グラム特徴
3242,n-gram language model,n-グラム言語モデル
3243,n-gram model,n-グラムモデル
3244,n-step returns,nステップリターン
559,naive Bayes,ナイーブベイズ
