,word,validated_translation
354,imitation learning,التعلم بالتقليد
2483,immediate consequence operator,مشغل العواقب الفورية
2484,imperfect information,معلومات غير كاملة
2485,implicit bias,تحيز ضمني
2486,implicit differentiation,التفاضل الضمني
2487,implicit function,دالة ضمنية
2488,implicit representation,تمثيل ضمني
2489,implicit surface,سطح ضمني
2490,importance sampling,أخذ العينات بالاعتماد على الأهمية
2491,importance sampling estimator,مقدر أخذ العينات بالاعتماد على الأهمية
2492,importance weight,وزن الأهمية
2493,in-context demonstration,العرض التوضيحي في السياق
2494,in-context example,مثال في السياق
2495,in-context learner,المتعلم في السياق
2496,in-database analytics,تحليلات في قاعدة البيانات
2497,in-degree distribution,توزيع الدرجة الداخلية
2498,in-distribution,في التوزيع
2499,in-domain,ضمن المجال
2500,in-domain text,نص ضمن المجال
2501,in-neighbor,الجيران الداخلين
2502,in-order traversal,الاجتياز بالترتيب
2503,inception score,درجة الإنشاء
2504,incremental learning,تعلم تدريجي
2505,incremental parsing,التحليل التدريجي
359,independent component analysis,تحليل المكونات المستقلة
2506,independent set,مجموعة مستقلة
2507,independent variable,متغير مستقل
2508,indicator matrix,مصفوفة مؤشرات
2509,indicator variable,متغير المؤشر
2510,indicator vector,متجه المؤشرات
2511,induced subgraph,الرسم البياني الفرعي المستحث
2512,inducing variable,المتغيرات المستحثة
2513,induction hypothesis,فرضية الاستقراء
2514,inductive bias,التحيز الاستقرائي
2515,inductive learning,التعلم الاستقرائي
2516,inf,القيمة الدنيا
2517,inference,استدلال
2518,inference algorithm,خوارزمية الاستدلال
2519,inference machinery,آلية الاستدلال
2520,inference method,طريقة الاستدلال
2521,inference problem,مشكلة الاستدلال
2522,inference procedure,إجراء الاستدلال
2523,inference process,عملية الاستدلال
2524,inference rule,قاعدة الاستدلال
2525,inference stage,مرحلة الاستدلال
2526,inference task,مهمة الاستدلال
2527,inference time,وقت الاستدلال
2528,infinite-horizon,الأفق اللانهائي
2529,influence diagram,مخطط التأثير
2530,influence function,دالة التأثير
2531,information,معلومات
2532,information bottleneck,عنق الزجاجة المعلوماتي
2533,information content,محتوى المعلومات
2534,information gain,كسب المعلومات
362,information retrieval,استرجاع المعلومات
2535,information retrieval system,نظام استرجاع المعلومات
2536,information set,مجموعة المعلومات
2537,information theoretic,نظرية المعلومات
2538,information theoretic measure,مقياس نظري المعلومات
2539,infoset,مجموعة المعلومات
2540,inhomogeneous Poisson process,عملية بواسون غير متجانسة
2541,initial distribution,التوزيع الابتدائي
2542,initial state,الحالة الابتدائية
2543,initial state distribution,توزيع الحالة الابتدائية
2544,initialization,التهيئة
2545,injective function,دالة حقنية
2546,inlier,نقطة داخلية
2547,inner layer,الطبقة الداخلية
2548,inner loop,الحلقة الداخلية
2549,inner node,العقدة الداخلية
2550,inner product,الضرب الداخلي
2551,input,المدخلات
2552,input context,سياق الإدخال
2553,input datum,بيانات الإدخال
2554,input embedding,تمثيل الإدخال
2555,input feature,ميزة الإدخال
2556,input feature vector,متجه ميزة الإدخال
2557,input filter,فلتر الإدخال
2558,input formula,صيغة الإدخال
2559,input gate,بوابة الإدخال
2560,input graph,الرسم البياني للإدخال
2561,input image,صورة الإدخال
2562,input layer,طبقة الإدخال
2563,input length,طول الإدخال
2564,input matrix,مصفوفة الإدخال
2565,input point,نقطة الإدخال
2566,input position,موضع الإدخال
2567,input representation,تمثيل الإدخال
2568,input resolution,دقة الإدخال
2569,input sequence,تسلسل الإدخال
364,input space,فضاء المدخلات
2570,input tensor,موتر الإدخال
2571,input text,نص الإدخال
2572,input token,رمز الإدخال
2573,input vector,متجه الإدخال
2574,input-output pair,زوج إدخال-إخراج
2575,instance,مثال
2576,instance level,مستوى المثيل
2577,instance segmentation,تجزئة الكائنات
2578,instance selection,اختيار المثيل
2579,instance space,فضاء الحالات
2580,instruction tuning,ضبط التعليمات
2581,integer linear program,برنامج خطي صحيح
2582,integer program,برنامج صحيح
2583,integral image,الصورة التكاملية
2584,integral operator,مشغل تكاملي
2585,integral probability metric,مقياس الاحتمال التكاملي
2586,integrity constraint,القيود المتعلقة بالنزاهة
2587,intelligent agent,وكيل ذكي
2588,intensity function,دالة الشدة
2589,intent,نية
2590,inter-annotator agreement,اتفاق بين المراجعين
2591,interaction matrix,مصفوفة التفاعل
2592,interest point,نقطة اهتمام
2593,interior point method,طريقة النقطة الداخلية
2594,intermediate layer,طبقة وسيطة
2595,intermediate representation,التمثيل الوسيط
2596,internal edge,الحافة الداخلية
2597,internal node,العقدة الداخلية
2598,internal regret,الندم الداخلي
2599,internal representation,التمثيل الداخلي
2600,internal state,الحالة الداخلية
2601,internet,الإنترنت
2602,interpolation,الاستيفاء
2603,interpretability,قابلية التفسير
2604,interpretable,قابل للتفسير
2605,interpretation function,دالة التفسير
2606,intersection-over-union,معدل التقاطع على الاتحاد
2607,interval estimate,تقدير الفاصل الزمني
2608,intractability,الاستعصاء
2609,intrinsic,الأساسية
2610,intrinsic camera parameter,معامل الكاميرا الأساسي
2611,intrinsic dimension subspace,الفضاء الفرعي البعد الجوهري
2612,intrinsic dimensionality,الأبعاد الأساسية
2613,intrinsic evaluation,التقييم الداخلي
2614,intrinsic image,الصورة الجوهرية
2615,intrinsic parameter,البارامترات الجوهرية
2616,inverse document frequency,تردد الوثيقة العكسي
2617,inverse dynamic model,نموذج الديناميات العكسي
2618,inverse problem,المشكلة العكسية
367,inverse reinforcement learning,التعلم المعزز العكسي
2619,inverse rendering,التصيير العكسي
2620,inverse role,الدور العكسي
2621,inverse square root learning rate schedule,جدول معدل التعلم الجذر التربيعي العكسي
2622,inverse square root learning rate scheduler,مجدول معدل التعلم الجذر التربيعي العكسي
2623,inverse transform sampling,أخذ العينات باستخدام التحويل العكسي
2624,inverted index,الفهرس المقلوب
2625,inverted list,الفهرس العكسي
2626,invertible map,خريطة قابلة للعكس
2627,invertible matrix,مصفوفة قابلة للعكس
2628,iobj,المفعول به غير المباشر
2629,iso-surface extraction,استخراج الأسطح المتساوية
2630,isotropic Gaussians,غاوسيين الخواص
2631,itemset,مجموعة العناصر
2632,iterate,تكرار
2633,iterated conditional mode,الوضع الشرطي التكراري
2634,iteration,تكرار
2635,iteration complexity,تعقيد التكرار
2636,iteration counter,عداد التكرار
2637,iterative algorithm,خوارزمية تكرارية
2638,iterative deepening,التعمق التكراري
2639,iterative optimization,التحسين التكراري
2640,iterative optimization algorithm,خوارزمية التحسين التكراري
2641,iterative training algorithm,خوارزمية التدريب التكراري
2642,iteratively reweighted least square,المربعات الصغرى المعاد وزنها تكرارياً
2643,joint density,الكثافة المشتركة
2644,joint distribution,التوزيع المشترك
2645,joint embedding space,فضاء التضمين المشترك
2646,joint encoding,الترميز المشترك
2647,joint entropy,الإنتروبيا المشتركة
2648,joint inference,الاستدلال المشترك
2649,joint learning,التعلم المشترك
2650,joint learning algorithm,خوارزمية التعلم المشترك
2651,joint likelihood,الاحتمالية المشتركة
2652,joint model,النموذج المشترك
2653,joint policy,السياسة المشتركة
2654,joint probability,الاحتمال المشترك
2655,joint probability distribution,توزيع الاحتمال المشترك
2656,joint probability matrix,مصفوفة الاحتمال المشترك
2657,joint probability table,جدول الاحتمال المشترك
2658,joint semantic space,الفضاء الدلالي المشترك
2659,junction tree,شجرة التقاطع
2660,junction tree algorithm,خوارزمية شجرة التقاطع
2661,k nearest neighbor,أقرب جيران عدد k
2662,k-Center,ك-مركز
2663,k-best list,قائمة k الأفضل
2664,k-best parsing,تحليل أفضل k
2665,k-d tree,شجرة k-d
2666,k-hop neighbor,جيران k-hop
2667,k-means clustering algorithm,خوارزمية التجميع k-means
2668,k-nearest neighbor,ك-أقرب جار
2669,k-nearest neighbor classifier,مصنف الجار الأقرب k
2670,k-nearest neighbor graph,رسم بياني لأقرب جار k
2671,kernel approximation,تقريب النواة
2672,kernel bandwidth,عرض النواة
2673,kernel classifier,مصنف النواة
2674,kernel density,كثافة النواة
2675,kernel density estimate,تقدير كثافة النواة
2676,kernel density estimation,تقدير كثافة النواة
2677,kernel evaluation,تقييم النواة
2678,kernel function,دالة النواة
2679,kernel learning,تعلم النواة
2680,kernel learning problem,مشكلة تعلم النواة
2681,kernel machine,آلة النواة
2682,kernel matrix,مصفوفة النواة
2683,kernel method,طريقة النواة
2684,kernel operation,عملية النواة
2685,kernel operator,مشغل النواة
2686,kernel parameter,معامل النواة
2687,kernel regression,انحدار النواة
2688,kernel ridge regression,انحدار Ridge بالنواة
2689,kernel size,حجم النواة
2690,kernel smoothing,تنعيم النواة
2691,kernel space,فضاء النواة
2692,kernel spectrum,طيف النواة
2693,kernel support vector machine,آلة المَّتجهات الداعمة باستخدام النواة
2694,kernel trick,حيلة النواة
2695,kernel value,قيمة النواة
2696,kernel weight,وزن النواة
2697,kernel width,عرض النواة
2698,kernel-based classification,التصنيف القائم على النواة
2699,key,مفتاح
2700,keypoint,نقطة مفتاحية
2701,keypoint detection,اكتشاف النقاط الرئيسية
2702,keypoint detector,كاشف النقاط الرئيسية
2703,keypoint location,موقع النقطة الرئيسية
2704,keypoint match,مطابقة النقاط المفتاحية
2705,knapsack problem,مشكلة حقيبة الظهر
2706,knowledge,المعرفة
389,knowledge base,قاعدة المعرفة
2707,knowledge compilation,تجميع المعرفة
390,knowledge distillation,تقطير المعرفة
2708,knowledge element,عنصر المعرفة
2709,knowledge graph,شبكة معرفية
2710,knowledge graph completion,إكمال رسم المعرفة
2711,knowledge representation,تمثيل المعرفة
2712,knowledge transfer,نقل المعرفة
2713,label,تسمية
2714,label distribution,توزيع التسميات
2715,label embedding,تضمين التسمية
2716,label noise,ضوضاء التسميات
2717,label sequence,تسلسل التسميات
2718,label smoothing,تنعيم التسمية
2719,label space,فضاء التسميات
2720,label token,رمز التسمية
2721,label vector,متجه التسمية
2722,labeled,مُعَلَّم
2723,labeled datum,بيانات موسومة
2724,labeled example,مثال موسوم
2725,labeled graph,رسم بياني مُعَلَّم
2726,labeled training datum,بيانات تدريب مُعلمة
2727,lambda calculus,حساب لامدا
2728,landmark,معلم
2729,landmark point,نقطة معلم
2730,language,لغة
2731,language drift,انحراف اللغة
2732,language encoder,مشفر اللغة
2733,language generation,توليد اللغة
2734,language generation model,نموذج توليد اللغة
2735,language identification,تحديد اللغة
422,language model,نموذج اللغة
2736,language model pre-training,التدريب المسبق لنموذج اللغة
2737,language pair,زوج لغوي
2738,language representation,تمثيل اللغة
2739,language transfer,نقل اللغة
2740,language understanding,فهم اللغة
2741,languages,اللغات
2742,large,كبير
2743,large language model,نموذج لغوي كبير
2744,large-margin learning,التعلم ذو الهامش الكبير
434,latent Dirichlet allocation,تخصيص ديريشليه الكامن
2745,latent code,الرمز الكامن
2746,latent dimension,البعد الكامن
2747,latent distribution,التوزيع الكامن
2748,latent dynamic model,نموذج الديناميات الكامنة
2749,latent embedding,التضمين الكامن
2750,latent factor,العامل الكامن
2751,latent feature,السمة الكامنة
2752,latent function,الدالة الكامنة
2753,latent group,المجموعة الكامنة
2754,latent parameter,معلمة كامنة
2755,latent representation,التمثيل الكامن
2756,latent reward function,دالة المكافأة الكامنة
2757,latent semantic,الدلالية الكامنة
435,latent semantic analysis,التحليل الدلالي الكامن
2758,latent space,الفضاء الكامن
2759,latent state,الحالة الكامنة
2760,latent topic,الموضوع الكامن
2761,latent variable,المتغير الكامن
2762,latent variable model,نموذج المتغيرات الخفية
2763,latent vector,المتجه الكامن
2764,layer,طبقة
2765,layer activation,تفعيل الطبقة
436,layer normalization,تطبيع الطبقة
2766,layer-wise learning rate decay,تناقص معدل التعلم حسب الطبقة
2767,lazy grounding,التأسيس الكسول
2768,leaf node,عقدة ورقية
2769,leaky ReLU,دالة ريلو المتسربة
2770,learnability,قابلية التعلم
2771,learnable parameter,معامل قابل للتعلم
2772,learnable vector,متجه قابل للتعلم
2773,learned model,النموذج المتعلم
2774,learned representation,التمثيل المتعلم
2775,learner,المتعلم
2776,learning,التعلم
2777,learning agent,وكيل التعلم
2778,learning algorithm,خوارزمية التعلم
2779,learning method,طريقة التعلم
2780,learning paradigm,نموذج التعلم
2781,learning problem,مشكلة التعلم
2782,learning rate,معدل التعلم
2783,learning rate decay,اضمحلال معدل التعلم
2784,learning rate decay schedule,جدول اضمحلال معدل التعلم
2785,learning rate schedule,جدول معدل التعلم
2786,learning rate scheduler,منظم معدل التعلم
2787,learning rate warmup,تسخين معدل التعلم
2788,learning-to-rank algorithm,خوارزمية التعلم للترتيب
2789,least square,المربعات الصغرى
2790,least square criterion,معيار المربعات الصغرى
2791,least square minimization,تقليل المربعات الصغرى
2792,least square problem,مشكلة المربعات الصغرى
2793,least square regression,انحدار المربعات الصغرى
2794,least square solution,حل المربعات الصغرى
2795,leave-one-out,ترك واحد خارج
2796,left-to-right model,نموذج من اليسار إلى اليمين
2797,lemmatization,استخراج الجذور
2798,length normalization,تطبيع الطول
2799,length penalty,عقوبة الطول
2800,lexeme,الوحدة المعجمية
2801,lexical,معجمي
2802,lexical acquisition,الاكتساب المعجمي
2803,lexical acquisition algorithm,خوارزمية اكتساب المفردات
2804,lexical ambiguity,الغموض المعجمي
2805,lexical entry,مدخل معجمي
2806,lexical exposure,التعرض المعجمي
2807,lexical feature,السمة المعجمية
2808,lexical head,الرأس المعجمي
2809,lexical item,عنصر معجمي
2810,lexical knowledge,المعرفة المعجمية
2811,lexical model,النموذج المعجمي
2812,lexical overlap,التداخل المعجمي
2813,lexicalization,التضمين المعجمي
2814,lexicalized grammar,نحو معجمي
2815,lexicalized parsing model,نموذج التحليل المعجمي
2816,lexicon,معجم
2817,lexicon induction,تحريض المعجم
444,lifelong learning,التعلم مدى الحياة
2818,light field,الحقل الضوئي
2819,light field interpolation,استيفاء حقل الضوء
2820,likelihood function,دالة الأرجحية
2821,likelihood ratio test,اختبار نسبة الاحتمال
2822,likelihood score,درجة الاحتمالية
2823,line search,البحث الخطي
2824,linear,خطي
2825,linear activation function,دالة التفعيل الخطية
2826,linear algebra,الجبر الخطي
2827,linear classification,التصنيف الخطي
2828,linear classification layer,طبقة التصنيف الخطية
2829,linear classifier,مصنف خطي
2830,linear combination,تركيبة خطية
2831,linear complexity,تعقيد خطي
2832,linear constraint,قيد خطي
2833,linear decay,اضمحلال خطي
2834,linear decoder,الديكودر الخطي
2835,linear discriminant analysis,تحليل التمييز الخطي
2836,linear equation,معادلة خطية
2837,linear evaluation,التقييم الخطي
2838,linear function,دالة خطية
2839,linear function approximation,تقريب دالة خطية
2840,linear inequality,متباينة خطية
2841,linear interpolation,استيفاء خطي
2842,linear kernel,نواة خطية
2843,linear layer,الطبقة الخطية
2844,linear learning rate decay,اضمحلال خطي لمعدل التعلم
2845,linear learning rate schedule,جدول معدل التعلم الخطي
2846,linear map,تحويل خطي
2847,linear model,نموذج خطي
2848,linear predictor,المتنبئ الخطي
2849,linear probe,المسبار الخطي
2850,linear program,البرنامج الخطي
2851,linear programming relaxation,استرخاء البرمجة الخطية
2852,linear projection,الإسقاط الخطي
2853,linear regression,الانحدار الخطي
2854,linear regression model,نموذج الانحدار الخطي
2855,linear regressor,المنحدر الخطي
2856,linear scaling,التحجيم الخطي
2857,linear scheduler,جدول زمني خطي
2858,linear separability,قابلية الفصل الخطي
2859,linear system,نظام خطي
2860,linear transform,تحويل خطي
2861,linear transformation,تحويل خطي
2862,linear transformation matrix,مصفوفة التحويل الخطي
2863,linear warm-up,الإحماء الخطي
2864,linear-chain,سلسلة خطية
2865,linear-quadratic regulator,منظم خطي-تربيعي
2866,linearization,خطية
2867,linguistic,لغوي
2868,linguistics,اللغويات
2869,link function,دالة الربط
2870,link prediction,تنبؤ الروابط
2871,linked,مرتبط
2872,local basis function,دالة الأساس المحلية
2873,local coherence,التماسك المحلي
2874,local context,السياق المحلي
2875,local coordinate frame,إطار الإحداثيات المحلي
2876,local feature,الميزة المحلية
2877,local geometry,الهندسة المحلية
2878,local image feature,ميزة الصورة المحلية
2879,local maxima,الحد الأقصى المحلي
2880,local maximum,الحد الأقصى المحلي
2881,local minima,الحد الأدنى المحلي
2882,local minimizer,المُصغِّر المحلي
2883,local minimum,الحد الأدنى المحلي
2884,local model,النموذج المحلي
2885,local optima,الحلول المثلى المحلية
2886,local optimum,الأمثل المحلي
2887,local parameter,المعامل المحلي
2888,local search,البحث المحلي
2889,local search method,طريقة البحث المحلي
2890,local variable,متغير محلي
2891,local window,نافذة محلية
2892,locality-sensitive hashing,التجزئة الحساسة للمحلية
2893,localization,تحديد الموقع
2894,location parameter,معامل الموقع
2895,log,لوغاريتم
2896,log likelihood,الاحتمالية اللوغاريتمية
2897,log loss,الخسارة اللوغاريتمية
2898,log marginal likelihood,الاحتمالية الهامشية اللوغاريتمية
2899,log p,لوغاريتم الاحتمال
2900,log partition function,دالة التقسيم اللوغاريتمية
2901,log perplexity,التعقيد اللوغاريتمي
2902,log probability,احتمال اللوغاريتم
2903,log-likelihood function,دالة الاحتمالية اللوغاريتمية
2904,log-likelihood loss,خسارة الاحتمال اللوغاريتمي
2905,log-likelihood ratio,نسبة الاحتمال اللوغاريتمي
2906,log-linear model,نموذج لوج-خطي
2907,log-linear translation model,نموذج الترجمة اللوغاريتمي الخطي
2908,log-log plot,رسم بياني لوج-لوج
2909,log-normal distribution,التوزيع اللوغاريتمي الطبيعي
2910,log-odd score,درجة الأرجحية اللوغاريتمية
2911,log-prob,الاحتمال اللوغاريتمي
2912,log-sum-exp,لوغاريتم مجموع القيم الأسية
2913,logical connective,الرابط المنطقي
2914,logical form,الشكل المنطقي
2915,logistic function,الدالة اللوجستية
2916,logistic loss,خسارة لوجستية
2917,logistic regression,انحدار لوجستي
2918,logistic regression classifier,مصنف الانحدار اللوجستي
2919,logistic regression model,نموذج الانحدار اللوجستي
2920,logit,اللوغيت
2921,logit model,نموذج اللوغيت
2922,long short-term memory,الذاكرة القصيرة المدى المطولة
2923,long-range dependency,التبعية طويلة المدى
2924,lookup table,جدول البحث
2925,loop closure,إغلاق الحلقة
2926,loopy belief propagation,الانتشار الاعتقادي الحلقي
2927,loss,الخسارة
2928,loss distribution,توزيع الخسارة
2929,loss function,دالة الخسارة
2930,loss landscape,مشهد الخسارة
2931,loss minimization,تقليل الخسارة
2932,loss term,عنصر الخسارة
2933,lossy compression,ضغط مع فقدان البيانات
2934,lottery ticket hypothesis,فرضية التذكرة الرابحة
2935,low rank,رتبة منخفضة
2936,low rank approximation,تقريب منخفض الرتبة
2937,low-data regime,نظام البيانات المنخفضة
2938,low-dimensional embedding,التضمين منخفض الأبعاد
2939,low-dimensional representation,تمثيل منخفض الأبعاد
2940,low-pass filter,مرشح التمرير المنخفض
2941,low-rank factorization,تحليل منخفض الرتبة
2942,low-rank matrix approximation,تقريب المصفوفة منخفضة الرتبة
2943,lower bound,الحد الأدنى
2944,mIoU,متوسط تقاطع الاتحاد
2945,mT5,mT5
2946,machine learning,تعُّلم الآلة
2947,machine learning algorithm,خوارزمية تعلم الآلة
2948,machine learning classifier,مصنف التعلم الآلي
2949,machine learning model,نموذج تعلم الآلة
2950,machine learning system,نظام تعلم الآلة
2951,machine reading,القراءة الآلية
469,machine translation,الترجمة الآلية
2952,machine translation model,نموذج الترجمة الآلية
2953,machine translation system,نظام الترجمة الآلية
2954,machine vision,الرؤية الآلية
2955,machine-generated text,النص المُولَّد آليًا
2956,machine-in-the-loop,آلة في الحلقة
2957,macro-F1,ماكرو-F1
2958,macro-action,إجراء ماكرو
2959,macro-average,المتوسط الكلي
2960,majority voting,التصويت بالأغلبية
2961,manifold,مشعب
2962,manifold hypothesis,فرضية المانيفولد
2963,manifold learning,تعلم المتشعبات
2964,manifold projection,إسقاط المانيفولد
2965,manifold structure,بنية المانيفولد
2966,manifold-valued datum,بيانات ذات قيم مانيفولدية
2967,manually,يدويًا
2968,margin parameter,معامل الهامش
2969,marginal density,كثافة الهامش
2970,marginal distribution,توزيع الهامش
2971,marginal inference,الاستدلال الهامشي
2972,marginal likelihood,الاحتمال الهامشي
2973,marginal log-likelihood,اللوغاريتم الاحتمالي الهامشي
2974,marginal polytope,بوليتوب هامشي
2975,marginal probability,الاحتمال الهامشي
2976,marginalization,التهميش
2977,mask,قناع
2978,mask token,رمز القناع
2979,mask vector,متجه القناع
2980,masked input,الإدخال المقنع
2981,masked language model,نموذج اللغة المقنع
2982,masked token,الرمز المقنّع
2983,masking function,دالة التقنيع
2984,matching algorithm,خوارزمية المطابقة
2985,matching loss,خسارة المطابقة
2986,matrix,مصفوفة
2987,matrix approximation,تقريب المصفوفات
500,matrix completion,إكمال المصفوفة
2988,matrix decomposition,تحلل المصفوفة
2989,matrix form,شكل مصفوفي
2990,matrix inversion,عكس المصفوفة
2991,matrix multiplication,ضرب المصفوفات
2992,matrix norm,مقياس المصفوفة
2993,matrix sketching,تخطيط المصفوفة
2994,matrix vector product,حاصل ضرب المصفوفة والمتجه
2995,matrix-vector multiplication,ضرب المصفوفة بالمتجه
2996,matroid,ماترويد
2997,matroid constraint,قيد الماترويد
2998,max norm,معيار الحد الأقصى
2999,max pooling,التجميع الأقصى
3000,max-margin,أقصى هامش
3001,max-margin learning,التعلم بالهامش الأقصى
3002,max-pool,التجميع الأقصى
3003,max-pooling layer,طبقة التجميع الأقصى
3004,max-product semiring,حلقة الضرب الأقصى
3005,maximal clique,الزمرة القصوى
3006,maximal frequent itemset,مجموعة العناصر المتكررة القصوى
3007,maximal frequent pattern,النمط المتكرر الأقصى
3008,maximization problem,مشكلة التعظيم
3009,maximum a posteriori,الأرجحية البعدية القصوى
3010,maximum a posteriori estimation,التقدير الأقصى للاحتمال البعدي
3011,maximum clique,الزمرة القصوى
3012,maximum entropy,الانتروبيا القصوى
3013,maximum entropy model,نموذج الإنتروبيا القصوى
3014,maximum entropy principle,مبدأ الإنتروبيا القصوى
3015,maximum flow,أقصى تدفق
503,maximum likelihood,الاحتمالية القصوى
3016,maximum likelihood estimate,تقدير الاحتمالية القصوى
3017,maximum likelihood estimation,تقدير الاحتمالية القصوى
3018,maximum likelihood estimator,مقدر الأرجحية القصوى
3019,maximum likelihood learning,التعلم بالأرجحية القصوى
3020,maximum mean discrepancy,الاختلاف الأقصى في المتوسط
3021,mean average precision,متوسط الدقة العامة
3022,mean field,المجال المتوسط
3023,mean function,دالة المتوسط
3024,mean pooling,تجميع المتوسط
3025,mean reciprocal rank,متوسط الرتبة العكسية
3026,mean shape,الشكل المتوسط
3027,mean square error,الخطأ المربعي المتوسط
3028,mean vector,المتجه المتوسط
3029,mean-field approximation,تقريب المجال المتوسط
3030,meaning,المعنى
3031,measurable space,الفضاء القابل للقياس
3032,measurement matrix,مصفوفة القياس
3033,measurement noise,ضجيج القياس
3034,medical imaging,التصوير الطبي
3035,medoid,الميدويد
3036,membership inference attack,هجوم استنتاج العضوية
3037,membership query,استعلام العضوية
3038,memory bank,بنك الذاكرة
3039,memory capacity,سعة الذاكرة
3040,memory cell,خلية الذاكرة
3041,memory complexity,تعقيد الذاكرة
3042,mention detection,كشف الإشارات
3043,meronymy,علاقة الجزء بالكل
3044,message passing,تمرير الرسائل
3045,message passing algorithm,خوارزمية تمرير الرسائل
3046,meta,الميتا
3047,meta-algorithm,ميتا-خوارزمية
3048,meta-classifier,الـمِتَا-مُصنِّف
3049,meta-dataset,مجموعة بيانات ميتا
3050,meta-evaluation,التقييم التلوي
3051,meta-learn,ميتا-تعلم
3052,meta-learner,المتعلم الفوقي
506,meta-learning,التعلم الفوقي
3053,meta-loss,الخسارة الفوقية
3054,meta-parameter,معلمة فوقية
3055,meta-testing,الاختبار الفوقي
3056,meta-training,التدريب الفوقي
3057,metadata,بيانات وصفية
3058,metalearning,تعلم عملية التعلم
3059,method,طريقة
3060,methods,طرق
3061,metric learning,التعلم المتري
3062,metric learning algorithm,خوارزمية التعلم المترية
3063,metric score,درجة المقياس
3064,metric space,فضاء المقياس
3065,metrics,المقاييس
3066,micro-average,المتوسط الدقيق
3067,microarray datum,بيانات المصفوفة الدقيقة
3068,mini-batch,الدفعة المصغرة
3069,mini-batch size,حجم الدفعة المصغرة
3070,mini-batch training,التدريب بالدفعات المصغرة
3071,minima,النقاط الدنيا
3072,minimax,مينيماكس
3073,minimax game,لعبة مينيماكس
3074,minimax optimization problem,مشكلة تحسين مينيماكس
3075,minimax problem,مشكلة مينيماكس
3076,minimization problem,مشكلة التقليل
3077,minimizer,المُقلِّل
3078,minimum baye risk decoding,فك التشفير بخطر بايز الأدنى
3079,minimum cut,القطع الأدنى
3080,minimum description length,الحد الأدنى لطول الوصف
3081,minimum support,الدعم الأدنى
3082,mirror descent,الانحدار المرآتي
3083,misclassification error,خطأ التصنيف
3084,misclassification loss,خسارة التصنيف الخاطئ
3085,misinformation detection,كشف المعلومات المضللة
3086,mixed integer programming,البرمجة الصحيحة المختلطة
3087,mixed precision,الدقة المختلطة
3088,mixed precision training,التدريب بالدقة المختلطة
3089,mixed strategy,استراتيجية مختلطة
3090,mixed-integer program,برنامج مختلط الأعداد الصحيحة
3091,mixing matrix,مصفوفة الخلط
3092,mixing time,زمن الخلط
3093,mixing weight,أوزان المزج
3094,mixture component,مكون المزيج
3095,mixture distribution,توزيع المزيج
3096,mixture model,نموذج المزيج
3097,mixture of Gaussians,مزيج من التوزيعات الغاوسية
3098,mixture weight,وزن المزيج
3099,mocap,التقاط الحركة
3100,modalities,الأنماط
3101,modality,نمط
3102,mode,نمط
3103,mode collapse,انهيار النمط
515,model,نموذج
3105,model M,النموذج M
3106,model accuracy,دقة النموذج
3107,model architecture,بنية النموذج
3108,model averaging,متوسط النماذج
3109,model bias,تحيز النموذج
3110,model capacity,سعة النموذج
3111,model card,بطاقة النموذج
3112,model checking,التحقق من النموذج
3113,model class,فئة النموذج
3114,model comparison,مقارنة النماذج
3115,model complexity,تعقيد النموذج
3116,model compression,ضغط النموذج
3117,model convergence,تقارب النموذج
3118,model development,تطوير النموذج
3119,model distillation,تقطير النموذج
3120,model distribution,توزيع النموذج
3121,model estimation,تقدير النموذج
3122,model evaluation,تقييم النموذج
3123,model family,عائلة النماذج
3124,model fine-tuning,الضبط الدقيق للنموذج
3125,model generalization,تعميم النموذج
3126,model hyperparameter,المعلمات الفائقة للنموذج
3127,model inference,استدلال النموذج
3128,model initialization,تهيئة النموذج
3129,model interpretability,قابلية تفسير النموذج
3130,model interpretation,تفسير النموذج
3131,model layer,طبقة النموذج
3132,model output,مخرجات النموذج
3133,model parallelism,توازي النماذج
3134,model parameter,معلمة النموذج
3135,model performance,أداء النموذج
3136,model precision,دقة النموذج
3137,model prediction,تنبؤ النموذج
3138,model predictive control,التحكم التنبؤي بالنموذج
3139,model representation,تمثيل النموذج
3140,model robustness,متانة النموذج
3141,model score,درجة النموذج
3142,model selection,اختيار النموذج
3143,model size,حجم النموذج
3144,model specification,تحديد النموذج
3145,model structure,هيكل النموذج
3146,model training,تدريب النموذج
3147,model update,تحديث النموذج
3148,model variant,نوع النموذج
3149,model weight,وزن النموذج
3150,model's parameter,معلمات النموذج
3151,model-based approach,النهج القائم على النموذج
3152,model-based reinforcement learning,التعلم المعزز القائم على النموذج
3153,model-free approach,نهج خالٍ من النموذج
3154,models,نماذج
3155,modular,قابل للتجزئة
3156,modular architecture,العمارة المعيارية
3157,module,وحدة
3158,moment matching,مطابقة العزوم
3159,momentum,الزخم
3160,momentum coefficient,معامل الزخم
3161,momentum encoder,مشفر الزخم
3162,momentum term,مصطلح الزخم
3163,monocular,أحادي العين
3164,monocular reconstruction,إعادة بناء أحادية العين
3165,monolingual,أحادي اللغة
3166,monolingual baseline,خط الأساس الأحادي اللغة
3167,monolingual corpora,مجموعات بيانات أحادية اللغة
3168,monolingual corpus,مجموعة أحادية اللغة
3169,monolingual dataset,مجموعة بيانات أحادية اللغة
3170,monolingual datum,بيانات أحادية اللغة
3171,monolingual embedding,تضمين أحادي اللغة
