Index,English,French
3065,greedy strategy,stratégie gloutonne
3066,grid cell,cellule de grille
3067,grid computing,informatique en grille
3068,grid search,recherche en grille
3069,grid-based method,méthode basée sur les grilles
3070,grid-world,monde en grille
3071,ground atom,atome moulu
3072,ground set,ensemble de base
3073,ground truth,réalité de terrain
3074,ground truth label,étiquette de vérité de terrain
3075,ground-truth box,boîte de vérité de terrain
3076,grounded language learning,apprentissage de langage ancré
3077,grounded supervision,supervision ancrée
3078,group method of data handling,méthode de traitement de données par groupe
3079,group normalization,normalisation de groupe
3080,group sparsity,parcimonie de groupe
3081,growing self-organizing map,carte auto adaptative croissante
3082,guardrails,guarde fous
3083,hackathon,hakathon
3084,half-normal distribution,distribution semi-normale
3085,half-space,demi-espace
3086,halting problem,problème de l'arrêt
3087,hand pose estimation,estimation de la pose de la main
3088,handwriting recognition,reconnaissance de l'écriture manuscrite
3089,hard attention,attention dure
3090,hash,hachage
3091,hash function,algorithme de hachage
3092,hash table,table de hachage
3093,hashing algorithm,algorithme de hachage
3094,hate speech classifier,classificateur de discours de haine
3095,hate speech detection,détection de discours de haine
3096,head entity,entité principale
3097,head word,mot tête
3098,heap structure,structure de tas
3099,heatmap,carte thermique
3100,held-out data,données de validation
3101,heteroscedasticity,hétéroscédasticité
3102,heuristic algorithm,algorithme heuristique
3103,heuristic function,fonction heuristique
3104,heuristic knowledge,connaissance heuristique
3105,heuristic method,méthode heuristique
3106,heuristic programming,programmation heuristique
3107,heuristic search,recherche dirigée
3108,heuristic search algorithm,algorithme de recherche heuristique
3109,heuristic value,valeur heuristique
3110,hidden Markov model,modèle de Markov caché
3111,hidden dimension,dimension cachée
3112,hidden dimension size,taille de la dimension cachée
3113,hidden dimensionality,dimensionalité cachée
3114,hidden embedding,embedding caché
3115,hidden feature,caractéristique cachée
3116,hidden layer,couche cachée
3117,hidden representation,représentation cachée
3118,hidden size,taille cachée
3119,hidden state,état caché
3120,hidden state dimension,dimension de l'état caché
3121,hidden state representation,représentation de l'état caché
3122,hidden state vector,vecteur d'état caché
3123,hidden unit,unité cachée
3124,hidden variable,variable cachée
3125,hierarchical agglomerative clustering,clustering agglomératif hiérarchique
3126,hierarchical clustering,algorithme hiérarchique
3127,hierarchical data,données hiérarchiques
3128,hierarchical data model,modèle de données hiérarchique
3129,hierarchical data visualization,visualisation de données hiérarchiques
3130,hierarchical decoder,décodeur hiérarchique
3131,hierarchical feature,caractéristique hiérarchique
3132,hierarchical inference,inférence hiérarchique
3133,hierarchical method,méthode hiérarchique
3134,hierarchical model,modèle hiérarchique
3135,hierarchical planning,planification hiérarchique
3136,hierarchical reinforcement learning,apprentissage par renforcement hiérarchique
3137,hierarchical representation,représentation hiérarchique
3138,hierarchical structure,structure hiérarchique
3139,hierarchical topic model,modèle de sujet hiérarchique
3140,hierarchy,hiérarchie
3141,high-dimensional data,données hautement dimensionnelles
3142,high-dimensional datum,donnée de haute dimension
3143,high-dimensional space,espace de haute dimension
3144,high-dimensional statistics,statistiques en grande dimension
3145,high-dimensionality,haute dimensionnalité
3146,higher-order feature,caractéristique d'ordre supérieur
3147,higher-order model,modèle d'ordre supérieur
3148,hill climbing,escalade
3149,hill climbing algorithm,algorithme d'escalade
3150,hill-climbing,approche de montée de colline
3151,hill-climbing method,méthode en escalade
3152,hinge loss,marge maximale
3153,hinge loss function,fonction de perte hinge
3154,histogram of oriented gradient,histogramme des gradients orientés
3155,holdout data,données exclues
3156,holdout sample,échantillon test
3157,homogeneous coordinate,coordonnées homogènes
3158,homographie,homographie
3159,homography matrix,matrice d'homographie
3160,homomorphism,homomorphisme
3161,homoscedasticity,homoscédasticité
3162,horizontal federated learning,apprentissage fédéré horizontal
3163,human annotation,annotation humaine
3164,human pose,pose humaine
3165,human pose estimation,estimation de la pose humaine
3166,human-computer communication,communication homme-machine
3167,human-computer interaction,communication personne-machine
3168,human-in-the-loop,avec intervention humaine
3169,human-machine dialogue,dialogue personne-machine
3170,human-machine interaction,interaction homme-machine
3171,human-robot interaction,communication personne-robot
3172,hybrid model,modèle hybride
3173,hyper-graph,hypergraphe
3174,hyper-heuristic,hyper-heuristique
3175,hyper-parameter tuning,réglage des hyperparamètres
3176,hyperautomation,hyperautomatisation
3177,hyperbolic space,espace hyperbolique
3178,hypercube,hypercube
3179,hyperdimensional computing,calcul hyperdimensionnel
3180,hyperedge,hyperarête
3181,hypermedia,hypermédia
3182,hypernym,hyperonyme
3183,hypernymy,hyperonymie
3184,hyperparameter,hyperparametre
3185,hyperparameter optimization,optimisation d'hyperparamètre
3186,hyperparameter selection,sélection des hyperparamètres
3187,hyperparameter setting,Réglage des hyperparamètres
3188,hyperparameter space,espace des hyperparamètres
3189,hyperparameters optimization,optimisation des hyperparamètres
3190,hyperplane,hyperplan
3191,hyperprior,hyperprior
3192,hyperpriors,hyperprior
3193,hyperscale data center,centre de données à très grande échelle
3194,hypersphere,hypersphère
3195,hyponym,hyponyme
3196,hyponymy,hyponymie
3197,hypothesis class,classe d'hypothèses
3198,hypothesis language,langage d'hypothèses
3199,hypothesis set,ensemble d'hypothèses
3200,hypothesis space,espace d'hypothèses
3201,hypothesis test,test d'hypothèse
3202,hypothesis testing,test d'hypothèses
3203,i.i.d,i.i.d.
3204,i.i.d. sample,échantillon iid
3205,iDistance,iDistance
3206,idempotent,idempotent
3207,identifiability,identifiability
3208,identifier,identificateur
3209,identity function,fonction identité
3210,identity mapping,mappage d'identité
3211,identity matrix,matrice identité
3212,identity transformation,transformation d'identité
3213,if-removed method,procédure si-retirée
3214,ill-conditioned,mal conditionné
3215,ill-conditioned matrix,matrice mal conditionnée
3216,image analysis,analyse d'image
3217,image annotation,annotation automatique d'images
3218,image captioning,génération de légendes d'images
3219,image classification,tri des images
3220,image compression,compression d'image
3221,image denoising,débruitage d'image
3222,image diffusion model,modèle de diffusion d'image
3223,image embedding,intégration d'image
3224,image encoder,encodeur d'image
3225,image feature,caractéristique d'image
3226,image generation,génération d'image
3227,image inpainting,inpainting d'image
3228,image joint embedding predictive architecture,architecture prédictive à plongements joints pour les images
3229,image patch,patch d'image
3230,image plane,plan d'image
3231,image processing,traitement d'image
3232,image pyramid,pyramide d'images
3233,image recognition,reconnaissance d'images
3234,image representation,représentation d'image
3235,image restoration,restauration d'image
3236,image segmentation,segmentation d'image
3237,image super-resolution,super-résolution d'image
3238,image synthesis,synthèse d'image
3239,image translation,traduction d'image
3240,image-based rendering,rendu basé sur l'image
3241,image-text pre-training,pré-entraînement image-texte
3242,image-to-image translation,traduction d'image à image
3243,imbalanced classification,classification déséquilibrée
3244,imbalanced data,données déséquilibrées
3245,imbalanced dataset,ensemble de données déséquilibré
3246,imitation learning,Apprentissage par imitation
3247,immediate consequence operator,opérateur de conséquence immédiate
3248,immersive virtual reality,réalité virtuelle immersive
3249,imperfect information,information imparfaite
3250,impersonation,masquerade
3251,implicit confirmation,confirmation implicite
3252,implicit differentiation,différentiation implicite
3253,implicit function,fonction implicite
3254,implicit representation,représentation implicite
3255,implicit surface,surface implicite
3256,importance sampling,échantillonnage préférentiel
3257,importance sampling estimator,estimateur d'échantillonnage par importance
3258,importance weight,poids d'importance
3259,in-context demonstration,démonstration en contexte
3260,in-context example,exemple en contexte
3261,in-context learner,apprenant en contexte
3262,in-degree distribution,distribution des degrés entrants
3263,in-distribution,dans la distribution
3264,in-domain,dans le domaine
3265,in-domain text,texte dans le domaine
3266,in-memory computation,analyse en mémoire
3267,in-memory computing,calcul en mémoire
3268,in-memory data grid,grille de données en mémoire
3269,in-memory database,base de données en mémoire
3270,in-neighbor,voisins entrants
3271,in-order traversal,parcours en ordre
3272,inception module,architecture inception
3273,inception score,score d'inception
3274,incremental learning,apprentissage incrémental
3275,incremental learning algorithm,algorithme d'apprentissage incrémental
3276,incremental parsing,analyse incrémentale
3277,independent and identically distributed sample,échantillon indépendant et identiquement distribué
3278,independent component analysis,analyse en composantes indépendantes
3279,independent set,ensemble indépendant
3280,independent subspace analysis,analyse en sous-espaces indépendants
3281,independent variable,variable indépendante
3282,independently and identically distributed,variables indépendantes et identiquement distribuées
3283,index,index
3284,indicator matrix,matrice indicatrice
3285,indicator random variable,variable indicatrice aléatoire
3286,indicator variable,variable indicatrice
3287,indicator vector,vecteur indicateur
3288,individual conditional expectation - ICE,attente conditionnelle individuelle
3289,induced subgraph,sous-graphe induit
3290,inducing variable,variable d'induction
3291,induction hypothesis,hypothèse d'induction
3292,inductive bias,parti pris inductif
3293,inductive inference,inférence inductive
3294,inductive learning,apprentissage inductif
3295,inductive logic programming,programmation logique inductive
3296,inductive reasoning,raisonnement inductif
3297,inf,inf
3298,inference,inférence
3299,inference algorithm,algorithme d'inférence
3300,inference engine,moteur d'inférences
3301,inference machinery,mécanisme d'inférence
3302,inference method,méthode d'inférence
3303,inference problem,problème d'inférence
3304,inference procedure,procédure d'inférence
3305,inference process,processus d'inférence
3306,inference rule,règle d'inférence
3307,inference stage,étape d'inférence
3308,inference task,tâche d'inférence
3309,inference time,temps d'inférence
3310,inference-time intervention,intervention en temps d'inférence
3311,infinite-horizon,horizon infini
3312,influence diagram,diagramme d'influence
3313,influence function,fonction d'influence
3314,influence matrix,matrice d'influence
3315,information bottleneck,goulot d'étranglement de l'information
3316,information bottleneck method,méthode du goulot d'étranglement de l'information
3317,information content,contenu informationnel
3318,information gain,gain d'information
3319,information processing,traitement de l'information
3320,information retrieval,Recherche d'Information
3321,information retrieval system,système de récupération d'information
3322,information set,ensemble d'information
3323,information systems security,sécurité des systèmes d'information
3324,information theoretic,théorique de l'information
3325,information theoretic measure,mesure théorique de l'information
3326,informativeness,valeur informationelle
3327,infoset,infoset
3328,inheritance,héritage
3329,inhomogeneous Poisson process,processus de Poisson inhomogène
3330,initial distribution,distribution initiale
3331,initial state,état initial
3332,initial state distribution,distribution de l'état initial
3333,initialization,initialisation
3334,injective function,fonction injective
3335,inlier,inlier
3336,inner layer,couche interne
3337,inner loop,boucle interne
3338,inner node,nœud interne
3339,inner product,produit intérieur
3340,input context,contexte d'entrée
3341,input datum,donnée d'entrée
3342,input embedding,embedding d'entrée
3343,input feature,caractéristique d'entrée
3344,input feature vector,vecteur de caractéristiques d'entrée
3345,input filter,filtre d'entrée
3346,input formula,formule d'entrée
3347,input function,fonction d'entrée
3348,input gate,porte d'entrée
3349,input graph,graphe d'entrée
3350,input image,image d'entrée
3351,input layer,couche d'entrée
3352,input length,longueur d'entrée
3353,input matrix,matrice d'entrée
3354,input point,point d'entrée
3355,input position,position d'entrée
3356,input representation,représentation d'entrée
3357,input resolution,résolution d'entrée
3358,input sequence,séquence d'entrée
3359,input space,espace d'entrée
3360,input tensor,tenseur d'entrée
3361,input text,texte d'entrée
3362,input token,jeton d'entrée
3363,input vector,vecteur d'entrée
3364,input-output pair,paire entrée-sortie
3365,instance,Cas
3366,instance level,niveau d'instance
3367,instance segmentation,segmentation d'instance
3368,instance selection,sélection d'instance
3369,instance space,espace d'instances
3370,instance-based learning,apprentissage par mémorisation
3371,instantiate,instancier
3372,instruction tuning,réglage par instruction
3373,integer linear program,programme linéaire entier
3374,integer program,programme entier
3375,integral image,image intégrale
3376,integral operator,opérateur intégral
3377,integral probability metric,métrique de probabilité intégrale
3378,integrated data processing,traitement intégré de données
3379,integrated information processing,traitement intégré de l'information
3380,integrity constraint,contrainte d'intégrité
3381,intelligence amplification,amplification de l'intelligence
3382,intelligent agent,agent intelligent
3383,intelligent control,contrôle intelligent
3384,intelligent help system,système d'aide intelligent
3385,intelligent machine,machine intelligente
3386,intelligent personal assistant,assistant logiciel intelligent
3387,intelligent sensor,capteur intelligent
3388,intelligent system,système intelligent
3389,intelligent tutoring system,système d'enseignement intelligemment assisté par ordinateur
3390,intelligent user interface,interface intelligente
3391,intelligent virtual assistant,assistant intelligent
3392,intensity function,fonction d'intensité
3393,intent,intention
3394,intentionality,intentionnalité
3395,inter-annotator agreement,accord inter-annotateurs
3396,inter-rater agreement,accord inter-annotateurs
3397,interaction matrix,matrice d'interaction
3398,interactive voice response,réponse vocale dialoguée
3399,interest point,point d'intérêt
3400,interior point method,méthode des points intérieurs
3401,intermediate layer,couche intermédiaire
3402,intermediate representation,représentation intermédiaire
3403,internal edge,arête interne
3404,internal node,nœud interne
3405,internal regret,regret interne
3406,internal representation,représentation interne
3407,internal state,état interne
3408,internet of behaviors,internet des comportements
3409,internet of things,internet des objets
3410,interpolation,interpolation
3411,interpretability,interprétabilité
3412,interpretable artificial intelligence,intelligence artificielle interprétable
3413,interpretation,interprétation
3414,interpretation function,fonction d'interprétation
3415,interquartile range,écart interquartile
3416,intersection-over-union,intersection sur union
3417,interval estimate,estimation par intervalle
3418,interworking,interfonctionnement
3419,intractability,intractabilité
3420,intrinsic,intrinsèque
3421,intrinsic camera parameter,paramètre intrinsèque de la caméra
3422,intrinsic dimension subspace,sous-espace de dimension intrinsèque
3423,intrinsic dimensionality,dimensionnalité intrinsèque
3424,intrinsic evaluation,évaluation intrinsèque
3425,intrinsic image,image intrinsèque
3426,intrinsic motivation,motivation intrinsèque
3427,intrinsic parameter,paramètre intrinsèque
3428,invariance principle,principe d'invariance
3429,inverse distance weighting,pondération inverse à la distance
3430,inverse document frequency,fréquence inverse des documents
3431,inverse dynamic model,modèle dynamique inverse
3432,inverse of a matrix,inverse de la matrice
3433,inverse problem,problème inverse
3434,inverse reinforcement learning,apprentissage par renforcement inverse
3435,inverse rendering,rendu inverse
3436,inverse role,rôle inverse
3437,inverse sampling,échantillonnage binomial inverse
3438,inverse square root learning rate schedule,plan de taux d'apprentissage à racine carrée inverse
3439,inverse square root learning rate scheduler,ordonnanceur de taux d'apprentissage en racine carrée inverse
3440,inverse transform sampling,échantillonnage par transformation inverse
3441,inversion of control,inversion de contrôle
3442,inverted index,index inversé
3443,inverted list,liste inversée
3444,inverted pendulum,pendule inversé
3445,invertible map,application inversible
3446,invertible matrix,matrice inversible
3447,iobj,iobj
3448,is-a link,lien is-a
3449,iso-surface extraction,extraction de surfaces iso
3450,isolation forest,forêt d'isolation
3451,isotropic Gaussians,Gaussiens isotropes
3452,itemset,ensemble d'items
3453,iterate,itérer
3454,iterated conditional mode,mode conditionnel itéré
3455,iteration,itération
3456,iteration complexity,complexité d'itération
3457,iteration counter,compteur d'itérations
3458,iterative algorithm,algorithme itératif
3459,iterative deepening,approfondissement itératif
3460,iterative optimization,optimisation itérative
3461,iterative optimization algorithm,algorithme d'optimisation itérative
3462,iterative training algorithm,algorithme d'entraînement itératif
3463,iteratively reweighted least square,moindres carrés repondérés itérativement
3464,join,jointure
3465,joint density,densité conjointe
3466,joint distribution,distribution conjointe
3467,joint embedding space,espace d'embedding conjoint
3468,joint encoding,encodage conjoint
3469,joint entropy,entropie conjointe
3470,joint inference,inférence conjointe
3471,joint learning,apprentissage conjoint
3472,joint learning algorithm,algorithme d'apprentissage conjoint
3473,joint likelihood,vraisemblance conjointe
3474,joint model,modèle conjoint
3475,joint moment,moment conjoint
3476,joint policy,politique conjointe
3477,joint probability,probabilité conjointe
3478,joint probability distribution,distribution de probabilité conjointe
3479,joint probability matrix,matrice de probabilité conjointe
3480,joint probability table,tableau de probabilité conjointe
3481,joint semantic space,espace sémantique joint
3482,judgment sample,échantillon au jugé
3483,jump discontinuity,discontinuité à saut fini
3484,junction tree,arbre de jonction
3485,junction tree algorithm,algorithme d'arbre de jonction
3486,k nearest neighbor,k plus proches voisins
3487,k-Center,k-Centre
3488,k-best list,liste des k-meilleurs
3489,k-best parsing,analyse des k-meilleurs
3490,k-d tree,arbre k-d
3491,k-hop neighbor,voisin à k sauts
3492,k-means clustering algorithm,algorithme de clustering k-means
3493,k-median,K-médiane
3494,k-nearest neighbor,k-plus proches voisins
3495,k-nearest neighbor classifier,classificateur k-plus proches voisins
3496,k-nearest neighbor graph,graphe k-plus proches voisins
3497,k-nearest neighbors algorithm,algorithme des k plus proches voisins
3498,k-nearest-neighbors algorithm,algorithme des KNN
3499,kappa agreement test,test de concordance kappa
3500,kappa statistic,analyse statistique kappa
3501,kernel PCA,analyse en composantes principales à noyaux
3502,kernel approximation,approximation de noyau
3503,kernel bandwidth,largeur de bande du noyau
3504,kernel classifier,classificateur à noyau
3505,kernel density,densité de noyau
3506,kernel density estimate,estimation de la densité de noyau
3507,kernel density estimation,estimation par noyau
3508,kernel evaluation,évaluation du noyau
3509,kernel function,fonction noyau
3510,kernel learning,apprentissage par noyau
3511,kernel learning problem,problème d'apprentissage par noyau
3512,kernel machine,machine à noyau
3513,kernel matrix,matrice de noyau
3514,kernel method,méthode à noyau
3515,kernel operation,opération de noyau
3516,kernel operator,opérateur de noyau
3517,kernel parameter,paramètre de noyau
3518,kernel regression,régression par noyau
3519,kernel ridge regression,régression de crête de noyau
3520,kernel size,taille du noyau
3521,kernel smoothing,lissage par noyau
3522,kernel space,espace de noyau
3523,kernel spectrum,spectre du noyau
3524,kernel support vector machines,machines à vecteurs de support à noyau
3525,kernel trick,astuce du noyau
3526,kernel value,valeur du noyau
3527,kernel weight,poids du noyau
3528,kernel width,largeur du noyau
3529,kernel-based classification,classification basée sur le noyau
3530,key,clé
3531,key performance indicator,indicateur de performance clé
3532,key-value store,base de données clé-valeur
3533,keypoint,point clé
3534,keypoint detection,détection de points clés
3535,keypoint detector,détecteur de points clés
3536,keypoint location,localisation des points clés
3537,keypoint match,correspondance de points clés
3538,knapsack problem,problème du sac à dos
3539,knowbot,inforobot
3540,knowledge acquisition,acquisition des connaissances
3541,knowledge acquisition bottleneck,goulot d'étranglement dans l’acquisition de connaissances
3542,knowledge base,base de connaissances
3543,knowledge based approach,approche fondée sur la connaissance
3544,knowledge compilation,compilation de connaissances
3545,knowledge distillation,distillation de connaissances
3546,knowledge element,élément de connaissance
3547,knowledge engineer,cogniticien
3548,knowledge engineering,ingénierie des connaissances
3549,knowledge extraction,extraction de connaissances
3550,knowledge graph,graphe de connaissances
3551,knowledge graph completion,complétion de graphe de connaissances
3552,knowledge interchange format,norme KIF pour l'échange de connaissances
3553,knowledge representation,représentation de la connaissance
3554,knowledge representation & reasoning,raisonnement et représentation des connaissances
3555,knowledge representation and reasoning,représentation des connaissances et raisonnement automatique
3556,knowledge representation language,langage de représentation des connaissances
3557,knowledge source,source de connaissances
3558,knowledge transfer,transfert de connaissances
3559,knowledge-based system,système à base de connaissances
3560,kriging,krigeage
3561,label,étiquette
3562,label distribution,distribution des étiquettes
3563,label embedding,intégration d'étiquettes
3564,label noise,bruit d'étiquetage
3565,label sequence,séquence d'étiquettes
3566,label smoothing,lissage des étiquettes
3567,label space,espace d'étiquettes
3568,label token,jeton d'étiquette
3569,label vector,vecteur de labels
3570,labeled datum,donnée étiquetée
3571,labeled example,exemple étiqueté
3572,labeled graph,graphe étiqueté
3573,labeled training datum,donnée d'entraînement étiquetée
3574,ladder network,réseau en échelle
3575,lambda calculus,calcul des lambda
3576,lambda expression,fonctions lambda
3577,lambertian,Lambertien
3578,landmark,point de repère
3579,landmark point,point de repère
3580,language drift,dérive linguistique
3581,language encoder,encodeur de langage
3582,language generation,génération de langage
3583,language generation model,modèle de génération de langage
3584,language identification,identification de la langue
3585,language model,modèle de langue
3586,language model pre-training,pré-entraînement de modèle linguistique
3587,language modeling,modélisation de la langue
3588,language pair,paire de langues
3589,language processing,traitement de la langue
3590,language representation,représentation linguistique
3591,language transfer,transfert linguistique
3592,language understanding,compréhension du langage
3593,large language model,grand modèle de langage
3594,large language model fine-tuning,peaufinage d'un grand modèle de langues
3595,large multimodal model,grand modèle multimodal
3596,large vocabulary continuous speech recognition,reconnaissance de la parole continue à grand vocabulaire
3597,large-margin learning,apprentissage à marge large
3598,lasso regression,régression Lasso
3599,lasso regularization,régularisation LASSO
3600,latency,délai de transit
3601,latent Dirichlet allocation,Allocation de Dirichlet latente
3602,latent code,code latent
3603,latent dimension,dimension latente
3604,latent distribution,distribution latente
3605,latent dynamic model,modèle dynamique latent
3606,latent embedding,intégration latente
3607,latent factor,facteur latent
3608,latent feature,caractéristique latente
3609,latent function,fonction latente
3610,latent group,groupe latent
3611,latent parameter,paramètre latent
3612,latent representation,représentation latente
3613,latent reward function,fonction de récompense latente
3614,latent semantic,sémantique latente
3615,latent semantic analysis,Analyse sémantique latente
3616,latent space,espace latent
3617,latent state,état latent
3618,latent topic,sujet latent
3619,latent variable,variable hypothétique
3620,latent variable model,modèle à variables latentes
3621,latent vector,vecteur latent
3622,law of total probability,formule des probabilités totales
3623,layer,couche
3624,layer activation,activation de couche
3625,layer normalization,Normalisation de couche
3626,layer-wise learning rate decay,décroissance du taux d'apprentissage par couche
3627,lazy grounding,ancrage paresseux
3628,lazy learning,apprentissage paresseux
3629,leaf node,nœud feuille
3630,learnability,apprenabilité
3631,learnable parameter,paramètre apprenable
3632,learnable vector,vecteur apprenable
3633,learned model,modèle appris
3634,learned representation,représentation apprise
3635,learner,appreneur
3636,learning agent,agent d'apprentissage
3637,learning algorithm,algorithme d'apprentissage
3638,learning analytics,analyse de l’apprentissage
3639,learning automaton,automate d'apprentissage
3640,learning curve,courbe d'apprentissage
3641,learning from instruction,apprentissage par instruction
3642,learning method,méthode d'apprentissage
3643,learning paradigm,paradigme d'apprentissage
3644,learning problem,problème d'apprentissage
3645,learning program,programme d'apprentissage
3646,learning rate,pas du gradient
3647,learning rate decay,décroissance du taux d'apprentissage
3648,learning rate decay schedule,calendrier de décroissance du taux d'apprentissage
3649,learning rate schedule,calendrier du taux d'apprentissage
3650,learning rate scheduler,planificateur de taux d'apprentissage
3651,learning rate warmup,préchauffage du taux d'apprentissage
3652,learning to rank,apprentissage du classement
3653,learning vector quantization,quantification de vecteurs par apprentissage
3654,learning-to-rank algorithm,algorithme d'apprentissage par classement
3655,least commitment strategy,stratégie d'implication minimale
3656,least square,moindres carrés
3657,least square criterion,critère des moindres carrés
3658,least square minimization,minimisation des moindres carrés
3659,least square problem,problème des moindres carrés
3660,least square regression,régression des moindres carrés
3661,least square solution,solution des moindres carrés
3662,least squares method,moindres carrés
3663,least squares regression,régression des moindres carrés
3664,least-angle regression,régression du moindre angle
3665,leave-one-out,validation croisée leave-one-out
3666,leave-one-out cross-validation,validation croisée par mise de côté unique
3667,left-to-right model,modèle de gauche à droite
3668,lemmatization,lemmatisation
3669,length normalization,normalisation de la longueur
3670,length penalty,pénalité de longueur
3671,leptokurtosis,lepto-curtique
3672,lexeme,lexème
3673,lexical acquisition,acquisition lexicale
3674,lexical acquisition algorithm,algorithme d'acquisition lexicale
3675,lexical ambiguity,ambiguïté lexicale
3676,lexical analysis,analyse lexicale
3677,lexical entry,entrée lexicale
3678,lexical exposure,exposition lexicale
3679,lexical feature,caractéristique lexicale
3680,lexical head,tête lexicale
3681,lexical item,élément lexical
3682,lexical knowledge,connaissance lexicale
3683,lexical model,modèle lexical
3684,lexical overlap,chevauchement lexical
3685,lexicalization,lexicalisation
3686,lexicalized grammar,grammaire lexicalisée
3687,lexicalized parsing model,modèle de parsing lexicalisé
3688,lexicon,lexique
3689,lexicon induction,induction de lexique
3690,lifelong learning,apprentissage tout au long de la vie
3691,light field,champ lumineux
3692,light field interpolation,interpolation de champ lumineux
3693,likelihood function,fonction de vraisemblance
3694,likelihood ratio,quotient de vraisemblance
3695,likelihood ratio test,test du rapport de vraisemblance
3696,likelihood score,score de vraisemblance
3697,line search,recherche de ligne
3698,linear activation function,fonction d'activation linéaire
3699,linear algebra,algèbre linéaire
3700,linear classification,classification linéaire
3701,linear classification layer,couche de classification linéaire
3702,linear classifier,classifieur linéaire
3703,linear combination,combinaison linéaire
3704,linear complexity,complexité linéaire
3705,linear constraint,contrainte linéaire
3706,linear decay,décroissance linéaire
3707,linear decoder,décodeur linéaire
3708,linear discriminant analysis,analyse discriminante
3709,linear equation,équation linéaire
3710,linear evaluation,évaluation linéaire
3711,linear factor model,modèle factoriel linéaire
3712,linear function,fonction linéaire
3713,linear function approximation,approximation de fonction linéaire
3714,linear inequality,inégalité linéaire
3715,linear interpolation,interpolation linéaire
3716,linear kernel,noyau linéaire
3717,linear layer,couche linéaire
3718,linear learning rate decay,décroissance linéaire du taux d'apprentissage
3719,linear learning rate schedule,plan de taux d'apprentissage linéaire
3720,linear map,application linéaire
3721,linear model,modèle linéaire
3722,linear optimization,optimisation linéaire
3723,linear predictor,prédicteur linéaire
3724,linear probe,sonde linéaire
3725,linear program,programme linéaire
3726,linear programming boosting,dopage par programmation linéaire
3727,linear programming relaxation,relaxation de programmation linéaire
3728,linear projection,projection linéaire
3729,linear regression,régression linéaire
3730,linear regression model,modèle de régression linéaire
3731,linear regressor,régressseur linéaire
3732,linear resolution,résolution linéaire
3733,linear scaling,mise à l'échelle linéaire
3734,linear scheduler,planificateur linéaire
3735,linear separability,séparabilité linéaire
3736,linear system,système linéaire
3737,linear threshold unit,unité à seuil linéaire
3738,linear transform,transformation linéaire
3739,linear transformation,transformation linéaire
3740,linear transformation matrix,matrice de transformation linéaire
3741,linear warm-up,échauffement linéaire
3742,linear-chain,chaîne linéaire
3743,linear-quadratic regulator,régulateur linéaire-quadratique
3744,linearization,linéarisation
3745,linguistics,linguistiques
3746,link function,fonction de linkage
3747,link prediction,prédiction de lien
3748,linked data,données liées
3749,linked sample,échantillon lié
3750,liquid neural networks,réseau neuronal liquide
3751,liquid state machine,machine à état liquide
3752,list sampling,échantillonnage sur une liste
3753,load balancing,équilibrage de charge
3754,local basis function,fonction de base locale
3755,local coherence,cohérence locale
3756,local context,contexte local
3757,local coordinate frame,repère de coordonnées local
3758,local feature,caractéristique locale
3759,local geometry,géométrie locale
3760,local image feature,caractéristique d'image locale
3761,local interpretable model-agnostic explanations,LIME
3762,local maxima,maxima locaux
3763,local maximum,maximum local
3764,local minima,minima locaux
3765,local minimizer,minimiseur local
3766,local minimum,minima locaux
3767,local model,modèle local
3768,local optima,optima locaux
3769,local optimum,optimum local
3770,local outlier factor,facteur de valeur aberrante locale
3771,local parameter,paramètre local
3772,local polynomial interpolation,interpolation polynomiale locale
3773,local search,recherche locale
3774,local search method,méthode de recherche locale
3775,local surrogate model,modèle substitut local
3776,local variable,variable locale
3777,local window,fenêtre locale
3778,locality-sensitive hashing,hachage sensible à la localité
3779,localization,localisation
3780,locally constant prior,a priori localement constant
3781,location data,données de localisation
3782,location parameter,paramètre de localisation
3783,log,logarithme
3784,log likelihood,vraisemblance logarithmique
3785,log loss,perte logistique
3786,log marginal likelihood,vraisemblance marginale logarithmique
3787,log p,log p
3788,log partition function,fonction de partition logarithmique
3789,log perplexity,perplexité logarithmique
3790,log probability,probabilité logarithmique
3791,log-likelihood function,fonction de vraisemblance logarithmique
3792,log-likelihood loss,perte de log-vraisemblance
3793,log-likelihood ratio,rapport de log-vraisemblance
3794,log-linear model,modèle log-linéaire
3795,log-linear translation model,modèle de traduction log-linéaire
3796,log-log plot,graphique log-log
3797,log-normal distribution,distribution log-normale
3798,log-odd score,score des log-odds
3799,log-odds,logarithme de cote
3800,log-prob,log-prob
3801,log-sum-exp,log-sum-exp
3802,logic,logique
3803,logic programming,programmation logique
3804,logic programs,programmes logiques
3805,logic theorist,logic theorist
3806,logic tree,arbre logique
3807,logic-based machine learning,apprentissage automatique basé sur la logique
3808,logical connective,connecteur logique
3809,logical entailment,conséquence logique
3810,logical form,forme logique
3811,logical predicate,prédicat logique
3812,logical qubit,bit quantique logique
3813,logistic function,fonction logistique
3814,logistic loss,perte logistique
3815,logistic model tree,arbre de modèle logistique
3816,logistic regression,régression logistique
3817,logistic regression classifier,classificateur de régression logistique
3818,logistic regression model,modèle de régression logistique
3819,logit,logit
3820,logit model,modèle logit
3821,lognormal distribution,distribution de Galton
3822,long short-term memory,réseau récurrent à longue mémoire court terme
3823,long-range dependency,dépendance à long terme
3824,longitudinal study,étude longitudinale
3825,lookup table,table de consultation
